監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.055,2015-01-03 12:25
三芝,SHANGI,0.063,2015-01-04 07:50
石崩山,SHIHBENGSHAN,0.067,2015-01-04 07:55
茂林,MAOLIN,0.048,2015-01-04 07:55
金山,CHINSHAN,0.049,2015-01-04 07:55
野柳,YEHLIU,0.055,2015-01-04 07:55
大鵬,TAPERNG,0.065,2015-01-04 07:55
陽明山,YANGMINSHAN,0.053,2015-01-04 07:55
大坪,TAPING,0.064,2015-01-04 07:50
萬里,WANLI,0.070,2015-01-04 07:50
台北,TAIPEI,0.057,2015-01-04 07:50
宜蘭,ILAN,0.063,2015-01-04 07:50
龍潭,LUNGTAN,0.052,2015-01-04 07:50
台中,TAICHUNG,0.069,2015-01-04 07:50
台東,TAITUNG,0.057,2015-01-04 07:50
高雄,KAOHSIUNG,0.063,2015-01-04 07:55
恆春,HENGCHUN,0.068,2015-01-04 07:55
龍泉,LUNGCHUAN,0.056,2015-01-04 07:55
大光,TAKUANG,0.050,2015-01-04 07:50
墾丁,KENTING,0.052,2015-01-04 07:50
後壁湖,HOUBIHU,0.056,2015-01-04 07:55
澳底,AODI,0.049,2015-01-04 07:55
貢寮,GONGLIAO,0.052,2015-01-04 07:55
阿里山,ALISHAN,0.126,2015-01-04 07:55
金門,KINMEN,0.080,2015-01-04 07:55
蘭嶼,LANYU,0.042,2015-01-04 07:55
台南,TAINAN,0.061,2015-01-04 07:55
龍門,LUNGMEN,0.051,2015-01-04 07:55
雙溪,SHUANGSI,0.063,2015-01-04 07:55
三港,SANGANG,0.066,2015-01-04 07:55
新竹,HSINCHU,0.054,2015-01-04 07:55
花蓮,HUALINE,0.056,2015-01-04 07:55
澎湖,PENGHU,0.050,2015-01-04 07:55
馬祖,MATZU,0.055,2015-01-04 07:55
滿州,MANJHOU,0.052,2015-01-04 07:55
板橋,BANCIAO,0.069,2015-01-04 07:55
屏東市,PINGTONG,0.050,2015-01-04 07:50
基隆,KEELUNG,0.052,2015-01-04 07:50
頭城,TOUCHENG,0.049,2015-01-04 07:55
竹北,JHUBEI,0.050,2015-01-04 07:55
苗栗,MIAOLI,0.047,2015-01-04 07:55
南投,NANTOU,0.048,2015-01-04 07:50
彰化,CHANGHUA,0.069,2015-01-04 07:50
雲林,YUNLIN,0.057,2015-01-04 07:55
嘉義,CHIAYI,0.047,2015-01-04 07:50
