"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"1","00069149","台北美上美股份有限公司","基隆市信義區培德路73號","森部一夫","317512700","1040513"
"2","00094800","尼德蘭公證檢查有限公司","基隆市信義區東明里19鄰東光路23號1樓","李玉霞","3000000","1040507"
"3","00146877","欣隆天然氣股份有限公司","基隆市信義區信一路57號4樓","潘恭孝","574412930","1040511"
"4","00262453","莒隆實業股份有限公司","基隆市安樂區基金一路208巷26號","李肇國","1000000","1040519"
"5","00454902","龍宮一品股份有限公司","基隆市仁愛區忠勇里仁三路11號地上1樓至3樓、地下1層至3層","吳麗玲","5000000","1040515"
"6","00468357","顏氏有限公司","基隆市中正區正義路64號","顏必安","5000000","1040522"
"7","00472401","豐裕貿易股份有限公司","基隆市仁愛區孝三路74號4樓","林洪金里","5000000","1040505"
"8","00654438","大順鑄造股份有限公司","基隆市安樂區安樂區基金一路339號","林煊舜","26520000","1040518"
"9","00681272","汎太平洋國際有限公司","宜蘭縣蘇澳鎮蘇東里蘇東北路2-73號1樓","林牧頴","5600000","1040518"
"10","00713181","華聯食品工業股份有限公司","基隆市七堵區自強路102號","林榮吉","33000000","1040521"
"11","00780619","信榮電子股份有限公司","基隆市安樂區武訓街70號","古淑慧","16408200","1040512"
"12","00800191","台豐鋁業有限公司","基隆市暖暖區八西里國安路30巷21號1樓","胡澤明","3000000","1040520"
"13","00800214","隆德實業股份有限公司","基隆市中正區中船路5巷35號7樓","辜耀英","5000000","1040522"
"14","00841171","華商報關股份有限公司","基隆市仁愛區忠三路99號3樓之4","林火寬","5000000","1040518"
"15","00841284","新象國際物流股份有限公司","基隆市仁愛區文昌里忠三路68號7樓","楊及地","15000000","1040526"
"16","00940067","救人實業股份有限公司","臺北市萬華區洛陽街9號9樓之1","周慧禎","29000000","1040513"
"17","01177259","龍穩企業股份有限公司","臺北市大安區安和路2段5號3樓之2","鄭顏金葉","15000000","1040522"
"18","01177510","明騰工業股份有限公司","臺北市大安區忠孝東路4段233號11樓之7","湯建君","630000000","1040526"
