Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,花東,25 - 45,,1 - 3,2015-12-22,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,宜蘭,30 - 50,,1 - 3,2015-12-22,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,高屏,75 - 95,臭氧,6 - 9,2015-12-22,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,雲嘉南,55 - 75,臭氧,5 - 8,2015-12-22,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,中部,55 - 75,臭氧,4 - 7,2015-12-22,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,竹苗,50 - 70,臭氧,2 - 3,2015-12-22,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,北部,40 - 60,臭氧,1 - 3,2015-12-22,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,花東,25 - 45,,1 - 3,2015-12-21,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,宜蘭,30 - 50,,1 - 3,2015-12-21,2015-12-20 12:00
1.20日全臺各地及外島地區PSI為良好至普通等級，指標污染物為臭氧。2.20日高屏地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.21、22日全臺各地PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,高屏,70 - 90,臭氧,5 - 8,2015-12-21,2015-12-20 12:00
