SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,68,懸浮微粒,普通,3.5,0.19,65,78,38,5.1,4.9,163,3,2015-04-24 15:00
三重,新北市,52,懸浮微粒,普通,9.3,1.67,,61,17,49,,,2,2015-04-24 15:00
三義,苗栗縣,55,臭氧,普通,1.8,0.25,66,54,25,5.4,4.7,37,3,2015-04-24 15:00
土城,新北市,41,,良好,2.4,0.37,43,43,19,14,1.8,182,2,2015-04-24 15:00
士林,臺北市,36,,良好,5.9,0.27,44,32,23,14,2.5,126,2,2015-04-24 15:00
大同,臺北市,48,,良好,13,0.94,,44,7,36,,,2,2015-04-24 15:00
大里,臺中市,62,懸浮微粒,普通,1.3,0.31,71,85,26,12,3.7,312,3,2015-04-24 15:00
大園,桃園市,55,懸浮微粒,普通,2.2,0.19,48,47,22,7.3,9.5,65,2,2015-04-24 15:00
大寮,高雄市,75,懸浮微粒,普通,7.1,0.46,76,83,40,19,2.3,243,7,2015-04-24 15:00
小港,高雄市,78,懸浮微粒,普通,5.7,0.37,64,49,24,16,3.8,270,6,2015-04-24 15:00
中山,臺北市,52,懸浮微粒,普通,,,,,,,2.6,87,2,2015-04-24 15:00
中壢,桃園市,66,懸浮微粒,普通,3.3,0.63,43,74,26,22,2,157,3,2015-04-24 15:00
仁武,高雄市,82,懸浮微粒,普通,10,0.45,59,83,37,19,3.1,285,5,2015-04-24 15:00
斗六,雲林縣,72,懸浮微粒,普通,3.5,0.38,74,98,47,,3.8,6.6,4,2015-04-24 15:00
冬山,宜蘭縣,33,,良好,2.9,0.3,37,33,18,18,2,38,2,2015-04-24 15:00
古亭,臺北市,52,懸浮微粒,普通,2.8,0.4,33,51,20,20,2.8,66,2,2015-04-24 15:00
左營,高雄市,68,懸浮微粒,普通,2.9,0.29,71,74,35,8,5,304,6,2015-04-24 15:00
平鎮,桃園市,58,懸浮微粒,普通,3.7,0.28,48,60,25,14,3.8,34,3,2015-04-24 15:00
永和,新北市,41,,良好,3.6,0.56,36,39,16,20,3.3,65,2,2015-04-24 15:00
安南,臺南市,66,懸浮微粒,普通,2.4,0.24,71,86,32,5.9,4.4,15,3,2015-04-24 15:00
朴子,嘉義縣,72,懸浮微粒,普通,2,0.26,57,104,38,5.1,3.1,67,3,2015-04-24 15:00
汐止,新北市,42,,良好,4.4,0.29,36,39,20,18,2.4,45,2,2015-04-24 15:00
竹山,南投縣,73,懸浮微粒,普通,3.7,0.31,85,104,49,8.1,4.2,298,5,2015-04-24 15:00
竹東,新竹縣,55,懸浮微粒,普通,2.7,0.31,64,67,31,13,2.8,313,3,2015-04-24 15:00
西屯,臺中市,60,懸浮微粒,普通,1.7,,69,62,31,5.7,3.8,295,3,2015-04-24 15:00
沙鹿,臺中市,66,懸浮微粒,普通,1.6,0.21,65,77,23,5.1,4.1,32,3,2015-04-24 15:00
宜蘭,宜蘭縣,39,,良好,2,0.31,46,37,20,6.2,2,62,2,2015-04-24 15:00
