SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,42,,良好,3.7,0.44,2.7,30,,21,0.8,110,3,2015-02-07 07:00
三重,新北市,40,,良好,3.6,2.22,,39,9,34,,,1,2015-02-07 07:00
三義,苗栗縣,41,,良好,1.3,0.44,17,48,17,8.3,1.3,28,2,2015-02-07 07:00
土城,新北市,19,,良好,3,0.71,2.1,21,13,21,0.5,144,2,2015-02-07 07:00
士林,臺北市,25,,良好,1.8,0.86,1.6,15,10,26,0.5,350,1,2015-02-07 07:00
大同,臺北市,32,,良好,3.4,1.33,,29,2,30,,,1,2015-02-07 07:00
大里,臺中市,56,懸浮微粒,普通,2.6,0.86,2.7,61,47,23,0.6,267,5,2015-02-07 07:00
大園,桃園市,33,,良好,6.6,0.42,5.7,34,19,39,2,102,2,2015-02-07 07:00
大寮,高雄市,74,懸浮微粒,普通,2.9,0.66,6.2,97,63,22,1.1,306,8,2015-02-07 07:00
小港,高雄市,82,懸浮微粒,普通,9.8,0.9,2.5,113,70,39,1.6,27,7,2015-02-07 07:00
中山,臺北市,40,,良好,2.9,1,3.2,40,0,28,1.1,23,1,2015-02-07 07:00
中壢,桃園市,43,,良好,8.6,2.13,2.2,50,28,36,0.5,267,2,2015-02-07 07:00
仁武,高雄市,78,懸浮微粒,普通,3.6,0.76,1.9,110,54,33,1.4,321,6,2015-02-07 07:00
斗六,雲林縣,62,懸浮微粒,普通,3.2,0.8,1.6,72,41,23,0.7,39,4,2015-02-07 07:00
冬山,宜蘭縣,22,,良好,1.6,0.36,11,24,7,9.6,1.1,287,1,2015-02-07 07:00
古亭,臺北市,21,,良好,1.4,0.52,6.5,18,2,20,0.9,61,1,2015-02-07 07:00
左營,高雄市,72,懸浮微粒,普通,3.9,0.75,2.7,101,61,34,1.1,321,6,2015-02-07 07:00
平鎮,桃園市,32,,良好,6.3,0.74,2.1,35,14,30,0.7,128,1,2015-02-07 07:00
永和,新北市,16,,良好,2,0.63,11,12,8,15,0.6,98,1,2015-02-07 07:00
安南,臺南市,53,懸浮微粒,普通,4.7,0.7,2.4,54,36,28,1.4,23,3,2015-02-07 07:00
朴子,嘉義縣,54,懸浮微粒,普通,2.2,0.49,2.4,50,32,21,1.1,44,3,2015-02-07 07:00
汐止,新北市,24,,良好,2.9,0.6,1.7,22,14,28,0.7,8.8,2,2015-02-07 07:00
竹山,南投縣,76,懸浮微粒,普通,1.8,0.73,1.3,109,80,17,0.6,42,10,2015-02-07 07:00
竹東,新竹縣,32,,良好,0.9,0.54,6,29,15,11,0.5,103,2,2015-02-07 07:00
西屯,臺中市,47,,良好,3.5,0.85,-1,53,38,28,0.5,178,3,2015-02-07 07:00
沙鹿,臺中市,56,懸浮微粒,普通,2.3,0.6,8.3,68,32,20,0.8,143,3,2015-02-07 07:00
宜蘭,宜蘭縣,22,,良好,0.7,0.24,26,15,4,2.9,0.6,250,1,2015-02-07 07:00
忠明,臺中市,46,,良好,3.1,0.94,1.5,50,45,27,0.4,60,3,2015-02-07 07:00
松山,臺北市,12,,良好,2.1,0.76,2.6,14,5,32,0.7,56,1,2015-02-07 07:00
板橋,新北市,21,,良好,2.3,0.95,1.9,20,10,25,0.8,250,1,2015-02-07 07:00
林口,新北市,25,,良好,1.5,0.33,25,28,12,14,0.9,51,2,2015-02-07 07:00
