SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,41,,良好,3.2,0.2,31,38,8,8.6,3.3,45,2,2015-02-10 03:00
三重,新北市,40,,良好,1.6,0.43,,18,5,21,,,1,2015-02-10 03:00
三義,苗栗縣,32,,良好,2.1,0.16,39,17,4,1.2,3.7,34,1,2015-02-10 03:00
土城,新北市,33,,良好,0.8,0.17,39,17,10,4.7,1.3,122,2,2015-02-10 03:00
士林,臺北市,33,,良好,1.2,0.18,39,19,2,4.4,2,118,1,2015-02-10 03:00
大同,臺北市,41,,良好,1,0.38,,30,3,16,,,1,2015-02-10 03:00
大里,臺中市,25,,良好,1.4,0.22,30,6,7,5.7,2,42,1,2015-02-10 03:00
大園,桃園市,36,,良好,1.8,0.16,41,16,6,5.4,4.5,92,2,2015-02-10 03:00
大寮,高雄市,62,懸浮微粒,普通,2.4,0.37,9.5,61,27,20,0.9,302,3,2015-02-10 03:00
小港,高雄市,0,,,7.8,0.43,2.4,71,29,34,1.1,40,,2015-02-10 03:00
中山,臺北市,46,,良好,1.3,0.28,32,42,0,11,1.8,104,2,2015-02-10 03:00
中壢,桃園市,47,,良好,5.1,0.34,29,28,28,12,1.2,262,3,2015-02-10 03:00
仁武,高雄市,70,懸浮微粒,普通,4,0.4,5.6,68,35,28,1.5,318,3,2015-02-10 03:00
斗六,雲林縣,50,,良好,3.6,0.33,14,40,19,16,1,36,3,2015-02-10 03:00
冬山,宜蘭縣,37,,良好,1.5,0.15,44,10,0,3.2,2.7,243,1,2015-02-10 03:00
古亭,臺北市,27,,良好,1,0.17,33,21,4,5.7,2,40,1,2015-02-10 03:00
左營,高雄市,68,懸浮微粒,普通,3.8,0.41,8.3,60,39,25,1.7,4,5,2015-02-10 03:00
平鎮,桃園市,44,,良好,3,0.24,31,36,14,10,2.5,56,2,2015-02-10 03:00
永和,新北市,27,,良好,1.4,0.22,32,13,6,5.9,1.2,113,1,2015-02-10 03:00
安南,臺南市,56,懸浮微粒,普通,2.5,0.33,17,40,20,15,2,20,2,2015-02-10 03:00
朴子,嘉義縣,59,懸浮微粒,普通,2.3,0.25,24,40,20,12,1.8,56,2,2015-02-10 03:00
