Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,花東,15 - 35,,1 - 2,2015-11-23,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,宜蘭,20 - 40,,1 - 3,2015-11-23,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,高屏,85 - 105,臭氧,5 - 9,2015-11-23,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,雲嘉南,80 - 100,臭氧,4 - 7,2015-11-23,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,中部,80 - 100,臭氧,4 - 7,2015-11-23,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,竹苗,40 - 65,臭氧,2 - 3,2015-11-23,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,北部,30 - 50,,1 - 3,2015-11-23,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,花東,15 - 35,,1 - 2,2015-11-22,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,宜蘭,20 - 40,,1 - 3,2015-11-22,2015-11-21 10:43
1.21日高屏地區PSI為不良等級，其他地區及外島PSI為良好至普通等級，指標污染物為臭氧。2.21日中南部地區PM2.5指標為中至高等級，其他地區及外島PM2.5指標為低至中等級。3.22日中部地區PSI為不良等級，23日高屏地區PSI為不良等級，其他地區PSI為良好至普通等級，指標污染物為臭氧；中南部地區PM2.5指標為中至高等級，其他地區為低至中等級。,高屏,70 - 90,臭氧,4 - 8,2015-11-22,2015-11-21 10:43
