FacilityID,FacilityName,ReportPeriod,VOCs,UnitsOfVOCs,TSP,UnitsOfTSP,SOx,UnitsOfSOx,NOx,UnitsOfNOx,Status
V8403099,顥堅有限公司東欣廠,2015年第2季,,公噸,3.155,公噸,,公噸,,公噸,完成季登錄確認
V8004176,祥興砂石行,2015年第2季,,公噸,10.862,公噸,,公噸,,公噸,完成季登錄確認
V7703330,俊發砂石場二廠,2015年第2季,,公噸,3.34,公噸,,公噸,,公噸,完成季登錄確認
V7700295,俊發砂石場,2015年第2季,,公噸,9.24,公噸,,公噸,,公噸,完成季登錄確認
T54A1003,超群混凝土工業股份有限公司內埔廠,2015年第2季,,公噸,0.4,公噸,,公噸,,公噸,完成申報
S2202606,超群混凝土工業股份有限公司,2015年第2季,,公噸,0.381,公噸,,公噸,,公噸,完成申報
S1600699,高碳金屬股份有限公司,2015年第2季,,公噸,,公噸,,公噸,,公噸,完成申報
S1503220,中美水泥製品股份有限公司,2015年第2季,,公噸,1.778,公噸,,公噸,,公噸,完成申報
L9900036,民峰實業股份有限公司大安一廠,2015年第2季,,公噸,10.785,公噸,,公噸,,公噸,完成補件
L0000204,東陽穀物股份有限公司,2015年第2季,,公噸,13.092,公噸,,公噸,,公噸,完成補件
G3900120,宜東砂石股份有限公司,2015年第2季,,公噸,11.911,公噸,,公噸,,公噸,完成補件
F11A4180,宏翎砂石有限公司,2015年第2季,,公噸,,公噸,,公噸,,公噸,完成季登錄確認
E5602283,國產實業建設股份有限公司小港廠,2015年第2季,,公噸,1.313,公噸,,公噸,,公噸,完成補件
A4404254,希望城堡土石方及營建混合物資源處理場,2015年第2季,,公噸,6.897,公噸,,公噸,,公噸,完成季登錄確認
V8403099,顥堅有限公司東欣廠,2015年第1季,,公噸,1.964,公噸,,公噸,,公噸,完成季登錄確認
V8004176,祥興砂石行,2015年第1季,,公噸,12.306,公噸,,公噸,,公噸,完成季登錄確認
T54A1003,超群混凝土工業股份有限公司內埔廠,2015年第1季,,公噸,0.435,公噸,,公噸,,公噸,完成申報
S2202606,超群混凝土工業股份有限公司,2015年第1季,,公噸,0.62,公噸,,公噸,,公噸,完成申報
S1600699,高碳金屬股份有限公司,2015年第1季,,公噸,,公噸,,公噸,,公噸,完成申報
S1503220,中美水泥製品股份有限公司,2015年第1季,,公噸,1.765,公噸,,公噸,,公噸,完成申報
L0402271,興威股份有限公司太平廠,2015年第1季,,公噸,3.525,公噸,,公噸,,公噸,完成季登錄確認
L0001498,長生預拌混凝土股份有限公司,2015年第1季,,公噸,4.423,公噸,,公噸,,公噸,完成季登錄確認
F11A4180,宏翎砂石有限公司,2015年第1季,,公噸,,公噸,,公噸,,公噸,完成季登錄確認
E5602283,國產實業建設股份有限公司小港廠,2015年第1季,,公噸,1.44,公噸,,公噸,,公噸,完成補件
E5400403,李長榮化學工業股份有限公司高雄碼頭儲運站,2015年第1季,,公噸,,公噸,,公噸,,公噸,完成申報
V8004176,祥興砂石行,2014年第4季,,公噸,12.547,公噸,,公噸,,公噸,完成年申報審查
T52A0144,獲益砂石開發企業有限公司,2014年第4季,,公噸,1.22,公噸,,公噸,,公噸,完成申報
T5200634,鳳勝實業股份有限公司高樹廠,2014年第4季,,公噸,2.93,公噸,,公噸,,公噸,完成申報
T5006243,富喬砂石有限公司,2014年第4季,,公噸,7.972,公噸,,公噸,,公噸,完成補件
S29A1112,臺灣水泥股份有限公司鼓山水泥製品廠路竹分廠,2014年第4季,,公噸,0.873,公噸,,公噸,,公噸,完成年申報審查
S29A1073,欣鑫砂石行,2014年第4季,,公噸,0.065,公噸,,公噸,,公噸,完成年申報審查
S2804557,綠建股份有限公司阿蓮廠,2014年第4季,,公噸,0.005,公噸,,公噸,,公噸,完成年申報審查
S2202419,太爺企業股份有限公司仁武廠,2014年第4季,,公噸,0.471,公噸,,公噸,,公噸,完成年申報審查
Q7804417,裕民企業行,2014年第4季,,公噸,0.489,公噸,,公噸,,公噸,完成補件
L9505979,茂德科技股份有限公司台中廠,2014年第4季,,公噸,,公噸,,公噸,,公噸,完成年申報審查
L0001498,長生預拌混凝土股份有限公司,2014年第4季,,公噸,5.762,公噸,,公噸,,公噸,完成年申報審查
E56A5522,中聯資源股份有限公司沿海廠,2014年第4季,,公噸,3.198,公噸,,公噸,,公噸,完成年申報審查
E56A2083,中國鋼鐵股份有限公司(第二小鋼胚表面處理工場),2014年第4季,,公噸,0.717,公噸,,公噸,,公噸,完成年申報審查
E56A1233,亞港造船股份有限公司,2014年第4季,,公噸,,公噸,,公噸,,公噸,完成年申報審查
E5005211,亞東預拌混凝土股份有限公司大順廠,2014年第4季,,公噸,2.114,公噸,,公噸,,公噸,完成年申報審查
A4100064,國產實業建設股份有限公司,2014年第4季,,公噸,3.112,公噸,,公噸,,公噸,完成年申報審查
Z6600019,台灣電力股份有限公司馬祖區營業處-東引電廠,2014年第3季,,公噸,,公噸,,公噸,,公噸,申報中
T5200634,鳳勝實業股份有限公司高樹廠,2014年第3季,,公噸,2.925,公噸,,公噸,,公噸,完成申報
T5006243,富喬砂石有限公司,2014年第3季,,公噸,8.053,公噸,,公噸,,公噸,完成補件
S29A1112,臺灣水泥股份有限公司鼓山水泥製品廠路竹分廠,2014年第3季,,公噸,0.658,公噸,,公噸,,公噸,完成年申報審查
S2804557,綠建股份有限公司阿蓮廠,2014年第3季,,公噸,0.005,公噸,,公噸,,公噸,完成年申報審查
S24A0872,介慶企業股份有限公司鳥松廠,2014年第3季,,公噸,0.448,公噸,,公噸,,公噸,完成年申報審查
S2202419,太爺企業股份有限公司仁武廠,2014年第3季,,公噸,1.212,公噸,,公噸,,公噸,完成年申報審查
Q7804417,裕民企業行,2014年第3季,,公噸,0.395,公噸,,公噸,,公噸,完成補件
L0001498,長生預拌混凝土股份有限公司,2014年第3季,,公噸,4.791,公噸,,公噸,,公噸,完成年申報審查
K8000642,誠信砂石股份有限公司,2014年第3季,,公噸,2.16,公噸,,公噸,,公噸,完成年申報審查
F0606499,勵進塑膠股份有限公司,2014年第3季,,公噸,,公噸,,公噸,,公噸,完成年申報審查
E56A5522,中聯資源股份有限公司沿海廠,2014年第3季,,公噸,4.919,公噸,,公噸,,公噸,完成年申報審查
