SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
鳳山,高雄市,35,,良好,3,0.38,8.9,34,1,7.4,1.9,87,1,10.49,3.12,2015-09-03 07:00
麥寮,雲林縣,41,,良好,1.9,0.47,2.7,49,11,11,1.5,54,1,24.56,13.11,2015-09-03 07:00
關山,臺東縣,20,,良好,1.6,,3.5,24,1,1,0.5,335,1,3.98,2.96,2015-09-03 07:00
馬公,澎湖縣,9,,良好,3.8,0.71,6,11,,21,0.8,330,2,35.75,14.46,2015-09-03 07:00
金門,金門縣,39,,良好,9.9,0.49,3.6,59,34,24,0.4,30,3,44.72,20.8,2015-09-03 07:00
馬祖,連江縣,21,,良好,2.2,0.17,14,17,8,6.7,1.1,30,2,10.24,3.51,2015-09-03 07:00
埔里,南投縣,22,,良好,1.1,0.32,5.6,24,4,5,0.8,163,1,9.41,4.4,2015-09-03 07:00
復興,高雄市,20,,良好,2.3,0.65,1.2,23,13,11,1.5,119,1,17.85,6.54,2015-09-03 07:00
永和,新北市,17,,良好,2,1.22,3.7,23,7,15,0.8,178,1,50.73,35.89,2015-09-03 07:00
竹山,南投縣,24,,良好,1.6,0.4,4.1,23,6,9.1,0.5,301,1,16.46,7.33,2015-09-03 07:00
中壢,桃園市,46,,良好,4.1,2.24,3.2,43,1,21,1.1,184,1,113.87,93.34,2015-09-03 07:00
三重,新北市,32,,良好,2.6,1.4,,30,0,21,,,,94.17,73.38,2015-09-03 07:00
冬山,宜蘭縣,22,,良好,4.3,0.75,2,34,18,18,0.6,302,1,64.09,46.45,2015-09-03 07:00
宜蘭,宜蘭縣,26,,良好,1.8,0.32,7.3,29,4,6.3,0.7,209,1,9.95,3.61,2015-09-03 07:00
陽明,臺北市,17,,良好,1.8,0.13,20,15,11,3,,,1,4.33,1.29,2015-09-03 07:00
花蓮,花蓮縣,17,,良好,1,0.15,7.4,23,0,2.8,3.2,229,1,4.54,1.77,2015-09-03 07:00
臺東,臺東縣,17,,良好,0.8,0.24,6.3,18,5,2.2,0.5,292,1,4.63,2.47,2015-09-03 07:00
恆春,屏東縣,22,,良好,2.8,0.1,11,22,2,1.6,3.8,54,1,4.5,2.87,2015-09-03 07:00
潮州,屏東縣,19,,良好,1.5,0.19,4.1,26,8,3.5,1,53,1,6.2,2.71,2015-09-03 07:00
屏東,屏東縣,26,,良好,1.4,0.31,6.4,23,6,5.6,1.1,29,1,8.13,2.5,2015-09-03 07:00
小港,高雄市,27,,良好,0.3,0.36,4.7,19,9,10,1.9,56,1,19.19,8.69,2015-09-03 07:00
前鎮,高雄市,27,,良好,1.8,0.58,6.3,27,4,12,0.9,47,1,18.27,6.08,2015-09-03 07:00
前金,高雄市,27,,良好,6.6,0.41,9.1,19,14,17,1.6,37,1,22.73,6.1,2015-09-03 07:00
左營,高雄市,37,,良好,8.6,0.47,2.8,44,13,22,1.7,35,2,42.79,20.31,2015-09-03 07:00
楠梓,高雄市,51,懸浮微粒,普通,2.1,0.39,2.6,56,3,14,1.7,89,1,31.01,17.31,2015-09-03 07:00
林園,高雄市,24,,良好,1.6,0.24,5.4,26,11,4.2,2.1,39,1,6.27,2.11,2015-09-03 07:00
仁武,高雄市,32,,良好,2.6,0.37,8.2,33,12,13,0.8,79,1,19.23,5.97,2015-09-03 07:00
橋頭,高雄市,19,,良好,1.6,0.28,4.5,24,2,8.5,1.9,55,1,15.25,6.72,2015-09-03 07:00
臺南,臺南市,25,,良好,1.4,0.37,8,27,8,10,1.3,67,1,12.81,2.34,2015-09-03 07:00
安南,臺南市,31,,良好,1.4,0.26,4.1,31,4,9.1,1.8,76,1,17.39,8.27,2015-09-03 07:00
善化,臺南市,21,,良好,1.6,0.16,5.9,17,11,4.7,0.9,84,1,6.61,1.9,2015-09-03 07:00
