監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.057,2015-01-14 13:15
三芝,SHANGI,0.067,2015-01-14 13:15
石崩山,SHIHBENGSHAN,0.065,2015-01-14 13:15
茂林,MAOLIN,0.050,2015-01-14 13:15
金山,CHINSHAN,0.048,2015-01-14 13:20
野柳,YEHLIU,0.052,2015-01-14 13:20
大鵬,TAPERNG,0.067,2015-01-14 13:15
陽明山,YANGMINSHAN,0.064,2015-01-14 13:20
大坪,TAPING,0.063,2015-01-14 13:15
萬里,WANLI,0.074,2015-01-14 13:15
台北,TAIPEI,0.057,2015-01-14 13:15
宜蘭,ILAN,0.063,2015-01-14 13:15
龍潭,LUNGTAN,0.054,2015-01-14 13:15
台中,TAICHUNG,0.072,2015-01-14 13:15
台東,TAITUNG,0.052,2015-01-14 13:15
高雄,KAOHSIUNG,0.059,2015-01-14 13:20
恆春,HENGCHUN,0.069,2015-01-14 13:15
龍泉,LUNGCHUAN,0.055,2015-01-14 13:20
大光,TAKUANG,0.051,2015-01-14 13:15
墾丁,KENTING,0.051,2015-01-14 13:15
後壁湖,HOUBIHU,0.056,2015-01-14 10:50
澳底,AODI,0.054,2015-01-14 13:20
貢寮,GONGLIAO,0.050,2015-01-14 13:20
阿里山,ALISHAN,0.105,2015-01-14 13:20
金門,KINMEN,0.078,2015-01-14 13:20
蘭嶼,LANYU,0.041,2015-01-14 13:20
台南,TAINAN,0.058,2015-01-14 13:15
龍門,LUNGMEN,0.051,2015-01-14 13:20
雙溪,SHUANGSI,0.062,2015-01-14 13:20
三港,SANGANG,0.066,2015-01-14 13:15
新竹,HSINCHU,0.053,2015-01-14 13:15
花蓮,HUALINE,0.060,2015-01-14 13:20
澎湖,PENGHU,0.052,2015-01-14 13:15
馬祖,MATZU,0.055,2015-01-14 13:20
滿州,MANJHOU,0.050,2015-01-14 13:15
板橋,BANCIAO,0.070,2015-01-14 13:15
屏東市,PINGTONG,0.048,2015-01-14 13:15
基隆,KEELUNG,0.060,2015-01-14 13:15
頭城,TOUCHENG,0.053,2015-01-14 13:15
竹北,JHUBEI,0.048,2015-01-14 13:15
苗栗,MIAOLI,0.045,2015-01-14 13:15
南投,NANTOU,0.052,2015-01-14 13:15
彰化,CHANGHUA,0.065,2015-01-14 13:15
雲林,YUNLIN,0.055,2015-01-14 13:15
嘉義,CHIAYI,0.048,2015-01-14 13:15
