SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,65,懸浮微粒,普通,3.6,0.37,29,54,14,18,5.5,58,2,2015-04-07 20:00
三重,新北市,30,,良好,2.7,1.88,,36,2,39,,,1,2015-04-07 20:00
三義,苗栗縣,30,,良好,1.9,0.3,36,17,14,9.1,5.8,41,2,2015-04-07 20:00
土城,新北市,35,,良好,1.7,0.49,42,9,7,14,1.9,144,1,2015-04-07 20:00
士林,臺北市,40,,良好,1.1,0.33,48,24,3,10,2,93,1,2015-04-07 20:00
大同,臺北市,29,,良好,2.4,1.33,,30,7,39,,,1,2015-04-07 20:00
大里,臺中市,0,,,1.4,0.46,24,68,14,18,3.5,312,2,2015-04-07 20:00
大園,桃園市,38,,良好,1.5,0.27,46,25,5,8.3,8,69,1,2015-04-07 20:00
大寮,高雄市,54,懸浮微粒,普通,3.8,0.55,34,84,35,26,1.8,307,2,2015-04-07 20:00
小港,高雄市,60,懸浮微粒,普通,2.5,0.6,36,70,17,22,1.8,310,3,2015-04-07 20:00
中山,臺北市,34,,良好,1.2,0.66,27,35,0,34,2.7,117,1,2015-04-07 20:00
中壢,桃園市,46,,良好,3.8,0.67,29,31,4,25,2.1,80,1,2015-04-07 20:00
仁武,高雄市,70,懸浮微粒,普通,3.5,0.61,33,138,26,27,1.9,310,2,2015-04-07 20:00
斗六,雲林縣,66,懸浮微粒,普通,2.8,0.45,18,73,30,22,2.9,28,3,2015-04-07 20:00
冬山,宜蘭縣,41,,良好,1.3,0.28,49,16,1,7,3.3,43,1,2015-04-07 20:00
古亭,臺北市,28,,良好,1.1,0.51,33,24,9,20,3.5,90,1,2015-04-07 20:00
左營,高雄市,67,懸浮微粒,普通,3.1,0.66,36,110,29,25,3,26,3,2015-04-07 20:00
平鎮,桃園市,32,,良好,1.8,0.36,39,19,3,13,4.7,45,1,2015-04-07 20:00
永和,新北市,31,,良好,0.8,0.61,37,9,1,18,3.3,84,1,2015-04-07 20:00
安南,臺南市,84,懸浮微粒,普通,2.6,0.41,33,102,26,13,3.9,62,3,2015-04-07 20:00
朴子,嘉義縣,90,懸浮微粒,普通,3.8,0.42,18,91,12,18,3.6,77,2,2015-04-07 20:00
汐止,新北市,36,,良好,1.2,0.3,44,9,6,9.3,2.3,64,1,2015-04-07 20:00
竹山,南投縣,66,懸浮微粒,普通,5,0.55,19,84,41,25,1.5,302,4,2015-04-07 20:00
竹東,新竹縣,37,,良好,1.2,0.3,44,16,11,7.4,4.2,55,2,2015-04-07 20:00
西屯,臺中市,40,,良好,1.6,0.32,35,27,16,12,5.5,53,2,2015-04-07 20:00
沙鹿,臺中市,50,,良好,2.3,0.37,32,39,10,17,6.8,57,2,2015-04-07 20:00
宜蘭,宜蘭縣,36,,良好,1.4,0.42,43,17,8,7.5,2.1,86,1,2015-04-07 20:00
忠明,臺中市,34,,良好,2.6,0.41,27,26,6,15,2.7,52,1,2015-04-07 20:00
松山,臺北市,30,,良好,0.4,0.45,36,6,0,20,2.4,56,1,2015-04-07 20:00
板橋,新北市,27,,良好,1.5,0.61,32,13,10,25,3,85,1,2015-04-07 20:00
林口,新北市,42,,良好,0.8,0.11,51,13,7,6.3,2.7,67,1,2015-04-07 20:00
林園,高雄市,38,,良好,2.5,0.29,46,35,13,8,1.3,281,2,2015-04-07 20:00
花蓮,花蓮縣,31,,良好,1,0.37,37,12,0,9.1,3.7,51,,2015-04-07 20:00
金門,金門縣,48,,良好,1.2,0.34,47,33,20,7.5,4.2,68,2,2015-04-07 20:00
前金,高雄市,66,懸浮微粒,普通,2.6,0.7,39,117,32,24,1.5,329,3,2015-04-07 20:00
前鎮,高雄市,61,懸浮微粒,普通,3.1,0.73,38,104,31,24,2.2,40,2,2015-04-07 20:00
南投,南投縣,56,懸浮微粒,普通,2.4,0.52,22,51,19,20,2.4,306,2,2015-04-07 20:00
屏東,屏東縣,56,懸浮微粒,普通,3.1,0.53,47,88,26,15,1.1,291,3,2015-04-07 20:00
恆春,屏東縣,0,,,1.7,0.24,43,21,2,1.1,10,39,,2015-04-07 20:00
美濃,高雄市,68,懸浮微粒,普通,2.5,0.42,51,109,22,10,1.4,285,3,2015-04-07 20:00
苗栗,苗栗縣,55,懸浮微粒,普通,3.6,0.45,31,56,20,17,3.9,45,2,2015-04-07 20:00
埔里,南投縣,51,懸浮微粒,普通,1.8,0.48,48,55,33,15,0.7,265,3,2015-04-07 20:00
桃園,桃園市,34,,良好,1.7,0.4,41,17,4,12,1.5,190,1,2015-04-07 20:00
馬公,澎湖縣,40,,良好,1.4,0.29,48,26,14,3.2,7.3,82,2,2015-04-07 20:00
