監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.056,2015-04-07 15:25
三芝,SHANGI,0.064,2015-04-07 15:20
石崩山,SHIHBENGSHAN,0.113,2015-04-07 15:25
茂林,MAOLIN,0.057,2015-04-07 15:25
金山,CHINSHAN,0.052,2015-04-07 15:25
野柳,YEHLIU,0.057,2015-04-07 15:25
大鵬,TAPERNG,0.066,2015-04-07 15:20
陽明山,YANGMINSHAN,0.058,2015-04-07 15:25
大坪,TAPING,0.086,2015-04-07 15:20
萬里,WANLI,0.076,2015-04-07 15:25
台北,TAIPEI,0.056,2015-04-07 15:20
宜蘭,ILAN,0.063,2015-04-07 15:20
龍潭,LUNGTAN,0.053,2015-04-07 15:25
台中,TAICHUNG,0.072,2015-04-07 15:20
台東,TAITUNG,0.054,2015-04-07 15:20
高雄,KAOHSIUNG,0.060,2015-04-07 15:25
恆春,HENGCHUN,0.070,2015-04-07 15:25
龍泉,LUNGCHUAN,0.057,2015-04-07 15:25
大光,TAKUANG,0.051,2015-04-07 15:20
墾丁,KENTING,0.051,2015-04-07 15:20
後壁湖,HOUBIHU,0.056,2015-04-07 15:25
澳底,AODI,0.064,2015-04-07 15:25
貢寮,GONGLIAO,0.051,2015-04-07 15:25
阿里山,ALISHAN,0.101,2015-04-07 15:25
金門,KINMEN,0.081,2015-04-07 15:25
蘭嶼,LANYU,0.044,2015-04-07 15:25
台南,TAINAN,0.065,2015-04-07 15:25
龍門,LUNGMEN,0.061,2015-04-07 15:25
雙溪,SHUANGSI,0.063,2015-04-07 15:25
三港,SANGANG,0.066,2015-04-07 15:25
新竹,HSINCHU,0.053,2015-04-07 15:25
花蓮,HUALINE,0.053,2015-04-07 15:25
澎湖,PENGHU,0.055,2015-04-07 15:25
馬祖,MATZU,0.052,2015-04-07 15:25
滿州,MANJHOU,0.055,2015-04-07 15:25
板橋,BANCIAO,0.068,2015-04-07 15:20
屏東市,PINGTONG,0.051,2015-04-07 15:20
基隆,KEELUNG,0.066,2015-04-07 15:20
頭城,TOUCHENG,0.052,2015-04-07 15:25
竹北,JHUBEI,0.047,2015-04-07 15:25
苗栗,MIAOLI,0.042,2015-04-07 15:25
南投,NANTOU,0.050,2015-04-06 16:15
彰化,CHANGHUA,0.060,2015-04-07 15:20
雲林,YUNLIN,0.056,2015-04-07 15:25
嘉義,CHIAYI,0.045,2015-04-07 15:20
