SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,27,,良好,3.2,0.33,33,18,,8.5,0.5,169,,9.42,.95,2015-09-22 01:00
三重,新北市,50,,良好,3,0.67,,43,9,21,,,2,32.94,12.09,2015-09-22 01:00
三義,苗栗縣,52,懸浮微粒,普通,2.3,0.36,35,55,47,13,0.5,225,5,14.37,.91,2015-09-22 01:00
土城,新北市,32,,良好,1.2,0.26,26,32,23,8.3,1.1,343,2,9.23,.91,2015-09-22 01:00
士林,臺北市,34,,良好,8.8,0.21,41,28,20,5.2,1.9,115,3,6.65,1.5,2015-09-22 01:00
大同,臺北市,44,,良好,1.8,1.18,,37,17,21,,,2,35.06,14.39,2015-09-22 01:00
大里,臺中市,60,懸浮微粒,普通,3,0.6,14,63,40,23,0.9,195,4,23.28,.59,2015-09-22 01:00
大園,桃園市,42,,良好,4.1,0.33,24,41,27,14,2,129,3,14.67,.75,2015-09-22 01:00
大寮,高雄市,54,懸浮微粒,普通,4.3,0.49,20,48,37,18,,,4,20.37,2.33,2015-09-22 01:00
小港,高雄市,52,懸浮微粒,普通,3.8,0.68,21,45,36,32,0.5,331,4,33.24,1.43,2015-09-22 01:00
中山,臺北市,32,,良好,2.1,0.34,29,23,8,11,1.9,128,2,13.98,2.49,2015-09-22 01:00
中壢,桃園市,53,懸浮微粒,普通,4.6,0.76,12,37,15,23,1.4,200,3,32.68,10.16,2015-09-22 01:00
仁武,高雄市,54,懸浮微粒,普通,2.9,0.3,36,47,20,11,0.6,238,3,12.03,.63,2015-09-22 01:00
斗六,雲林縣,50,,良好,2,0.42,16,50,35,17,1.1,119,3,18.77,1.79,2015-09-22 01:00
冬山,宜蘭縣,27,,良好,1,0.28,7.4,26,18,,1,224,2,,,2015-09-22 01:00
古亭,臺北市,40,,良好,2,0.3,24,27,11,11,2.6,108,2,12.65,1.32,2015-09-22 01:00
左營,高雄市,40,,良好,1.7,0.23,47,27,16,6.9,2,309,2,7.73,.81,2015-09-22 01:00
平鎮,桃園市,51,懸浮微粒,普通,3,0.41,14,39,18,18,1.8,128,3,19.72,1.89,2015-09-22 01:00
永和,新北市,31,,良好,2.4,0.37,26,22,12,11,1,119,2,14.2,2.98,2015-09-22 01:00
安南,臺南市,51,懸浮微粒,普通,3.3,0.38,30,48,35,14,0.8,117,3,14.86,.89,2015-09-22 01:00
朴子,嘉義縣,54,懸浮微粒,普通,3,0.25,49,71,35,6.5,0.6,68,3,7.32,.85,2015-09-22 01:00
汐止,新北市,23,,良好,2.2,0.27,21,22,7,12,1.4,51,1,13.84,1.55,2015-09-22 01:00
竹山,南投縣,56,懸浮微粒,普通,1.9,0.38,20,59,39,13,0.7,84,4,14.28,1.4,2015-09-22 01:00
竹東,新竹縣,53,懸浮微粒,普通,2.5,0.36,20,48,33,6.3,1,131,4,7.64,1.33,2015-09-22 01:00
西屯,臺中市,58,懸浮微粒,普通,3.3,0.59,8.8,73,3,29,1.2,187,3,31.86,2.59,2015-09-22 01:00
沙鹿,臺中市,62,懸浮微粒,普通,3.3,0.7,16,92,50,29,1.3,180,4,30.34,1.13,2015-09-22 01:00
宜蘭,宜蘭縣,31,,良好,1.7,0.27,15,34,13,5.5,1.2,320,1,5.91,.38,2015-09-22 01:00
忠明,臺中市,54,懸浮微粒,普通,4,0.6,17,62,43,21,1.8,185,5,22.21,.75,2015-09-22 01:00
松山,臺北市,24,,良好,1.4,0.31,25,30,3,11,1,64,1,13.02,1.58,2015-09-22 01:00
板橋,新北市,38,,良好,2.7,0.47,21,29,15,17,1.1,98,2,19.61,2.19,2015-09-22 01:00
林口,新北市,45,,良好,1.3,0.26,36,37,18,8.9,3,128,2,10.66,1.76,2015-09-22 01:00
林園,高雄市,41,,良好,4.3,0.68,29,38,36,17,0.5,227,3,17.87,.54,2015-09-22 01:00
花蓮,花蓮縣,27,,良好,1.5,0.2,21,20,16,5.1,2.8,230,2,6.08,.99,2015-09-22 01:00
金門,金門縣,33,,良好,4.7,0.29,32,32,19,8.1,1.3,47,2,8.9,.85,2015-09-22 01:00
前金,高雄市,44,,良好,2.8,0.29,45,40,30,6.5,1.4,324,3,7.17,.64,2015-09-22 01:00
前鎮,高雄市,51,懸浮微粒,普通,6.1,0.52,26,50,12,20,0.5,324,3,21.51,1.65,2015-09-22 01:00
南投,南投縣,60,懸浮微粒,普通,2.6,0.52,11,75,40,16,1.9,132,4,15.87,-.37,2015-09-22 01:00
屏東,屏東縣,66,懸浮微粒,普通,5.1,0.77,16,83,51,21,0.5,299,7,21.87,1.23,2015-09-22 01:00
恆春,屏東縣,29,,良好,1,0.12,35,22,2,1.4,2.8,47,1,3.55,2.13,2015-09-22 01:00
美濃,高雄市,37,,良好,0.5,0.33,24,34,28,4.8,0.7,54,3,6.66,1.86,2015-09-22 01:00
苗栗,苗栗縣,59,懸浮微粒,普通,2.4,0.44,32,71,36,10,1.2,196,4,11.79,1.45,2015-09-22 01:00
埔里,南投縣,60,懸浮微粒,普通,2.8,0.49,20,68,57,13,0.8,331,7,13.97,1.44,2015-09-22 01:00
桃園,桃園市,38,,良好,4.9,0.36,26,28,19,13,1.3,127,2,14.26,1.39,2015-09-22 01:00
馬公,澎湖縣,37,,良好,2.2,0.16,45,17,18,1.9,1.4,62,2,2.87,.97,2015-09-22 01:00
馬祖,連江縣,41,,良好,1.7,0.18,50,22,16,3.4,2.6,51,1,3.84,.47,2015-09-22 01:00
基隆,基隆市,21,,良好,1.7,0.26,25,33,24,8.3,1.7,91,2,9.47,1.15,2015-09-22 01:00
崙背,雲林縣,53,懸浮微粒,普通,1.8,0.3,29,60,42,7.8,0.7,92,5,8.21,.39,2015-09-22 01:00
淡水,新北市,47,,良好,1.8,0.2,39,33,8,2.6,,,2,3.24,.69,2015-09-22 01:00
麥寮,雲林縣,54,懸浮微粒,普通,3.5,0.29,47,64,31,6.2,0.9,148,2,9.69,3.52,2015-09-22 01:00
善化,臺南市,41,,良好,0.9,0.28,21,44,32,9.7,1,126,3,10.46,.75,2015-09-22 01:00
復興,高雄市,44,,良好,1.1,0.64,6.5,33,28,16,0.5,226,3,17.91,1.96,2015-09-22 01:00
湖口,新竹縣,54,懸浮微粒,普通,2.8,0.35,17,45,10,,0.7,171,2,,,2015-09-22 01:00
菜寮,新北市,31,,良好,1.4,0.3,26,26,11,9.9,0.6,307,2,12.97,3.08,2015-09-22 01:00
陽明,臺北市,34,,良好,2,0.16,40,9,9,1.2,,,2,1.77,.55,2015-09-22 01:00
