監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.065,2015-04-10 04:30
三芝,SHANGI,0.060,2015-04-10 04:25
石崩山,SHIHBENGSHAN,0.078,2015-04-10 04:25
茂林,MAOLIN,0.057,2015-04-10 04:30
金山,CHINSHAN,0.057,2015-04-10 04:30
野柳,YEHLIU,0.064,2015-04-10 04:30
大鵬,TAPERNG,0.071,2015-04-10 04:25
陽明山,YANGMINSHAN,0.060,2015-04-10 04:30
大坪,TAPING,0.071,2015-04-10 04:25
萬里,WANLI,0.077,2015-04-10 04:30
台北,TAIPEI,0.056,2015-04-10 04:25
宜蘭,ILAN,0.063,2015-04-10 04:25
龍潭,LUNGTAN,0.051,2015-04-10 04:30
台中,TAICHUNG,0.070,2015-04-10 04:25
台東,TAITUNG,0.052,2015-04-10 04:25
高雄,KAOHSIUNG,0.061,2015-04-10 04:30
恆春,HENGCHUN,0.070,2015-04-10 04:25
龍泉,LUNGCHUAN,0.056,2015-04-10 04:30
大光,TAKUANG,0.047,2015-04-10 04:25
墾丁,KENTING,0.051,2015-04-10 04:25
後壁湖,HOUBIHU,0.058,2015-04-10 04:25
澳底,AODI,0.051,2015-04-10 04:30
貢寮,GONGLIAO,0.052,2015-04-10 04:30
阿里山,ALISHAN,0.101,2015-04-10 04:30
金門,KINMEN,0.083,2015-04-10 04:30
蘭嶼,LANYU,0.040,2015-04-10 04:30
台南,TAINAN,0.063,2015-04-10 04:25
龍門,LUNGMEN,0.052,2015-04-10 04:30
雙溪,SHUANGSI,0.062,2015-04-10 04:30
三港,SANGANG,0.060,2015-04-10 04:25
新竹,HSINCHU,0.053,2015-04-10 04:25
花蓮,HUALINE,0.052,2015-04-10 04:30
澎湖,PENGHU,0.050,2015-04-10 04:30
馬祖,MATZU,0.051,2015-04-10 04:30
滿州,MANJHOU,0.051,2015-04-10 04:25
板橋,BANCIAO,0.076,2015-04-10 04:25
屏東市,PINGTONG,0.049,2015-04-10 00:40
基隆,KEELUNG,0.062,2015-04-10 04:25
頭城,TOUCHENG,0.050,2015-04-10 04:30
竹北,JHUBEI,0.051,2015-04-10 04:25
苗栗,MIAOLI,0.044,2015-04-10 04:25
南投,NANTOU,0.050,2015-04-06 16:15
彰化,CHANGHUA,0.068,2015-04-10 04:25
雲林,YUNLIN,0.052,2015-04-10 04:30
嘉義,CHIAYI,0.048,2015-04-10 04:25
