監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.056,2015-01-28 14:55
三芝,SHANGI,0.064,2015-01-28 14:50
石崩山,SHIHBENGSHAN,0.066,2015-01-28 14:55
茂林,MAOLIN,0.051,2015-01-28 14:55
金山,CHINSHAN,0.048,2015-01-28 14:55
野柳,YEHLIU,0.053,2015-01-28 14:55
大鵬,TAPERNG,0.069,2015-01-28 14:50
陽明山,YANGMINSHAN,0.061,2015-01-28 14:55
大坪,TAPING,0.070,2015-01-28 14:50
萬里,WANLI,0.074,2015-01-28 14:55
台北,TAIPEI,0.056,2015-01-28 14:50
宜蘭,ILAN,0.060,2015-01-28 14:50
龍潭,LUNGTAN,0.051,2015-01-28 14:55
台中,TAICHUNG,0.070,2015-01-28 14:50
台東,TAITUNG,0.054,2015-01-28 14:50
高雄,KAOHSIUNG,0.060,2015-01-28 14:55
恆春,HENGCHUN,0.069,2015-01-28 14:55
龍泉,LUNGCHUAN,0.061,2015-01-28 14:55
大光,TAKUANG,0.051,2015-01-28 14:50
墾丁,KENTING,0.052,2015-01-28 14:50
後壁湖,HOUBIHU,0.057,2015-01-28 14:50
澳底,AODI,0.053,2015-01-28 14:55
貢寮,GONGLIAO,0.059,2015-01-28 14:55
阿里山,ALISHAN,0.096,2015-01-28 14:55
金門,KINMEN,0.084,2015-01-28 14:55
蘭嶼,LANYU,0.041,2015-01-24 04:45
台南,TAINAN,0.062,2015-01-28 14:50
龍門,LUNGMEN,0.053,2015-01-28 14:55
雙溪,SHUANGSI,0.065,2015-01-28 14:55
三港,SANGANG,0.062,2015-01-28 14:50
新竹,HSINCHU,0.054,2015-01-28 14:55
花蓮,HUALINE,0.050,2015-01-28 14:55
澎湖,PENGHU,0.051,2015-01-28 14:55
馬祖,MATZU,0.049,2015-01-28 14:55
滿州,MANJHOU,0.049,2015-01-28 14:55
板橋,BANCIAO,0.069,2015-01-28 14:50
屏東市,PINGTONG,0.051,2015-01-28 14:50
基隆,KEELUNG,0.059,2015-01-28 14:50
頭城,TOUCHENG,0.051,2015-01-28 14:55
竹北,JHUBEI,0.051,2015-01-28 14:50
苗栗,MIAOLI,0.044,2015-01-28 14:55
南投,NANTOU,0.050,2015-01-28 14:50
彰化,CHANGHUA,0.063,2015-01-28 14:50
雲林,YUNLIN,0.057,2015-01-28 14:55
嘉義,CHIAYI,0.048,2015-01-28 14:50
