"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
1,"24679607","能橋自動化有限公司","高雄市岡山區為隨西路67巷30號","葉春義",1000000,"1040429"
2,"24685306","永茂企業有限公司","高雄市鳳山區新富路385號4樓之2","邱柏維",500000,"1040325"
3,"24685827","三業建設股份有限公司","高雄市左營區文恩路127號1樓","文憶綝",3000000,"1040330"
4,"24685853","竑任企業有限公司","高雄市大寮區六和路4巷52號1樓","薛佩凌",600000,"1040330"
5,"24685880","寶泰金投資顧問有限公司","高雄市苓雅區四維四路2號4樓之2","張英樺",300000,"1040330"
6,"24685896","愛牛客餐飲有限公司","高雄市苓雅區五福一路187號、189號","邵明偉",3000000,"1040330"
7,"24685930","金成科技國際有限公司","高雄市左營區重立路156號10樓","林進辛",100000,"1040331"
8,"24685951","銘泰投資有限公司","高雄市前鎮區民權二路8號10樓之2","陳世明",10000000,"1040331"
9,"24685967","荷田包裝有限公司","高雄市三民區褒揚街289號1樓","林雅婷",3000000,"1040331"
10,"24685973","潛錩規劃行銷有限公司","高雄市左營區明潭路110巷1號","田文忠",300000,"1040331"
11,"24685988","珍寶閣藝品有限公司","高雄市鳳山區文樂街78號1樓","吳芷珍",500000,"1040331"
12,"24686017","林財記國際貿易有限公司","高雄市美濃區福安街12號1樓","林淑萍",1000000,"1040331"
13,"24686023","法迪國際有限公司","高雄市鳳山區新生街1段91號","黃金治",200000,"1040331"
14,"24686038","生之美實業有限公司","高雄市鳳山區文龍東路31號","林翠媛",1000000,"1040331"
15,"24686059","毅美國際管理顧問有限公司","高雄市三民區明仁路147號12樓","何毅夫",2000000,"1040331"
16,"24686065","育和精密有限公司","高雄市岡山區為隨東路58巷26號","林雪華",1000000,"1040331"
17,"24686071","愛芙雅科技有限公司","高雄市新興區復興一路49號7樓之9","韋興亮",200000,"1040331"
18,"24686086","尼克瘋耳機有限公司","高雄市鳳山區鳳仁路242巷18號1樓","陳智勳",50000,"1040331"
19,"24686092","知者國際行銷有限公司","高雄市三民區民族一路80號6樓之1","陳怡元",1000000,"1040331"
20,"24686109","兆盛聯通有限公司","高雄市鹽埕區七賢三路1號4樓之11","李有望",3000000,"1040331"
21,"24686115","原禧科技有限公司","高雄市左營區博愛二路366號7樓之6","曹美玲",1000000,"1040331"
22,"24686121","元合喬企業有限公司","高雄市鼓山區富農路308號8樓","黃盟元",2000000,"1040331"
23,"24686136","禧福文化創意有限公司","高雄市苓雅區中正二路18號7樓","吳政勲",1000000,"1040331"
24,"24686142","鼎極地產開發有限公司","高雄市左營區孟子路472號10樓","孔卉蘭",30000000,"1040331"
25,"24686157","酉新實業有限公司","高雄市路竹區永華路10號1樓","周啓順",200000,"1040331"
26,"24686163","九丰鋼鐵材料有限公司","高雄市楠梓區高楠公路2500之10號","",2000000,"1040401"
27,"24686179","郡龍有限公司","高雄市新興區中山一路162號6樓","彭瑞龍",500000,"1040331"
28,"24686184","冠宏水電工程有限公司","高雄市鳳山區國富路42號8樓","尤泰忠",1000000,"1040401"
29,"24686190","晨竣工程有限公司","高雄市小港區平和七路78之1號","吳明軒",5000000,"1040401"
30,"24686207","盛耀興國際有限公司","高雄市阿蓮區中山路521巷82號","高佩瑜",1000000,"1040401"
31,"24686213","長居工程有限公司","高雄市大寮區鳳林三路275號1樓","陳玲巧",1000000,"1040401"
32,"24686229","朋群有限公司","高雄市苓雅區中山二路489號3樓","康嬑佩",6000000,"1040401"
33,"24686234","南洋漁業股份有限公司","高雄市苓雅區新光路38號13樓之2","蔡凱翔",10000000,"1040401"
34,"24686240","緯合實業有限公司","高雄市鼓山區裕誠路1563巷36號","陸國鑫",300000,"1040401"
35,"24686255","長盈投資有限公司","高雄市大寮區琉球路1巷22號1樓","黃桂蘭",8000000,"1040401"
36,"24686261","御苑室內裝潢有限公司","高雄市前鎮區三多二路355之3號","蔡金盆",1000000,"1040401"
37,"24686277","宏慶投資有限公司","高雄市新興區中正三路55號11樓之1","林為杰",500000,"1040401"
38,"24686282","睿維股份有限公司","高雄市前鎮區民權二路86號7樓","馮啟彥",32500000,"1040401"
39,"24686298","東昇雲端科技有限公司","高雄市新興區民權一路251號11樓之4","邱宥薰",500000,"1040401"
40,"24686305","永立國際貿易有限公司","高雄市左營區重平路11號13樓之2","林庭輝",6000000,"1040401"
41,"24686311","瑄程有限公司","高雄市彌陀區中正路54號1樓","蔡羽宣",100000,"1040401"
42,"24686332","祥家瑞建設有限公司","高雄市新興區中山一路18之1號3樓","李尚家",5000000,"1040401"
43,"24686348","凱核國際貿易有限公司","高雄市苓雅區中山二路368號3樓","林琪潔",100000,"1040401"
44,"24686353","全韓精品服飾有限公司","高雄市新興區文化路73號1、2樓","游鎮光",600000,"1040401"
45,"24686369","百超實業有限公司","高雄市梓官區中正路28號2樓","黃善永",1000000,"1040401"
46,"24686375","致然文創有限公司","高雄市左營區光興街58巷15號13樓之1","林侑正",1000000,"1040401"
47,"24686380","帕克奇有限公司","高雄市楠梓區創新路886號5樓","賴易辰",200000,"1040401"
48,"24686396","京澄國際餐飲有限公司","高雄市前鎮區光華三路231號6樓","林怡芳",2000000,"1040401"
49,"24686403","水噴噴輪胎有限公司","高雄市鳳山區園茂路141巷6號","黃瑞如",1000000,"1040401"
50,"24686419","古士德有限公司","高雄市三民區興隆街86之1號3樓","鄭小慧",500000,"1040401"
51,"24686425","高聖資源有限公司","高雄市前鎮區二聖一路21號","趙帝凱",100000,"1040401"
52,"24686430","亞璋化技有限公司","高雄市林園區田厝路25號","余韋賢",5000000,"1040401"
53,"24686451","長江清潔有限公司","高雄市楠梓區德民路22號1樓","倪嘉鴻",5000000,"1040401"
54,"24686467","孟奇科技有限公司","高雄市三民區鼎華路173號5樓之2","童顯琮",1000000,"1040401"
55,"24686473","金星環保有限公司","高雄市前鎮區天山路119號2樓","葉正瑋",200000,"1040401"
56,"24686488","法布爾管理顧問有限公司","高雄市左營區大順一路210號1樓","陳昭敦",50000,"1040402"
57,"24686494","漢合食品有限公司","高雄市三民區覺民路26號","吳秋男",1000000,"1040402"
58,"24686500","得豐有限公司","高雄市小港區孔宅六街300號","傅靄萍",500000,"1040320"
59,"24686516","創盛國際實業有限公司","高雄市仁武區名湖街952巷7號2樓","吳登賢",1500000,"1040402"
60,"24686522","鈞邦有限公司","高雄市大樹區久堂路58巷10號1樓","陳清錄",100000,"1040402"
61,"24686537","穎昇工業有限公司","高雄市阿蓮區大埤路2之2號","朱立農",1000000,"1040402"
62,"24686543","昌平投資有限公司","高雄市大寮區琉球路76之11號1樓","戴雪鳳",6000000,"1040402"
63,"24686558","皇佑資產管理有限公司","高雄市鳳山區八德路324號1樓","邱崑虎",300000,"1040402"
