SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,39,,良好,10,0.5,26,43,26,19,3.3,52,3,2015-02-27 11:00
三重,新北市,36,,良好,5.5,1.12,,39,9,30,,,1,2015-02-27 11:00
三義,苗栗縣,22,,良好,1.2,0.25,27,26,17,5.6,3.8,64,1,2015-02-27 11:00
土城,新北市,32,,良好,1.9,0.38,38,13,12,12,3.1,228,1,2015-02-27 11:00
士林,臺北市,36,,良好,1.6,0.26,43,23,10,7.3,3.5,102,1,2015-02-27 11:00
大同,臺北市,25,,良好,7.8,0.72,,29,10,29,,,1,2015-02-27 11:00
大里,臺中市,38,,良好,2.7,0.47,34,43,25,16,1.8,349,2,2015-02-27 11:00
大園,桃園市,30,,良好,2.9,0.25,35,38,12,14,6.8,59,1,2015-02-27 11:00
大寮,高雄市,66,懸浮微粒,普通,9.2,0.99,26,98,69,38,1.4,263,6,2015-02-27 11:00
小港,高雄市,68,懸浮微粒,普通,16,0.63,24,101,58,33,2.2,248,6,2015-02-27 11:00
中山,臺北市,24,,良好,6.8,0.46,29,31,4,19,4,101,1,2015-02-27 11:00
中壢,桃園市,46,,良好,4.8,0.75,22,57,5,28,1.3,123,1,2015-02-27 11:00
仁武,高雄市,76,懸浮微粒,普通,5,0.65,29,110,28,28,1.9,319,5,2015-02-27 11:00
斗六,雲林縣,50,,良好,3,0.45,34,59,46,14,1.6,312,4,2015-02-27 11:00
冬山,宜蘭縣,30,,良好,1,0.28,36,16,7,8.5,1.2,325,1,2015-02-27 11:00
古亭,臺北市,25,,良好,2.2,0.39,30,23,12,15,4.8,81,1,2015-02-27 11:00
左營,高雄市,62,懸浮微粒,普通,4.9,0.63,29,86,50,25,3.3,285,6,2015-02-27 11:00
平鎮,桃園市,29,,良好,3.4,0.38,28,41,18,18,3,46,1,2015-02-27 11:00
永和,新北市,26,,良好,2.6,0.53,32,21,10,17,4.7,82,1,2015-02-27 11:00
安南,臺南市,59,懸浮微粒,普通,2.1,0.36,41,78,34,8.5,2.2,344,3,2015-02-27 11:00
朴子,嘉義縣,55,懸浮微粒,普通,3.1,0.36,35,69,29,9.3,2,34,3,2015-02-27 11:00
汐止,新北市,28,,良好,3.2,0.31,33,18,12,12,2.5,63,1,2015-02-27 11:00
竹山,南投縣,57,懸浮微粒,普通,2.2,0.42,37,68,41,13,2.1,288,4,2015-02-27 11:00
竹東,新竹縣,34,,良好,1.7,0.43,22,40,24,18,0.9,299,2,2015-02-27 11:00
西屯,臺中市,32,,良好,1.6,0.23,28,33,19,11,2.7,32,2,2015-02-27 11:00
沙鹿,臺中市,37,,良好,1.5,0.3,31,33,16,10,4.5,327,2,2015-02-27 11:00
宜蘭,宜蘭縣,27,,良好,0.8,0.3,33,20,4,6.2,0.7,185,1,2015-02-27 11:00
忠明,臺中市,30,,良好,1.4,0.34,27,36,18,13,1.4,331,2,2015-02-27 11:00
松山,臺北市,25,,良好,3.1,0.37,30,10,6,19,3.1,73,1,2015-02-27 11:00
板橋,新北市,28,,良好,2.6,0.43,33,18,9,13,3.1,68,1,2015-02-27 11:00
林口,新北市,33,,良好,2.1,0.29,40,15,6,10,4.8,89,2,2015-02-27 11:00
林園,高雄市,54,懸浮微粒,普通,14,0.89,26,70,66,33,2.8,277,6,2015-02-27 11:00
花蓮,花蓮縣,29,,良好,1.9,0.28,35,27,5,8.4,2.6,96,1,2015-02-27 11:00
金門,金門縣,32,,良好,2.2,0.33,39,32,18,6.7,3.8,73,2,2015-02-27 11:00
前金,高雄市,72,懸浮微粒,普通,3.8,0.73,30,99,55,24,2.2,332,5,2015-02-27 11:00
前鎮,高雄市,59,懸浮微粒,普通,5.6,0.68,23,77,53,29,2,300,6,2015-02-27 11:00
南投,南投縣,56,懸浮微粒,普通,2.1,0.55,37,77,44,15,2.1,23,4,2015-02-27 11:00
屏東,屏東縣,74,懸浮微粒,普通,5.7,0.6,35,109,59,17,1.4,272,6,2015-02-27 11:00
恆春,屏東縣,38,,良好,0.7,0.17,45,21,7,2.1,8.8,38,1,2015-02-27 11:00
美濃,高雄市,67,懸浮微粒,普通,1.6,0.43,33,71,35,9.5,1.3,281,3,2015-02-27 11:00
苗栗,苗栗縣,37,,良好,2.6,0.42,22,46,29,18,1.7,30,2,2015-02-27 11:00
埔里,南投縣,58,懸浮微粒,普通,2.2,0.43,46,57,45,12,0.8,307,8,2015-02-27 11:00
桃園,桃園市,30,,良好,3.1,0.42,35,24,4,13,3.1,78,1,2015-02-27 11:00
馬公,澎湖縣,36,,良好,1.7,0.21,43,26,17,2,5,76,1,2015-02-27 11:00
馬祖,連江縣,44,,良好,1.5,0.28,53,32,19,2.7,5.4,62,2,2015-02-27 11:00
基隆,基隆市,30,,良好,0.6,0.38,36,21,11,9,0.5,55,1,2015-02-27 11:00
崙背,雲林縣,40,,良好,8.9,0.53,21,43,36,18,2.7,299,3,2015-02-27 11:00
淡水,新北市,32,,良好,1.4,0.27,39,10,0,6.4,,,,2015-02-27 11:00
麥寮,雲林縣,56,懸浮微粒,普通,1.8,0.22,45,71,25,4.8,4.6,106,3,2015-02-27 11:00
善化,臺南市,58,懸浮微粒,普通,3.5,0.43,31,71,63,14,2.4,23,4,2015-02-27 11:00
復興,高雄市,64,懸浮微粒,普通,4,1.04,20,90,63,27,1,225,7,2015-02-27 11:00
湖口,新竹縣,31,,良好,2.1,0.29,37,28,6,8.8,3.9,40,1,2015-02-27 11:00
菜寮,新北市,0,,,6.1,0.28,30,22,10,11,5.1,84,,2015-02-27 11:00
陽明,臺北市,38,,良好,0.9,0.21,45,7,2,0.7,,,1,2015-02-27 11:00
新竹,新竹市,29,,良好,2.2,0.43,28,33,19,18,1.2,54,2,2015-02-27 11:00
