SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,52,懸浮微粒,普通,2.5,0.21,45,55,35,4.9,4.6,70,3,2015-02-27 18:00
三重,新北市,42,,良好,3.4,2.26,,53,15,42,,,2,2015-02-27 18:00
三義,苗栗縣,40,,良好,1.2,0.28,39,38,19,9.4,4.8,52,2,2015-02-27 18:00
土城,新北市,33,,良好,4.2,0.63,20,46,28,29,2.6,309,2,2015-02-27 18:00
士林,臺北市,25,,良好,1.6,0.44,30,31,10,17,2.2,279,2,2015-02-27 18:00
大同,臺北市,45,,良好,3.2,1.8,,58,14,33,,,2,2015-02-27 18:00
大里,臺中市,51,懸浮微粒,普通,1.1,0.39,42,56,29,13,2.9,345,3,2015-02-27 18:00
大園,桃園市,34,,良好,2,0.23,41,28,6,6.1,6.6,45,2,2015-02-27 18:00
大寮,高雄市,70,懸浮微粒,普通,3,0.55,55,83,25,24,2.1,294,5,2015-02-27 18:00
小港,高雄市,69,懸浮微粒,普通,6.2,0.47,44,101,41,26,2.5,298,4,2015-02-27 18:00
中山,臺北市,45,,良好,2.7,0.86,16,47,7,32,1.4,293,1,2015-02-27 18:00
中壢,桃園市,52,懸浮微粒,普通,2,0.81,23,51,14,26,1.7,174,2,2015-02-27 18:00
仁武,高雄市,70,懸浮微粒,普通,3.3,0.48,52,97,39,21,2.6,310,4,2015-02-27 18:00
斗六,雲林縣,62,懸浮微粒,普通,3.4,0.48,33,93,63,18,3.7,38,6,2015-02-27 18:00
冬山,宜蘭縣,23,,良好,1.2,0.32,28,32,21,6,0.8,173,2,2015-02-27 18:00
古亭,臺北市,48,,良好,3.1,0.58,23,59,22,22,1.3,62,2,2015-02-27 18:00
左營,高雄市,56,懸浮微粒,普通,1.9,0.34,53,65,20,9.3,2.8,307,3,2015-02-27 18:00
平鎮,桃園市,42,,良好,1.6,0.29,32,35,17,14,3.7,51,2,2015-02-27 18:00
永和,新北市,34,,良好,3.5,1.04,22,38,20,25,1.5,42,2,2015-02-27 18:00
安南,臺南市,58,懸浮微粒,普通,2.9,0.39,41,65,25,15,3.5,35,3,2015-02-27 18:00
朴子,嘉義縣,60,懸浮微粒,普通,1.5,0.27,48,79,26,6.3,3.3,134,3,2015-02-27 18:00
汐止,新北市,40,,良好,8.1,0.5,20,46,23,23,1.5,88,2,2015-02-27 18:00
竹山,南投縣,70,懸浮微粒,普通,2.3,0.36,45,103,51,14,1.7,274,6,2015-02-27 18:00
竹東,新竹縣,52,懸浮微粒,普通,1.3,0.33,33,56,29,14,2.7,318,3,2015-02-27 18:00
西屯,臺中市,51,懸浮微粒,普通,1.7,0.22,40,49,21,7.2,4.8,340,2,2015-02-27 18:00
沙鹿,臺中市,44,,良好,1,0.26,42,34,7,6.7,5.5,42,2,2015-02-27 18:00
宜蘭,宜蘭縣,33,,良好,1.2,0.34,28,38,18,9.1,0.7,208,2,2015-02-27 18:00
忠明,臺中市,45,,良好,0.9,0.36,35,54,27,12,2.1,360,2,2015-02-27 18:00
松山,臺北市,33,,良好,4.9,0.64,18,41,17,27,1.5,72,1,2015-02-27 18:00
板橋,新北市,32,,良好,3,0.59,23,35,19,22,3.9,295,2,2015-02-27 18:00
林口,新北市,38,,良好,1.2,0.26,42,38,24,7,2.2,96,2,2015-02-27 18:00
林園,高雄市,47,,良好,3.3,0.32,56,42,25,11,3.1,290,3,2015-02-27 18:00
花蓮,花蓮縣,37,,良好,1.4,0.28,45,24,6,5.7,1.7,123,1,2015-02-27 18:00
金門,金門縣,37,,良好,2.2,0.41,41,42,23,8.3,2.8,75,2,2015-02-27 18:00
前金,高雄市,66,懸浮微粒,普通,2.3,0.48,50,89,22,14,3.1,311,3,2015-02-27 18:00
前鎮,高雄市,58,懸浮微粒,普通,1.9,0.53,50,73,27,17,2.6,302,3,2015-02-27 18:00
南投,南投縣,64,懸浮微粒,普通,1.3,0.46,40,81,34,15,2.7,307,4,2015-02-27 18:00
