監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.057,2015-04-08 16:50
三芝,SHANGI,0.060,2015-04-08 16:50
石崩山,SHIHBENGSHAN,0.069,2015-04-08 16:50
茂林,MAOLIN,0.053,2015-04-08 16:50
金山,CHINSHAN,0.049,2015-04-08 16:50
野柳,YEHLIU,0.054,2015-04-08 16:50
大鵬,TAPERNG,0.069,2015-04-08 16:50
陽明山,YANGMINSHAN,0.061,2015-04-08 16:55
大坪,TAPING,0.069,2015-04-08 16:50
萬里,WANLI,0.074,2015-04-08 16:55
台北,TAIPEI,0.055,2015-04-08 16:50
宜蘭,ILAN,0.061,2015-04-08 16:50
龍潭,LUNGTAN,0.049,2015-04-08 16:55
台中,TAICHUNG,0.069,2015-04-08 16:50
台東,TAITUNG,0.054,2015-04-08 16:50
高雄,KAOHSIUNG,0.061,2015-04-08 16:55
恆春,HENGCHUN,0.068,2015-04-08 16:50
龍泉,LUNGCHUAN,0.056,2015-04-08 16:55
大光,TAKUANG,0.049,2015-04-08 16:50
墾丁,KENTING,0.049,2015-04-08 16:50
後壁湖,HOUBIHU,0.056,2015-04-08 16:50
澳底,AODI,0.054,2015-04-08 16:55
貢寮,GONGLIAO,0.087,2015-04-08 16:55
阿里山,ALISHAN,0.104,2015-04-08 16:55
金門,KINMEN,0.081,2015-04-08 16:55
蘭嶼,LANYU,0.040,2015-04-08 16:55
台南,TAINAN,0.063,2015-04-08 16:50
龍門,LUNGMEN,0.057,2015-04-08 16:55
雙溪,SHUANGSI,0.064,2015-04-08 16:55
三港,SANGANG,0.066,2015-04-08 16:50
新竹,HSINCHU,0.050,2015-04-08 16:55
花蓮,HUALINE,0.057,2015-04-08 16:55
澎湖,PENGHU,0.053,2015-04-08 16:55
馬祖,MATZU,0.052,2015-04-08 16:55
滿州,MANJHOU,0.048,2015-04-08 16:50
板橋,BANCIAO,0.062,2015-04-08 16:50
屏東市,PINGTONG,0.050,2015-04-08 16:50
基隆,KEELUNG,0.060,2015-04-08 16:50
頭城,TOUCHENG,0.052,2015-04-08 16:55
竹北,JHUBEI,0.050,2015-04-08 16:50
苗栗,MIAOLI,0.042,2015-04-08 16:50
南投,NANTOU,0.050,2015-04-06 16:15
彰化,CHANGHUA,0.061,2015-04-08 16:50
雲林,YUNLIN,0.054,2015-04-08 16:55
嘉義,CHIAYI,0.046,2015-04-08 16:50
