SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,40,,良好,2.1,0.13,49,38,12,3,6.9,206,1,4.79,1.78,2015-07-21 16:00
三重,新北市,51,懸浮微粒,普通,2.7,1.01,,57,25,51,,,2,82.29,31.21,2015-07-21 16:00
三義,苗栗縣,39,,良好,2.2,0.17,43,45,23,4.5,7,202,2,5.89,1.36,2015-07-21 16:00
土城,新北市,63,臭氧,普通,4.7,0.34,76,42,19,,1.9,137,2,,,2015-07-21 16:00
士林,臺北市,62,臭氧,普通,3,0.23,74,40,21,15,2.1,304,2,16.03,.98,2015-07-21 16:00
大同,臺北市,50,,良好,4.6,0.77,,47,27,33,,,2,50.53,17.94,2015-07-21 16:00
大里,臺中市,27,,良好,,0.18,32,,,,5.5,219,1,,,2015-07-21 16:00
大園,桃園市,45,,良好,2.2,0.15,50,49,11,9.6,5.9,228,2,12.55,2.92,2015-07-21 16:00
大寮,高雄市,21,,良好,2,0.14,22,21,14,2.2,2,169,1,3.58,1.38,2015-07-21 16:00
小港,高雄市,42,,良好,26,0.88,13,,,13,2.4,168,2,23.49,10.39,2015-07-21 16:00
中山,臺北市,60,懸浮微粒,普通,4.5,0.52,34,104,30,25,3.1,123,3,32.12,6.94,2015-07-21 16:00
中壢,桃園市,44,,良好,2.8,1.39,24,59,6,37,1.7,166,1,65.32,28,2015-07-21 16:00
仁武,高雄市,37,,良好,6.2,0.3,26,39,14,8.1,3.3,141,2,12.68,4.58,2015-07-21 16:00
斗六,雲林縣,25,,良好,2.1,0.2,27,,,6.6,3.4,210,1,9.33,2.76,2015-07-21 16:00
冬山,宜蘭縣,36,,良好,2.6,0.2,43,17,16,9.1,2.6,46,2,13.82,4.72,2015-07-21 16:00
古亭,臺北市,0,,,,,,,,,3.7,68,,,,2015-07-21 16:00
左營,高雄市,38,,良好,,,,,,,2.8,179,2,,,2015-07-21 16:00
平鎮,桃園市,40,,良好,2.6,0.25,41,52,16,15,2.3,259,1,17.72,2.34,2015-07-21 16:00
永和,新北市,32,,良好,18,0.45,32,33,24,29,3.4,22,2,37.88,8.73,2015-07-21 16:00
安南,臺南市,36,,良好,2.7,0.15,24,36,10,7.8,4,187,1,12.25,4.41,2015-07-21 16:00
