監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.054,2015-02-08 09:20
三芝,SHANGI,0.063,2015-02-08 09:20
石崩山,SHIHBENGSHAN,0.065,2015-02-08 09:20
茂林,MAOLIN,0.052,2015-02-08 09:20
金山,CHINSHAN,0.049,2015-02-08 09:20
野柳,YEHLIU,0.055,2015-02-08 09:20
大鵬,TAPERNG,0.065,2015-02-08 09:20
陽明山,YANGMINSHAN,0.064,2015-02-08 09:20
大坪,TAPING,0.067,2015-02-08 09:20
萬里,WANLI,0.072,2015-02-08 09:25
台北,TAIPEI,0.054,2015-02-08 09:25
宜蘭,ILAN,0.064,2015-02-08 09:25
龍潭,LUNGTAN,0.056,2015-02-08 09:25
台中,TAICHUNG,0.068,2015-02-08 09:25
台東,TAITUNG,0.056,2015-02-08 09:25
高雄,KAOHSIUNG,0.061,2015-02-08 09:25
恆春,HENGCHUN,0.068,2015-02-08 09:25
龍泉,LUNGCHUAN,0.058,2015-02-08 09:25
大光,TAKUANG,0.050,2015-02-08 09:25
墾丁,KENTING,0.053,2015-02-08 09:25
後壁湖,HOUBIHU,0.056,2015-02-08 09:25
澳底,AODI,0.055,2015-02-08 09:25
貢寮,GONGLIAO,0.054,2015-02-08 09:25
阿里山,ALISHAN,0.106,2015-02-08 09:25
金門,KINMEN,0.088,2015-02-08 09:25
蘭嶼,LANYU,0.041,2015-02-08 09:25
台南,TAINAN,0.060,2015-02-08 09:25
龍門,LUNGMEN,0.053,2015-02-08 09:25
雙溪,SHUANGSI,0.066,2015-02-08 09:25
三港,SANGANG,0.066,2015-02-08 09:25
新竹,HSINCHU,0.052,2015-02-08 09:25
花蓮,HUALINE,0.058,2015-02-08 09:25
澎湖,PENGHU,0.054,2015-02-08 09:25
馬祖,MATZU,0.053,2015-02-08 09:25
滿州,MANJHOU,0.051,2015-02-08 09:25
板橋,BANCIAO,0.071,2015-02-08 09:25
屏東市,PINGTONG,0.047,2015-02-08 09:25
基隆,KEELUNG,0.057,2015-02-08 09:25
頭城,TOUCHENG,0.050,2015-02-08 09:25
竹北,JHUBEI,0.052,2015-02-08 09:25
苗栗,MIAOLI,0.047,2015-02-08 09:25
南投,NANTOU,0.054,2015-02-08 09:25
彰化,CHANGHUA,0.066,2015-02-08 09:25
雲林,YUNLIN,0.054,2015-02-08 09:25
嘉義,CHIAYI,0.052,2015-02-08 09:25
