監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.056,2015-01-27 14:30
三芝,SHANGI,0.069,2015-01-27 14:25
石崩山,SHIHBENGSHAN,0.074,2015-01-27 14:25
茂林,MAOLIN,0.055,2015-01-27 14:25
金山,CHINSHAN,0.050,2015-01-27 14:30
野柳,YEHLIU,0.060,2015-01-27 14:30
大鵬,TAPERNG,0.074,2015-01-27 14:25
陽明山,YANGMINSHAN,0.066,2015-01-27 14:30
大坪,TAPING,0.098,2015-01-27 14:25
萬里,WANLI,0.077,2015-01-27 14:30
台北,TAIPEI,0.062,2015-01-27 14:25
宜蘭,ILAN,0.063,2015-01-27 14:25
龍潭,LUNGTAN,0.051,2015-01-27 14:30
台中,TAICHUNG,0.071,2015-01-27 14:25
台東,TAITUNG,0.058,2015-01-27 12:50
高雄,KAOHSIUNG,0.060,2015-01-27 14:30
恆春,HENGCHUN,0.069,2015-01-27 14:25
龍泉,LUNGCHUAN,0.059,2015-01-27 14:30
大光,TAKUANG,0.050,2015-01-27 14:25
墾丁,KENTING,0.055,2015-01-27 14:25
後壁湖,HOUBIHU,0.055,2015-01-27 14:25
澳底,AODI,0.052,2015-01-27 14:30
貢寮,GONGLIAO,0.051,2015-01-27 14:30
阿里山,ALISHAN,0.099,2015-01-27 14:30
金門,KINMEN,0.083,2015-01-27 14:30
蘭嶼,LANYU,0.041,2015-01-24 04:45
台南,TAINAN,0.064,2015-01-27 14:25
龍門,LUNGMEN,0.054,2015-01-27 14:30
雙溪,SHUANGSI,0.066,2015-01-27 14:30
三港,SANGANG,0.071,2015-01-27 14:25
新竹,HSINCHU,0.051,2015-01-27 14:25
花蓮,HUALINE,0.053,2015-01-27 14:30
澎湖,PENGHU,0.051,2015-01-27 14:25
馬祖,MATZU,0.051,2015-01-27 14:30
滿州,MANJHOU,0.051,2015-01-26 16:50
板橋,BANCIAO,0.073,2015-01-27 14:25
屏東市,PINGTONG,0.051,2015-01-27 14:25
基隆,KEELUNG,0.065,2015-01-27 14:25
頭城,TOUCHENG,0.053,2015-01-27 14:30
竹北,JHUBEI,0.051,2015-01-27 14:25
苗栗,MIAOLI,0.047,2015-01-27 14:25
南投,NANTOU,0.050,2015-01-27 14:25
彰化,CHANGHUA,0.061,2015-01-27 14:25
雲林,YUNLIN,0.049,2015-01-27 14:30
嘉義,CHIAYI,0.048,2015-01-27 14:25
