監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.059,2015-01-28 00:10
三芝,SHANGI,0.081,2015-01-28 00:10
石崩山,SHIHBENGSHAN,0.108,2015-01-28 00:10
茂林,MAOLIN,0.063,2015-01-28 00:10
金山,CHINSHAN,0.055,2015-01-28 00:15
野柳,YEHLIU,0.057,2015-01-28 00:10
大鵬,TAPERNG,0.069,2015-01-28 00:10
陽明山,YANGMINSHAN,0.067,2015-01-28 00:10
大坪,TAPING,0.112,2015-01-28 00:10
萬里,WANLI,0.076,2015-01-28 00:15
台北,TAIPEI,0.056,2015-01-28 00:10
宜蘭,ILAN,0.065,2015-01-28 00:10
龍潭,LUNGTAN,0.052,2015-01-28 00:10
台中,TAICHUNG,0.070,2015-01-28 00:10
台東,TAITUNG,0.058,2015-01-27 12:50
高雄,KAOHSIUNG,0.060,2015-01-28 00:15
恆春,HENGCHUN,0.072,2015-01-28 00:10
龍泉,LUNGCHUAN,0.061,2015-01-28 00:15
大光,TAKUANG,0.049,2015-01-28 00:10
墾丁,KENTING,0.053,2015-01-28 00:10
後壁湖,HOUBIHU,0.058,2015-01-28 00:10
澳底,AODI,0.064,2015-01-28 00:15
貢寮,GONGLIAO,0.057,2015-01-28 00:15
阿里山,ALISHAN,0.103,2015-01-28 00:15
金門,KINMEN,0.087,2015-01-28 00:15
蘭嶼,LANYU,0.041,2015-01-24 04:45
台南,TAINAN,0.060,2015-01-28 00:10
龍門,LUNGMEN,0.064,2015-01-28 00:15
雙溪,SHUANGSI,0.070,2015-01-28 00:15
三港,SANGANG,0.083,2015-01-28 00:10
新竹,HSINCHU,0.051,2015-01-28 00:10
花蓮,HUALINE,0.056,2015-01-28 00:15
澎湖,PENGHU,0.051,2015-01-28 00:10
馬祖,MATZU,0.061,2015-01-28 00:15
滿州,MANJHOU,0.051,2015-01-26 16:50
板橋,BANCIAO,0.071,2015-01-28 00:10
屏東市,PINGTONG,0.052,2015-01-28 00:10
基隆,KEELUNG,0.065,2015-01-28 00:10
頭城,TOUCHENG,0.063,2015-01-28 00:05
竹北,JHUBEI,0.051,2015-01-28 00:10
苗栗,MIAOLI,0.047,2015-01-28 00:10
南投,NANTOU,0.051,2015-01-28 00:10
彰化,CHANGHUA,0.066,2015-01-28 00:10
雲林,YUNLIN,0.055,2015-01-28 00:10
嘉義,CHIAYI,0.046,2015-01-28 00:10
