SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,74,懸浮微粒,普通,7.9,0.58,81,77,41,16,2.5,300,8,18.97,3.14,2015-10-28 15:00
關山,臺東縣,32,,良好,1.3,,38,22,15,3,2.3,184,,3.59,.59,2015-10-28 15:00
馬公,澎湖縣,0,,,4.6,0.52,64,50,31,3.3,3.8,66,3,4.54,1.22,2015-10-28 15:00
金門,金門縣,66,懸浮微粒,普通,2.9,0.58,68,95,50,6.2,2.9,87,6,7.93,1.71,2015-10-28 15:00
馬祖,連江縣,68,懸浮微粒,普通,3.4,0.49,60,99,53,5.2,4.2,51,5,6.64,1.46,2015-10-28 15:00
埔里,南投縣,77,臭氧,普通,2.3,0.37,92,75,48,7.5,3.7,277,4,8.94,1.43,2015-10-28 15:00
復興,高雄市,60,臭氧,普通,6.5,0.5,72,73,58,17,0.8,242,5,18.48,1.51,2015-10-28 15:00
永和,新北市,48,,良好,,0.86,42,54,29,20,3.4,89,3,25.96,6.43,2015-10-28 15:00
竹山,南投縣,84,臭氧,普通,6.5,0.39,101,99,59,11,1.7,266,6,11.48,.24,2015-10-28 15:00
中壢,桃園市,53,懸浮微粒,普通,2.8,1.45,34,50,17,33,1.4,220,2,50.21,17.61,2015-10-28 15:00
三重,新北市,55,懸浮微粒,普通,2.5,1.68,,60,25,43,,,3,91.32,48.33,2015-10-28 15:00
冬山,宜蘭縣,51,懸浮微粒,普通,2.4,0.54,36,35,21,17,2,47,3,22.19,5.21,2015-10-28 15:00
宜蘭,宜蘭縣,38,,良好,2.3,0.62,46,39,14,8.6,1.2,67,2,9.65,1.09,2015-10-28 15:00
陽明,臺北市,50,,良好,1.9,0.48,60,6,2,3,,,1,3.53,.55,2015-10-28 15:00
花蓮,花蓮縣,53,臭氧,普通,2.4,0.37,63,43,21,4.9,2.5,90,2,6.28,1.39,2015-10-28 15:00
臺東,臺東縣,30,,良好,1.7,0.35,37,27,18,5.1,1.7,97,2,6.8,1.75,2015-10-28 15:00
恆春,屏東縣,41,,良好,1,0.18,49,40,15,0.2,3.5,72,2,1.32,1.13,2015-10-28 15:00
潮州,屏東縣,0,,,5.8,0.33,77,32,24,6.2,3.2,239,,7.22,1.04,2015-10-28 15:00
屏東,屏東縣,71,臭氧,普通,6.1,0.41,85,75,56,12,3.4,277,5,12.98,1.1,2015-10-28 15:00
小港,高雄市,61,臭氧,普通,7.4,0.37,73,61,,21,2.9,264,4,24.73,3.79,2015-10-28 15:00
前鎮,高雄市,58,懸浮微粒,普通,7.2,0.37,69,71,42,22,2.3,278,3,25.03,3.3,2015-10-28 15:00
前金,高雄市,66,臭氧,普通,4.9,0.36,79,68,43,7.5,3.7,318,4,8.36,.83,2015-10-28 15:00
左營,高雄市,72,臭氧,普通,5.1,0.34,86,61,48,9.7,3.9,297,5,10.95,1.22,2015-10-28 15:00
楠梓,高雄市,66,臭氧,普通,4.4,0.36,79,69,34,6.5,2.7,269,3,7.81,1.37,2015-10-28 15:00
林園,高雄市,66,臭氧,普通,4.5,0.23,79,42,41,4.8,2.9,268,3,5.94,1.17,2015-10-28 15:00
鳳山,高雄市,67,懸浮微粒,普通,5,0.52,80,96,50,14,2.2,273,5,14.97,1.24,2015-10-28 15:00
仁武,高雄市,0,,,,,,60,42,12,2.5,281,,13.45,1.49,2015-10-28 15:00
橋頭,高雄市,64,臭氧,普通,4.9,0.38,77,75,32,9.9,3,302,3,11.67,1.81,2015-10-28 15:00
美濃,高雄市,0,,,4.1,0.4,85,46,38,,1.7,295,,,,2015-10-28 15:00
臺南,臺南市,74,臭氧,普通,3.9,0.43,89,60,41,9.2,2.4,298,4,9.8,.57,2015-10-28 15:00
安南,臺南市,69,臭氧,普通,4.1,0.33,83,69,41,,2.7,300,5,,,2015-10-28 15:00
善化,臺南市,71,臭氧,普通,3.5,0.33,85,82,45,6.6,2.4,173,5,7.25,.65,2015-10-28 15:00
新營,臺南市,68,懸浮微粒,普通,3.8,0.43,81,89,43,6.6,2,309,4,7.86,1.22,2015-10-28 15:00
