SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,25,,良好,4,0.4,9.4,25,19,15,0.6,307,2,16.3,.9,2015-09-20 06:00
三重,新北市,38,,良好,7.7,0.59,,35,11,31,,,1,53.61,22.56,2015-09-20 06:00
三義,苗栗縣,58,懸浮微粒,普通,2.3,0.5,30,62,53,14,0.5,142,6,13.7,.21,2015-09-20 06:00
土城,新北市,33,,良好,1.3,0.23,40,29,20,6.4,1.4,29,3,7.5,1.09,2015-09-20 06:00
士林,臺北市,42,,良好,16,0.16,50,21,16,6.6,2.9,107,2,7.07,.51,2015-09-20 06:00
大同,臺北市,41,,良好,5.4,0.45,,40,10,22,,,2,32.29,10.58,2015-09-20 06:00
大里,臺中市,72,懸浮微粒,普通,2.8,0.55,19,98,67,18,0.5,286,7,18.81,.94,2015-09-20 06:00
大園,桃園市,35,,良好,4.7,0.24,29,37,14,21,1.6,95,2,22.39,.96,2015-09-20 06:00
大寮,高雄市,50,,良好,12,0.31,18,53,27,12,,,3,13.77,1.33,2015-09-20 06:00
小港,高雄市,44,,良好,2.2,0.3,32,37,19,11,1.2,41,3,10.4,-.41,2015-09-20 06:00
中山,臺北市,33,,良好,5.1,0.27,40,22,3,12,2.6,115,2,13.1,1.4,2015-09-20 06:00
中壢,桃園市,44,,良好,4.4,0.68,27,40,15,20,1.3,211,2,31.32,10.94,2015-09-20 06:00
仁武,高雄市,54,懸浮微粒,普通,2.8,0.35,40,50,14,8.8,1,96,3,9.65,.86,2015-09-20 06:00
斗六,雲林縣,58,懸浮微粒,普通,3.7,0.37,21,58,49,12,0.8,65,5,12.97,1.35,2015-09-20 06:00
冬山,宜蘭縣,28,,良好,2.1,0.2,34,23,18,,1.5,288,2,,,2015-09-20 06:00
古亭,臺北市,34,,良好,2.8,0.24,37,36,10,9.1,2.5,107,1,9.96,.91,2015-09-20 06:00
左營,高雄市,38,,良好,2.8,0.34,46,34,17,14,1.2,96,2,14.41,.46,2015-09-20 06:00
平鎮,桃園市,36,,良好,4.4,0.24,33,36,13,11,1.8,99,2,13.11,2.24,2015-09-20 06:00
永和,新北市,33,,良好,2,0.29,40,21,15,7.8,1.2,153,2,10.49,2.73,2015-09-20 06:00
安南,臺南市,50,,良好,2,0.31,42,39,16,12,1.1,142,3,11.76,-.26,2015-09-20 06:00
朴子,嘉義縣,62,懸浮微粒,普通,3.3,0.33,37,69,37,8.5,0.9,241,3,9.11,.58,2015-09-20 06:00
汐止,新北市,29,,良好,5,0.29,24,29,11,16,1.7,57,2,17.17,1.08,2015-09-20 06:00
竹山,南投縣,70,懸浮微粒,普通,2.2,0.48,18,84,53,15,1.1,168,7,15.98,1.24,2015-09-20 06:00
竹東,新竹縣,43,,良好,2.4,0.33,24,51,24,8.5,0.5,133,3,9.16,.65,2015-09-20 06:00
西屯,臺中市,67,懸浮微粒,普通,4.1,0.39,38,92,34,13,1.3,245,4,13.55,.62,2015-09-20 06:00
沙鹿,臺中市,67,懸浮微粒,普通,3.9,0.43,34,97,52,15,1.3,165,5,15.98,1.24,2015-09-20 06:00
宜蘭,宜蘭縣,38,,良好,1.6,0.18,34,40,12,2.5,1.2,294,1,2.9,.39,2015-09-20 06:00
忠明,臺中市,66,懸浮微粒,普通,3.9,0.46,27,90,54,20,1.2,216,6,20.24,.57,2015-09-20 06:00
松山,臺北市,29,,良好,4.3,0.26,35,36,13,9.5,1.7,70,2,10.84,1.31,2015-09-20 06:00
板橋,新北市,36,,良好,2.3,0.27,39,34,13,11,1,75,2,11.61,.57,2015-09-20 06:00
林口,新北市,39,,良好,6.9,0.18,46,37,13,7.9,3,121,2,8.6,.66,2015-09-20 06:00
林園,高雄市,36,,良好,1.7,0.26,24,43,34,6.9,1.2,41,3,8.24,1.37,2015-09-20 06:00
花蓮,花蓮縣,33,,良好,0.5,0.18,29,35,23,3.7,2.1,242,2,4.67,1,2015-09-20 06:00
金門,金門縣,41,,良好,2.7,0.19,46,39,23,6.2,1.2,93,3,7.03,.88,2015-09-20 06:00
前金,高雄市,50,,良好,2.5,0.35,51,41,25,9,1.3,24,3,9.81,.79,2015-09-20 06:00
前鎮,高雄市,52,懸浮微粒,普通,2.7,0.36,39,46,25,10,1,47,3,11.7,1.72,2015-09-20 06:00
南投,南投縣,69,懸浮微粒,普通,1,0.48,23,86,50,,0.7,56,6,,,2015-09-20 06:00
屏東,屏東縣,40,,良好,1.1,0.26,26,32,20,6.2,0.6,316,2,8.03,1.81,2015-09-20 06:00
恆春,屏東縣,46,,良好,1,0.15,55,38,14,2.4,4.6,59,2,3.2,.81,2015-09-20 06:00
美濃,高雄市,31,,良好,0.6,0.22,24,27,10,4.1,0.8,210,2,5.11,1.06,2015-09-20 06:00
苗栗,苗栗縣,55,懸浮微粒,普通,2.8,0.39,22,55,42,13,0.7,232,4,13.92,.86,2015-09-20 06:00
埔里,南投縣,61,懸浮微粒,普通,1.3,0.41,27,67,54,8.8,1.3,132,7,9.46,.65,2015-09-20 06:00
桃園,桃園市,38,,良好,4.1,0.22,45,25,20,8,2.9,93,2,9.46,1.43,2015-09-20 06:00
馬公,澎湖縣,44,,良好,2.6,0.23,53,29,23,2.8,1,83,3,3.67,.91,2015-09-20 06:00
馬祖,連江縣,53,臭氧,普通,2,0.19,63,29,25,3.2,0.8,51,3,5.02,1.78,2015-09-20 06:00
基隆,基隆市,30,,良好,1.7,0.18,37,22,13,6.4,0.6,76,2,6.97,.56,2015-09-20 06:00
崙背,雲林縣,62,懸浮微粒,普通,3.8,0.33,20,72,53,10,1.1,220,6,11.05,.96,2015-09-20 06:00
淡水,新北市,44,,良好,3.6,0.35,29,40,12,12,,,2,13.61,1.29,2015-09-20 06:00
麥寮,雲林縣,69,懸浮微粒,普通,3.8,0.45,17,93,49,12,0.9,158,5,12.85,1.16,2015-09-20 06:00
善化,臺南市,49,,良好,1.5,0.26,28,38,18,6.8,1.2,134,3,7.56,.76,2015-09-20 06:00
復興,高雄市,50,,良好,2.8,0.43,11,44,23,13,1.3,122,3,14.93,2.34,2015-09-20 06:00
湖口,新竹縣,43,,良好,4.6,0.24,35,42,15,11,1.3,118,2,13.08,2.12,2015-09-20 06:00
菜寮,新北市,30,,良好,8.7,0.24,35,31,5,12,0.8,301,1,11.9,.03,2015-09-20 06:00
陽明,臺北市,50,,良好,1.7,0.15,60,25,18,2.3,,,2,2.53,.28,2015-09-20 06:00
