SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,52,懸浮微粒,普通,1.9,0.25,41,54,15,3,4.9,213,2,5.43,2.45,2015-07-12 12:00
關山,臺東縣,31,,良好,1.4,,37,21,13,2.3,1.7,231,1,3.48,1.15,2015-07-12 12:00
馬公,澎湖縣,26,,良好,2.1,0.32,31,21,20,7.5,3,178,2,10.4,2.89,2015-07-12 12:00
金門,金門縣,59,懸浮微粒,普通,7.4,0.21,56,71,33,15,2.9,259,3,23.29,8.51,2015-07-12 12:00
馬祖,連江縣,64,臭氧,普通,4.7,0.25,77,66,38,4.9,4.2,183,3,6.89,2.04,2015-07-12 12:00
埔里,南投縣,30,,良好,0.5,0.15,36,21,13,3.3,3.3,268,2,4.7,1.42,2015-07-12 12:00
復興,高雄市,37,,良好,4.1,0.38,11,38,20,9.3,1.2,235,2,11.85,2.59,2015-07-12 12:00
永和,新北市,33,,良好,2,0.68,40,29,11,16,2,256,1,22.66,6.45,2015-07-12 12:00
竹山,南投縣,33,,良好,1.2,0.19,40,29,17,1.5,3.6,236,2,2.75,1.22,2015-07-12 12:00
中壢,桃園市,39,,良好,2.7,1.1,38,53,22,29,2.3,189,2,35.36,6.84,2015-07-12 12:00
冬山,宜蘭縣,42,,良好,3.2,0.23,46,45,17,6.9,2.9,67,2,11.48,4.54,2015-07-12 12:00
宜蘭,宜蘭縣,41,,良好,5.8,0.23,43,51,15,4.4,2.9,74,1,5.51,1.15,2015-07-12 12:00
陽明,臺北市,37,,良好,0.8,0.2,45,20,20,2.8,,,2,4.4,1.65,2015-07-12 12:00
花蓮,花蓮縣,35,,良好,0.6,0.19,40,54,21,4,4.1,104,2,5.99,1.96,2015-07-12 12:00
臺東,臺東縣,43,,良好,1.3,0.35,36,51,18,4.5,3.4,212,2,7.47,2.95,2015-07-12 12:00
恆春,屏東縣,40,,良好,1,0.13,40,38,14,1,9.5,278,2,1.4,.37,2015-07-12 12:00
潮州,屏東縣,38,,良好,1.9,0.21,39,40,19,1.8,3.2,228,2,3.55,1.74,2015-07-12 12:00
屏東,屏東縣,34,,良好,1.5,0.32,41,26,14,4.7,0.7,354,2,6.2,1.47,2015-07-12 12:00
小港,高雄市,46,,良好,5.2,0.25,33,73,20,7.3,3.2,242,2,11.61,4.36,2015-07-12 12:00
前鎮,高雄市,52,懸浮微粒,普通,4.2,0.28,32,55,13,12,1.8,176,2,15.91,4.16,2015-07-12 12:00
前金,高雄市,41,,良好,2.3,0.26,38,41,13,4.8,3.2,216,2,6.35,1.59,2015-07-12 12:00
左營,高雄市,43,,良好,1.8,0.28,37,44,17,3.8,3.2,220,2,4.82,1.03,2015-07-12 12:00
楠梓,高雄市,49,,良好,1.7,0.28,36,42,24,4.1,2.3,234,2,6.36,2.3,2015-07-12 12:00
林園,高雄市,44,,良好,3.8,0.18,43,47,22,2.6,3.8,225,2,3.42,.87,2015-07-12 12:00
大寮,高雄市,33,,良好,5.2,0.31,34,39,21,5,1.7,231,2,7.07,2.03,2015-07-12 12:00
鳳山,高雄市,42,,良好,1.7,0.46,37,44,20,7.7,2.1,252,2,9.81,2.14,2015-07-12 12:00
仁武,高雄市,41,,良好,1.8,0.28,37,39,7,5.1,3.4,225,1,6.46,1.41,2015-07-12 12:00
橋頭,高雄市,43,,良好,1.5,0.22,40,37,15,1.5,5.4,136,2,2.21,.67,2015-07-12 12:00
美濃,高雄市,27,,良好,1.2,0.21,32,9,6,2.2,1.7,88,1,3.66,1.43,2015-07-12 12:00
臺南,臺南市,34,,良好,1.4,0.26,41,34,16,2.5,3.5,235,2,3.8,1.35,2015-07-12 12:00
安南,臺南市,36,,良好,0.7,0.24,41,29,21,3.2,3.8,226,2,3.41,.21,2015-07-12 12:00
