SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,71,懸浮微粒,普通,4.8,0.61,16,108,55,17,0.9,109,5,19.42,2.37,2015-09-20 07:00
關山,臺東縣,35,,良好,1.2,,19,35,18,2.5,0.6,348,2,3.52,1.01,2015-09-20 07:00
馬公,澎湖縣,39,,良好,2.8,0.27,47,32,24,4.8,1,53,3,5.9,1.1,2015-09-20 07:00
金門,金門縣,41,,良好,4.6,0.25,46,44,28,5.9,1.7,85,3,6.82,.96,2015-09-20 07:00
馬祖,連江縣,50,,良好,1.9,0.21,60,29,17,3.8,0.9,54,3,5.62,1.87,2015-09-20 07:00
埔里,南投縣,61,懸浮微粒,普通,1.5,0.46,29,73,59,10,0.7,33,7,10.86,.86,2015-09-20 07:00
復興,高雄市,49,,良好,3,0.54,7.1,44,26,16,0.6,131,3,19.64,4.06,2015-09-20 07:00
永和,新北市,31,,良好,2.2,0.44,37,21,15,12,1.6,97,2,15.05,3.17,2015-09-20 07:00
竹山,南投縣,69,懸浮微粒,普通,2.1,0.47,24,82,55,14,1,45,7,15.89,1.66,2015-09-20 07:00
中壢,桃園市,45,,良好,4.5,1.17,24,46,17,27,1.4,215,2,43.52,16.06,2015-09-20 07:00
三重,新北市,37,,良好,4.6,0.87,,35,10,33,,,1,65.82,32.33,2015-09-20 07:00
冬山,宜蘭縣,27,,良好,2,0.23,32,29,17,,0.7,330,2,,,2015-09-20 07:00
宜蘭,宜蘭縣,38,,良好,1.7,0.23,32,35,11,3.8,1,196,1,4.16,.4,2015-09-20 07:00
陽明,臺北市,46,,良好,1.9,0.15,55,38,26,2.9,,,2,3.4,.53,2015-09-20 07:00
花蓮,花蓮縣,34,,良好,0.4,0.26,26,38,24,6.3,1.5,238,2,8.05,1.73,2015-09-20 07:00
臺東,臺東縣,32,,良好,0.8,0.24,36,31,19,2.7,2.4,287,2,3.78,1.08,2015-09-20 07:00
恆春,屏東縣,44,,良好,1,0.15,53,42,15,2.3,4.8,60,2,2.76,.45,2015-09-20 07:00
潮州,屏東縣,28,,良好,1.2,0.23,26,29,15,4.2,0.6,77,2,5.2,1,2015-09-20 07:00
屏東,屏東縣,38,,良好,1.2,0.33,23,33,14,7.5,0.9,41,2,9.2,1.75,2015-09-20 07:00
小港,高雄市,42,,良好,2.7,0.36,24,38,24,18,1.2,48,3,18.51,.97,2015-09-20 07:00
前鎮,高雄市,51,懸浮微粒,普通,3.1,0.43,32,40,21,15,0.6,66,3,17.15,2.11,2015-09-20 07:00
前金,高雄市,48,,良好,2.6,0.4,50,47,23,11,1,310,3,11.15,.53,2015-09-20 07:00
左營,高雄市,38,,良好,2.9,0.41,46,30,23,15,0.9,142,2,15.65,.6,2015-09-20 07:00
楠梓,高雄市,53,懸浮微粒,普通,1.7,0.33,41,46,16,11,1.7,77,2,11.38,.75,2015-09-20 07:00
林園,高雄市,37,,良好,1.8,0.23,26,39,22,6.2,2.1,45,3,7.62,1.42,2015-09-20 07:00
大寮,高雄市,48,,良好,17,0.35,15,48,32,15,,,3,18.08,2.63,2015-09-20 07:00
鳳山,高雄市,54,懸浮微粒,普通,2.1,0.42,31,44,19,9.6,1.7,79,2,11.57,1.94,2015-09-20 07:00
仁武,高雄市,54,懸浮微粒,普通,3.6,0.4,34,59,10,14,1.4,94,2,15.27,.95,2015-09-20 07:00
橋頭,高雄市,37,,良好,2.6,0.4,22,39,10,16,1.5,80,1,16.43,.69,2015-09-20 07:00
美濃,高雄市,30,,良好,0.7,0.26,23,31,19,4.6,1.6,94,2,5.83,1.22,2015-09-20 07:00
臺南,臺南市,52,懸浮微粒,普通,4.8,0.45,48,49,25,14,0.8,175,3,15.62,1.43,2015-09-20 07:00
安南,臺南市,50,,良好,3.3,0.42,42,51,26,15,0.6,58,3,15.38,.37,2015-09-20 07:00
善化,臺南市,48,,良好,1.7,0.28,28,43,20,8.5,1.2,99,3,9.13,.63,2015-09-20 07:00
新營,臺南市,52,懸浮微粒,普通,2.1,0.39,42,51,30,6.1,1.2,102,3,6.82,.74,2015-09-20 07:00
嘉義,嘉義市,57,懸浮微粒,普通,2.8,0.43,29,61,30,9,0.9,97,2,10.23,1.21,2015-09-20 07:00
臺西,雲林縣,62,懸浮微粒,普通,4.5,0.47,17,89,52,18,1.1,144,5,20.94,2.86,2015-09-20 07:00
朴子,嘉義縣,62,懸浮微粒,普通,3.7,0.42,40,70,33,11,1.1,108,3,11.68,1.14,2015-09-20 07:00
