SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,62,懸浮微粒,普通,4.1,0.43,17,75,58,14,4.9,76,6,2015-03-09 08:00
三重,新北市,53,懸浮微粒,普通,4,2.64,,79,26,41,,,3,2015-03-09 08:00
三義,苗栗縣,36,,良好,1.4,0.35,20,32,16,11,2.5,30,2,2015-03-09 08:00
土城,新北市,52,懸浮微粒,普通,5.9,0.72,8.8,75,53,26,1.4,273,4,2015-03-09 08:00
士林,臺北市,45,,良好,2,0.47,26,51,28,13,2.3,299,2,2015-03-09 08:00
大同,臺北市,52,懸浮微粒,普通,2.8,1.46,,69,26,25,,,2,2015-03-09 08:00
大里,臺中市,52,懸浮微粒,普通,3.3,0.99,8.8,49,41,29,1.5,7.9,4,2015-03-09 08:00
大園,桃園市,53,懸浮微粒,普通,4,0.58,13,70,30,24,5.1,53,3,2015-03-09 08:00
大寮,高雄市,61,懸浮微粒,普通,3.5,0.62,30,71,38,17,2.4,286,4,2015-03-09 08:00
小港,高雄市,63,懸浮微粒,普通,3.3,1.12,15,62,32,43,2.3,320,4,2015-03-09 08:00
中山,臺北市,56,懸浮微粒,普通,3,1.4,8.5,70,33,30,1.9,257,3,2015-03-09 08:00
中壢,桃園市,58,懸浮微粒,普通,3.7,1.7,4.6,87,27,31,0.9,279,2,2015-03-09 08:00
仁武,高雄市,71,懸浮微粒,普通,4.7,0.85,21,99,55,30,2.2,312,5,2015-03-09 08:00
斗六,雲林縣,63,懸浮微粒,普通,2.5,0.61,15,80,44,19,2.8,37,6,2015-03-09 08:00
冬山,宜蘭縣,35,,良好,3.5,0.91,5.1,49,21,19,1.4,40,2,2015-03-09 08:00
古亭,臺北市,48,,良好,3.4,0.83,6.2,63,45,28,2.2,311,3,2015-03-09 08:00
左營,高雄市,59,懸浮微粒,普通,5.4,0.95,19,73,43,29,2.2,8.4,5,2015-03-09 08:00
平鎮,桃園市,49,,良好,2.9,0.71,6.6,63,28,28,1.2,12,2,2015-03-09 08:00
永和,新北市,50,,良好,4.4,2.69,4.6,68,39,33,1.2,227,3,2015-03-09 08:00
安南,臺南市,64,懸浮微粒,普通,3.6,0.71,12,79,45,22,2.3,52,4,2015-03-09 08:00
朴子,嘉義縣,74,懸浮微粒,普通,2.5,0.66,14,117,51,16,1.8,22,6,2015-03-09 08:00
汐止,新北市,43,,良好,2.2,0.59,9.2,54,38,26,2.9,89,3,2015-03-09 08:00
竹山,南投縣,66,懸浮微粒,普通,1.7,0.94,6.7,75,40,24,0.9,124,6,2015-03-09 08:00
竹東,新竹縣,50,,良好,2.3,0.68,7.9,71,42,22,2.7,305,3,2015-03-09 08:00
西屯,臺中市,58,懸浮微粒,普通,3.8,0.5,16,57,43,20,2.9,329,5,2015-03-09 08:00
沙鹿,臺中市,52,懸浮微粒,普通,3.7,0.53,13,64,36,21,4.5,33,3,2015-03-09 08:00
宜蘭,宜蘭縣,35,,良好,2.2,0.93,7.3,43,25,18,1,53,2,2015-03-09 08:00
忠明,臺中市,58,懸浮微粒,普通,3,0.66,9.9,78,37,24,1.3,27,4,2015-03-09 08:00
松山,臺北市,41,,良好,1.6,0.75,12,52,29,27,1.6,286,3,2015-03-09 08:00
板橋,新北市,52,懸浮微粒,普通,3.6,0.69,15,71,33,21,3.3,306,3,2015-03-09 08:00
林口,新北市,41,,良好,1.5,0.35,29,39,28,9.9,1.4,193,3,2015-03-09 08:00
林園,高雄市,43,,良好,6.6,0.64,31,42,34,25,4.5,300,3,2015-03-09 08:00
花蓮,花蓮縣,21,,良好,1.4,0.83,5.2,28,12,17,1.2,260,1,2015-03-09 08:00
金門,金門縣,56,懸浮微粒,普通,4.4,0.73,7.5,83,44,27,1.2,49,3,2015-03-09 08:00
前金,高雄市,66,懸浮微粒,普通,5.5,0.78,21,95,47,30,2.4,21,5,2015-03-09 08:00
前鎮,高雄市,58,懸浮微粒,普通,3.8,0.9,18,70,50,32,1.3,320,5,2015-03-09 08:00
南投,南投縣,68,懸浮微粒,普通,2.6,1.36,7.2,90,47,22,2,295,6,2015-03-09 08:00
屏東,屏東縣,65,懸浮微粒,普通,1.1,0.64,33,68,34,17,1.9,314,5,2015-03-09 08:00
恆春,屏東縣,64,懸浮微粒,普通,1.5,0.18,43,42,13,0.3,4.6,24,3,2015-03-09 08:00
美濃,高雄市,64,懸浮微粒,普通,1.4,0.61,16,81,36,14,1.1,115,3,2015-03-09 08:00
苗栗,苗栗縣,50,,良好,3.8,0.62,11,76,37,20,2.1,47,3,2015-03-09 08:00
埔里,南投縣,64,懸浮微粒,普通,2.5,0.79,13,94,65,17,0.6,61,8,2015-03-09 08:00
桃園,桃園市,49,,良好,3.1,0.97,6.5,76,42,30,1.3,281,3,2015-03-09 08:00
馬公,澎湖縣,37,,良好,2,0.36,26,38,23,7.8,2.3,291,3,2015-03-09 08:00
馬祖,連江縣,42,,良好,2.8,0.48,21,35,24,9,3,46,3,2015-03-09 08:00
基隆,基隆市,27,,良好,2,0.61,23,31,18,17,1.1,183,2,2015-03-09 08:00
崙背,雲林縣,61,懸浮微粒,普通,2.5,0.66,16,84,61,18,3.1,309,7,2015-03-09 08:00
淡水,新北市,43,,良好,2.4,0.45,27,49,21,11,,,2,2015-03-09 08:00
麥寮,雲林縣,76,懸浮微粒,普通,2.6,0.66,16,120,68,21,4.6,146,8,2015-03-09 08:00
善化,臺南市,64,懸浮微粒,普通,3.6,0.76,8.1,70,46,19,3.6,359,5,2015-03-09 08:00
復興,高雄市,58,懸浮微粒,普通,3.2,1.31,17,73,58,32,0.7,251,6,2015-03-09 08:00
湖口,新竹縣,52,懸浮微粒,普通,3.6,0.61,13,70,31,21,2.4,59,2,2015-03-09 08:00
菜寮,新北市,50,,良好,3.1,0.67,12,64,37,23,2.4,274,3,2015-03-09 08:00
陽明,臺北市,28,,良好,1.4,0.29,34,3,4,3.6,,,2,2015-03-09 08:00
新竹,新竹市,47,,良好,3.3,0.64,9.1,62,35,25,1.9,51,3,2015-03-09 08:00
新店,新北市,43,,良好,3.1,0.69,6.8,65,44,27,1.2,312,3,2015-03-09 08:00
新莊,新北市,41,,良好,2.7,0.64,18,54,40,18,3.8,13,3,2015-03-09 08:00
新港,嘉義縣,70,懸浮微粒,普通,2.2,0.74,14,89,53,18,1.5,43,5,2015-03-09 08:00
新營,臺南市,62,懸浮微粒,普通,3.2,0.77,4.2,70,44,25,1.2,37,5,2015-03-09 08:00
楠梓,高雄市,72,懸浮微粒,普通,3.2,0.73,23,111,44,24,3.4,305,4,2015-03-09 08:00
萬里,新北市,38,,良好,1.7,0.35,33,49,23,6.3,4.9,320,2,2015-03-09 08:00
萬華,臺北市,37,,良好,1.5,0.76,13,56,30,25,2.3,293,3,2015-03-09 08:00
嘉義,嘉義市,0,,,,,,,,,0.1,0.5,,2015-03-09 08:00
彰化,彰化縣,52,懸浮微粒,普通,3.5,0.7,12,60,32,22,2.1,350,3,2015-03-09 08:00
臺西,雲林縣,64,懸浮微粒,普通,11,0.41,24,81,68,17,6.7,177,8,2015-03-09 08:00
臺東,臺東縣,20,,良好,1.6,0.43,20,24,11,5.7,2.1,298,1,2015-03-09 08:00
臺南,臺南市,58,懸浮微粒,普通,3.6,1.04,16,64,38,28,1.8,22,5,2015-03-09 08:00
