監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.057,2015-03-02 05:15
三芝,SHANGI,0.061,2015-03-02 05:10
石崩山,SHIHBENGSHAN,0.065,2015-03-02 05:15
茂林,MAOLIN,0.049,2015-03-02 05:15
金山,CHINSHAN,0.047,2015-03-02 05:15
野柳,YEHLIU,0.055,2015-03-02 05:15
大鵬,TAPERNG,0.070,2015-03-01 10:00
陽明山,YANGMINSHAN,0.057,2015-03-02 05:15
大坪,TAPING,0.066,2015-03-02 05:10
萬里,WANLI,0.073,2015-03-02 05:15
台北,TAIPEI,0.054,2015-03-02 05:10
宜蘭,ILAN,0.063,2015-03-02 05:10
龍潭,LUNGTAN,0.054,2015-03-02 05:15
台中,TAICHUNG,0.068,2015-03-02 05:10
台東,TAITUNG,0.056,2015-03-02 05:10
高雄,KAOHSIUNG,0.063,2015-03-02 05:15
恆春,HENGCHUN,0.069,2015-03-02 05:10
龍泉,LUNGCHUAN,0.058,2015-03-02 05:15
大光,TAKUANG,0.052,2015-03-02 05:10
墾丁,KENTING,0.053,2015-03-02 05:10
後壁湖,HOUBIHU,0.053,2015-03-02 05:10
澳底,AODI,0.049,2015-03-02 05:15
貢寮,GONGLIAO,0.052,2015-03-02 05:15
阿里山,ALISHAN,0.103,2015-03-02 05:15
金門,KINMEN,0.082,2015-03-02 05:15
蘭嶼,LANYU,0.063,2015-03-02 05:15
台南,TAINAN,0.059,2015-03-02 05:10
龍門,LUNGMEN,0.050,2015-03-02 05:15
雙溪,SHUANGSI,0.063,2015-03-02 05:15
三港,SANGANG,0.061,2015-03-02 05:10
新竹,HSINCHU,0.052,2015-03-02 05:15
花蓮,HUALINE,0.055,2015-03-02 05:15
澎湖,PENGHU,0.051,2015-03-02 05:15
馬祖,MATZU,0.051,2015-03-02 05:15
滿州,MANJHOU,0.048,2015-03-02 05:10
板橋,BANCIAO,0.071,2015-03-02 05:10
屏東市,PINGTONG,0.046,2015-03-02 05:10
基隆,KEELUNG,0.059,2015-03-02 05:10
頭城,TOUCHENG,0.051,2015-03-02 05:15
竹北,JHUBEI,0.047,2015-03-02 05:10
苗栗,MIAOLI,0.043,2015-03-02 05:10
南投,NANTOU,0.051,2015-03-02 05:10
彰化,CHANGHUA,0.063,2015-03-02 05:10
雲林,YUNLIN,0.055,2015-03-02 05:15
嘉義,CHIAYI,0.047,2015-03-02 05:10
