SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,62,懸浮微粒,普通,3.9,0.45,26,67,33,11,0.8,300,4,12.11,.92,2015-09-13 21:00
三重,新北市,57,懸浮微粒,普通,4.7,1.55,,67,16,41,,,2,85.42,44.06,2015-09-13 21:00
三義,苗栗縣,52,懸浮微粒,普通,1.5,0.37,33,43,20,11,2.2,39,3,12.36,1.04,2015-09-13 21:00
土城,新北市,49,,良好,1.5,0.44,48,45,19,12,1.6,213,2,13.44,1.41,2015-09-13 21:00
士林,臺北市,52,臭氧,普通,9,0.28,62,40,20,5.3,3.8,105,2,5.38,.11,2015-09-13 21:00
大同,臺北市,52,懸浮微粒,普通,3.7,0.84,,45,15,34,,,2,52.98,19.2,2015-09-13 21:00
大里,臺中市,62,懸浮微粒,普通,1.5,0.81,20,73,39,33,2.1,264,4,35.17,1.99,2015-09-13 21:00
大園,桃園市,41,,良好,3,0.3,50,30,23,13,4.9,63,2,14.48,1.24,2015-09-13 21:00
大寮,高雄市,54,臭氧,普通,6.6,0.31,65,53,28,9.1,0.7,262,3,10.4,1.35,2015-09-13 21:00
小港,高雄市,56,臭氧,普通,12,0.28,67,53,23,19,1.4,236,3,20.19,1.17,2015-09-13 21:00
中山,臺北市,46,,良好,3.3,0.5,42,49,22,19,3.2,112,2,21.2,1.77,2015-09-13 21:00
中壢,桃園市,52,懸浮微粒,普通,3,0.93,38,46,15,24,1.9,200,2,32.98,9.3,2015-09-13 21:00
仁武,高雄市,55,臭氧,普通,4.2,0.43,67,54,20,15,1.5,214,2,16.1,.7,2015-09-13 21:00
斗六,雲林縣,59,懸浮微粒,普通,4.3,0.6,28,79,37,20,1,181,4,22.39,2.31,2015-09-13 21:00
冬山,宜蘭縣,38,,良好,1.7,0.29,46,15,,6.7,1.1,48,2,8.42,1.68,2015-09-13 21:00
古亭,臺北市,47,,良好,1.2,0.39,42,46,14,14,2.8,79,2,15.4,1.85,2015-09-13 21:00
左營,高雄市,58,臭氧,普通,3.4,0.43,69,49,31,15,1.4,221,3,15.33,.59,2015-09-13 21:00
平鎮,桃園市,49,,良好,2.2,0.41,48,46,9,12,4.1,69,2,13.24,1.43,2015-09-13 21:00
永和,新北市,40,,良好,1.3,0.47,48,38,17,13,2.1,91,2,13.82,.83,2015-09-13 21:00
安南,臺南市,56,懸浮微粒,普通,2.1,0.34,50,74,26,6.3,1,351,3,6.21,-.05,2015-09-13 21:00
朴子,嘉義縣,69,懸浮微粒,普通,2.4,0.32,45,90,15,7,1,300,2,7.85,.83,2015-09-13 21:00
汐止,新北市,47,,良好,1.3,0.29,56,62,30,6.6,3.6,43,2,8.31,1.68,2015-09-13 21:00
竹山,南投縣,64,懸浮微粒,普通,3.4,0.43,48,79,47,11,1.7,237,6,12.15,.81,2015-09-13 21:00
竹東,新竹縣,41,,良好,1.2,0.28,49,34,15,5.7,1.7,109,2,6.22,.51,2015-09-13 21:00
西屯,臺中市,58,懸浮微粒,普通,3.1,0.51,28,58,30,24,1.5,319,3,24.78,1.06,2015-09-13 21:00
沙鹿,臺中市,60,懸浮微粒,普通,2.8,0.5,31,55,17,17,2.1,16,2,19.44,2.42,2015-09-13 21:00
宜蘭,宜蘭縣,45,,良好,1.1,0.28,54,28,7,4.3,0.9,252,1,5.1,.8,2015-09-13 21:00
忠明,臺中市,54,懸浮微粒,普通,2.5,0.62,23,52,32,30,2.2,319,3,31.16,1.52,2015-09-13 21:00
松山,臺北市,41,,良好,2.4,0.41,49,40,8,14,2.6,61,2,16.57,2.34,2015-09-13 21:00
板橋,新北市,52,懸浮微粒,普通,1.8,0.51,44,57,17,19,3.1,89,2,20.61,1.26,2015-09-13 21:00
林口,新北市,49,,良好,1.9,0.29,59,54,18,5.8,4.5,73,2,6.51,.7,2015-09-13 21:00
林園,高雄市,72,臭氧,普通,4.2,0.26,87,41,32,6.7,1.5,261,3,7.53,.86,2015-09-13 21:00
花蓮,花蓮縣,39,,良好,2,0.4,41,39,19,9.5,1.6,311,2,11.46,1.96,2015-09-13 21:00
