監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.054,2015-03-28 06:00
三芝,SHANGI,0.058,2015-03-28 05:55
石崩山,SHIHBENGSHAN,0.063,2015-03-28 06:00
茂林,MAOLIN,0.047,2015-03-28 06:00
金山,CHINSHAN,0.051,2015-03-28 06:00
野柳,YEHLIU,0.053,2015-03-28 06:00
大鵬,TAPERNG,0.068,2015-03-28 05:55
陽明山,YANGMINSHAN,0.063,2015-03-28 05:55
大坪,TAPING,0.064,2015-03-28 05:55
萬里,WANLI,0.071,2015-03-28 06:00
台北,TAIPEI,0.055,2015-03-28 05:55
宜蘭,ILAN,0.061,2015-03-28 05:55
龍潭,LUNGTAN,0.050,2015-03-28 05:55
台中,TAICHUNG,0.069,2015-03-28 05:55
台東,TAITUNG,0.055,2015-03-28 05:55
高雄,KAOHSIUNG,0.059,2015-03-28 06:00
恆春,HENGCHUN,0.069,2015-03-28 06:00
龍泉,LUNGCHUAN,0.053,2015-03-28 06:00
大光,TAKUANG,0.051,2015-03-28 05:55
墾丁,KENTING,0.053,2015-03-28 05:55
後壁湖,HOUBIHU,0.059,2015-03-28 06:00
澳底,AODI,0.050,2015-03-28 06:00
貢寮,GONGLIAO,0.054,2015-03-27 08:45
阿里山,ALISHAN,0.096,2015-03-28 06:00
金門,KINMEN,0.081,2015-03-28 06:00
蘭嶼,LANYU,0.042,2015-03-28 06:00
台南,TAINAN,0.063,2015-03-28 06:00
龍門,LUNGMEN,0.057,2015-03-28 06:00
雙溪,SHUANGSI,0.062,2015-03-28 06:00
三港,SANGANG,0.066,2015-03-28 06:00
新竹,HSINCHU,0.052,2015-03-28 06:00
花蓮,HUALINE,0.053,2015-03-28 06:00
澎湖,PENGHU,0.051,2015-03-28 06:00
馬祖,MATZU,0.050,2015-03-28 06:00
滿州,MANJHOU,0.053,2015-03-28 06:00
板橋,BANCIAO,0.071,2015-03-28 05:55
屏東市,PINGTONG,0.052,2015-03-28 05:55
基隆,KEELUNG,0.060,2015-03-28 05:55
頭城,TOUCHENG,0.049,2015-03-28 05:55
竹北,JHUBEI,0.052,2015-03-28 05:55
苗栗,MIAOLI,0.043,2015-03-28 05:55
南投,NANTOU,0.048,2015-03-28 05:55
彰化,CHANGHUA,0.063,2015-03-28 05:55
雲林,YUNLIN,0.051,2015-03-28 05:55
嘉義,CHIAYI,0.048,2015-03-28 05:55
