監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.054,2015-03-27 22:10
三芝,SHANGI,0.064,2015-03-27 22:05
石崩山,SHIHBENGSHAN,0.063,2015-03-27 22:10
茂林,MAOLIN,0.048,2015-03-27 22:10
金山,CHINSHAN,0.047,2015-03-27 22:10
野柳,YEHLIU,0.055,2015-03-27 22:10
大鵬,TAPERNG,0.064,2015-03-27 22:10
陽明山,YANGMINSHAN,0.058,2015-03-27 22:10
大坪,TAPING,0.068,2015-03-27 22:05
萬里,WANLI,0.073,2015-03-27 22:10
台北,TAIPEI,0.056,2015-03-27 22:05
宜蘭,ILAN,0.060,2015-03-27 22:05
龍潭,LUNGTAN,0.051,2015-03-27 22:10
台中,TAICHUNG,0.068,2015-03-27 22:05
台東,TAITUNG,0.054,2015-03-27 22:05
高雄,KAOHSIUNG,0.061,2015-03-27 22:10
恆春,HENGCHUN,0.070,2015-03-27 22:10
龍泉,LUNGCHUAN,0.065,2015-03-27 22:10
大光,TAKUANG,0.051,2015-03-27 22:05
墾丁,KENTING,0.054,2015-03-27 22:05
後壁湖,HOUBIHU,0.056,2015-03-27 22:10
澳底,AODI,0.050,2015-03-27 22:10
貢寮,GONGLIAO,0.054,2015-03-27 08:45
阿里山,ALISHAN,0.094,2015-03-27 22:10
金門,KINMEN,0.082,2015-03-27 22:10
蘭嶼,LANYU,0.042,2015-03-27 22:10
台南,TAINAN,0.060,2015-03-27 22:10
龍門,LUNGMEN,0.052,2015-03-27 22:10
雙溪,SHUANGSI,0.065,2015-03-27 22:10
三港,SANGANG,0.067,2015-03-27 22:10
新竹,HSINCHU,0.052,2015-03-27 22:10
花蓮,HUALINE,0.049,2015-03-27 22:10
澎湖,PENGHU,0.050,2015-03-27 22:10
馬祖,MATZU,0.052,2015-03-27 22:10
滿州,MANJHOU,0.048,2015-03-27 22:10
板橋,BANCIAO,0.071,2015-03-27 22:10
屏東市,PINGTONG,0.050,2015-03-27 22:05
基隆,KEELUNG,0.058,2015-03-27 22:05
頭城,TOUCHENG,0.049,2015-03-27 22:10
竹北,JHUBEI,0.044,2015-03-27 22:10
苗栗,MIAOLI,0.043,2015-03-27 22:10
南投,NANTOU,0.048,2015-03-27 22:05
彰化,CHANGHUA,0.063,2015-03-27 22:05
雲林,YUNLIN,0.054,2015-03-27 22:10
嘉義,CHIAYI,0.047,2015-03-27 22:05
