監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.059,2015-03-25 20:15
三芝,SHANGI,0.068,2015-03-25 20:10
石崩山,SHIHBENGSHAN,0.085,2015-03-25 20:15
茂林,MAOLIN,0.065,2015-03-25 20:15
金山,CHINSHAN,0.060,2015-03-25 20:15
野柳,YEHLIU,0.067,2015-03-25 20:15
大鵬,TAPERNG,0.074,2015-03-25 20:10
陽明山,YANGMINSHAN,0.064,2015-03-25 20:15
大坪,TAPING,0.077,2015-03-25 20:10
萬里,WANLI,0.078,2015-03-25 20:10
台北,TAIPEI,0.057,2015-03-25 20:10
宜蘭,ILAN,0.068,2015-03-25 20:10
龍潭,LUNGTAN,0.056,2015-03-25 20:15
台中,TAICHUNG,0.068,2015-03-25 20:10
台東,TAITUNG,0.054,2015-03-25 20:10
高雄,KAOHSIUNG,0.057,2015-03-25 20:15
恆春,HENGCHUN,0.070,2015-03-25 20:15
龍泉,LUNGCHUAN,0.055,2015-03-25 20:15
大光,TAKUANG,0.050,2015-03-25 20:10
墾丁,KENTING,0.055,2015-03-25 20:10
後壁湖,HOUBIHU,0.056,2015-03-25 20:15
澳底,AODI,0.066,2015-03-25 20:15
貢寮,GONGLIAO,0.060,2015-03-25 20:15
阿里山,ALISHAN,0.100,2015-03-25 20:10
金門,KINMEN,0.080,2015-03-25 20:15
蘭嶼,LANYU,0.041,2015-03-25 20:15
台南,TAINAN,0.059,2015-03-25 20:15
龍門,LUNGMEN,0.065,2015-03-25 20:15
雙溪,SHUANGSI,0.069,2015-03-25 20:15
三港,SANGANG,0.061,2015-03-25 20:15
新竹,HSINCHU,0.052,2015-03-25 20:15
花蓮,HUALINE,0.055,2015-03-25 20:15
澎湖,PENGHU,0.054,2015-03-25 20:15
馬祖,MATZU,0.050,2015-03-25 20:15
滿州,MANJHOU,0.049,2015-03-25 20:15
板橋,BANCIAO,0.074,2015-03-25 20:15
屏東市,PINGTONG,0.050,2015-03-25 20:10
基隆,KEELUNG,0.062,2015-03-25 20:10
頭城,TOUCHENG,0.054,2015-03-25 20:15
竹北,JHUBEI,0.053,2015-03-25 20:15
苗栗,MIAOLI,0.043,2015-03-25 20:15
南投,NANTOU,0.052,2015-03-25 20:10
彰化,CHANGHUA,0.059,2015-03-25 20:10
雲林,YUNLIN,0.056,2015-03-25 20:15
嘉義,CHIAYI,0.047,2015-03-25 20:10
