SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,55,懸浮微粒,普通,6.1,0.33,41,79,49,6.2,2.7,269,3,8.6,2.37,2015-07-16 09:00
三重,新北市,56,懸浮微粒,普通,7.3,2.34,,75,44,55,,,3,115.21,59.76,2015-07-16 09:00
三義,苗栗縣,54,懸浮微粒,普通,3.3,0.32,44,65,49,8,2.8,39,4,9.4,1.45,2015-07-16 09:00
土城,新北市,50,,良好,5.6,0.53,34,65,37,23,1.3,137,3,29.67,6.79,2015-07-16 09:00
士林,臺北市,47,,良好,7.7,0.57,45,50,45,24,1.1,259,3,30.12,5.96,2015-07-16 09:00
大同,臺北市,56,懸浮微粒,普通,9.9,5.92,,76,26,66,,,3,178.85,112.75,2015-07-16 09:00
大里,臺中市,49,,良好,4.7,0.65,49,59,45,15,1.4,32,3,16.75,1.72,2015-07-16 09:00
大園,桃園市,54,懸浮微粒,普通,4.7,0.26,37,55,30,14,1.6,276,3,18,3.64,2015-07-16 09:00
大寮,高雄市,18,,良好,5.9,0.32,22,26,8,12,1.4,69,1,16.25,4.11,2015-07-16 09:00
小港,高雄市,40,,良好,4,0.32,30,54,0,12,1.8,44,,16.53,4.07,2015-07-16 09:00
中山,臺北市,45,,良好,6.1,1.12,36,61,34,33,1.3,253,3,44.03,11.12,2015-07-16 09:00
中壢,桃園市,55,懸浮微粒,普通,3.9,1.11,27,57,22,27,1.2,151,3,44.52,17.57,2015-07-16 09:00
仁武,高雄市,26,,良好,3.9,0.39,25,27,14,15,1.3,295,1,18.75,3.78,2015-07-16 09:00
斗六,雲林縣,38,,良好,3.4,0.28,38,52,11,6.6,2,24,1,8.68,2.12,2015-07-16 09:00
冬山,宜蘭縣,33,,良好,3.3,0.56,29,33,29,20,1.6,57,3,30.73,10.38,2015-07-16 09:00
古亭,臺北市,44,,良好,4.1,1.15,26,54,13,32,1.3,173,2,44.29,12.33,2015-07-16 09:00
左營,高雄市,25,,良好,4.2,0.28,28,36,14,9.9,2.7,284,1,12.54,2.61,2015-07-16 09:00
平鎮,桃園市,53,懸浮微粒,普通,4,0.35,35,45,23,12,1.5,275,3,15.63,3.76,2015-07-16 09:00
永和,新北市,42,,良好,3.5,2.37,24,53,36,34,1.5,172,3,58.33,24.03,2015-07-16 09:00
安南,臺南市,32,,良好,3.8,0.3,25,41,8,11,2.2,337,1,15.44,4.52,2015-07-16 09:00
朴子,嘉義縣,43,,良好,4.2,0.33,35,50,19,8.8,2.1,55,2,11.05,2.26,2015-07-16 09:00
汐止,新北市,42,,良好,5.8,0.87,29,59,41,30,1.6,171,3,37.74,7.6,2015-07-16 09:00
竹山,南投縣,43,,良好,2.4,0.28,31,44,23,7.5,2.6,353,2,10.18,2.71,2015-07-16 09:00
竹東,新竹縣,39,,良好,3.1,0.42,38,49,35,10,1.2,32,2,13.68,3.31,2015-07-16 09:00
西屯,臺中市,48,,良好,4,0.35,48,64,52,12,2.7,312,4,13.8,1.91,2015-07-16 09:00
沙鹿,臺中市,58,懸浮微粒,普通,3.5,0.4,47,75,37,9.5,2.3,39,4,11.82,2.29,2015-07-16 09:00
宜蘭,宜蘭縣,46,,良好,3.5,0.43,37,49,26,8.8,0.9,345,2,11.3,2.56,2015-07-16 09:00
忠明,臺中市,43,,良好,3.4,0.52,48,57,44,14,2.1,309,3,15.47,1.96,2015-07-16 09:00
松山,臺北市,41,,良好,5,0.97,27,55,35,35,1.3,199,3,49.88,14.99,2015-07-16 09:00
