SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,60,懸浮微粒,普通,,,27,,,,2.6,291,3,,,2015-07-16 11:00
關山,臺東縣,26,,良好,,,,,,,1.7,213,1,,,2015-07-16 11:00
馬公,澎湖縣,13,,良好,,0.2,,,,1.4,,,,3.12,1.67,2015-07-16 11:00
金門,金門縣,0,,,1.8,0.15,33,,15,6.6,2.5,263,2,8.69,2.09,2015-07-16 11:00
馬祖,連江縣,40,,良好,3.7,0.16,40,42,21,6.2,2.3,120,2,8.43,2.25,2015-07-16 11:00
埔里,南投縣,52,懸浮微粒,普通,1.2,0.28,55,50,37,6.2,1.8,264,4,7.37,1.15,2015-07-16 11:00
復興,高雄市,22,,良好,6,0.51,13,35,13,20,0.7,192,1,23.38,3.21,2015-07-16 11:00
永和,新北市,79,臭氧,普通,4.7,1.52,95,65,43,49,1.5,198,3,56.08,7.5,2015-07-16 11:00
竹山,南投縣,60,臭氧,普通,4.7,0.38,73,56,33,6.8,2,324,2,7.41,.57,2015-07-16 11:00
中壢,桃園市,54,懸浮微粒,普通,3.2,0.77,51,55,28,25,1.2,135,3,27.92,3.08,2015-07-16 11:00
三重,新北市,62,懸浮微粒,普通,6.4,1.41,,100,55,74,,,4,109.34,35.23,2015-07-16 11:00
冬山,宜蘭縣,34,,良好,,,,,,,2.9,71,3,,,2015-07-16 11:00
宜蘭,宜蘭縣,52,臭氧,普通,3.2,0.37,62,54,26,6,2.5,120,3,7.51,1.5,2015-07-16 11:00
陽明,臺北市,28,,良好,2.6,0.22,5.2,27,24,3.4,,,3,4.49,1.09,2015-07-16 11:00
花蓮,花蓮縣,33,,良好,1.7,0.18,,,,1,3.1,126,2,1.66,.66,2015-07-16 11:00
臺東,臺東縣,26,,良好,0.8,0.3,31,20,9,5,2.2,107,1,7.79,2.78,2015-07-16 11:00
恆春,屏東縣,26,,良好,1.2,0.09,31,21,3,1.8,4.9,161,1,3.11,1.32,2015-07-16 11:00
潮州,屏東縣,42,,良好,2.3,0.21,51,34,13,3.8,1.7,91,1,4.72,.9,2015-07-16 11:00
屏東,屏東縣,43,,良好,2.5,0.27,52,23,17,4.5,1.7,39,1,5.5,.98,2015-07-16 11:00
小港,高雄市,39,,良好,11,0.14,26,33,1,22,2.8,262,1,30.95,8.48,2015-07-16 11:00
前鎮,高雄市,30,,良好,11,0.27,37,37,17,16,2.4,291,1,19.38,3.55,2015-07-16 11:00
前金,高雄市,40,,良好,4.2,0.23,48,46,13,6.4,3.1,309,1,9.38,3.01,2015-07-16 11:00
左營,高雄市,40,,良好,4,0.18,48,37,12,4.8,2.6,269,1,5.69,.89,2015-07-16 11:00
楠梓,高雄市,37,,良好,4.3,0.3,45,49,5,10,1.8,296,1,11.58,1.38,2015-07-16 11:00
林園,高雄市,41,,良好,4.6,0.18,49,40,18,5.3,2.7,267,2,6.26,.92,2015-07-16 11:00
大寮,高雄市,29,,良好,13,0.39,35,32,22,14,2.3,199,1,16.58,2.16,2015-07-16 11:00
鳳山,高雄市,36,,良好,5.2,0.41,40,46,11,19,1.7,310,1,21.65,3.1,2015-07-16 11:00
仁武,高雄市,35,,良好,3.6,0.27,42,39,15,12,2,255,1,14.73,2.62,2015-07-16 11:00
橋頭,高雄市,34,,良好,4.3,0.3,40,37,12,15,2.3,262,1,22.45,7.67,2015-07-16 11:00
美濃,高雄市,40,,良好,2.3,0.22,48,27,18,3.8,1.4,279,1,4.42,.67,2015-07-16 11:00
臺南,臺南市,39,,良好,1.2,0.31,47,20,7,6.2,1.5,338,1,7.44,1.27,2015-07-16 11:00
安南,臺南市,43,,良好,1.8,0.22,52,40,16,4.9,2.2,9.3,1,6.08,1.16,2015-07-16 11:00
善化,臺南市,52,臭氧,普通,3.1,0.28,62,38,23,7.1,2.8,358,2,8.95,1.88,2015-07-16 11:00
新營,臺南市,57,臭氧,普通,4.1,0.36,69,61,37,7.2,2.5,8.6,2,8.67,1.49,2015-07-16 11:00
嘉義,嘉義市,63,臭氧,普通,4.1,0.39,76,49,39,6.7,2.7,360,2,7.88,1.15,2015-07-16 11:00
臺西,雲林縣,56,臭氧,普通,5.4,0.18,68,43,32,8,3.9,35,3,9.06,1.1,2015-07-16 11:00
朴子,嘉義縣,52,臭氧,普通,4.5,0.33,63,78,41,9.9,1.9,298,2,11.09,1.19,2015-07-16 11:00
新港,嘉義縣,53,臭氧,普通,4.6,0.31,64,71,37,5.2,2.5,24,2,6.21,1.06,2015-07-16 11:00
崙背,雲林縣,53,懸浮微粒,普通,2.6,0.2,51,58,53,3.6,3,337,4,3.69,.14,2015-07-16 11:00
斗六,雲林縣,60,臭氧,普通,7.2,0.47,72,64,48,10,2.2,3.9,2,11.43,1.25,2015-07-16 11:00
南投,南投縣,0,,,2.9,0.54,,77,45,13,2,37,,15.99,2.58,2015-07-16 11:00
二林,彰化縣,56,懸浮微粒,普通,4.7,0.21,54,49,37,2.5,2.5,313,4,4.22,1.68,2015-07-16 11:00
線西,彰化縣,52,懸浮微粒,普通,3.7,0.2,52,44,31,3.6,2.7,305,4,4.43,.81,2015-07-16 11:00
彰化,彰化縣,53,臭氧,普通,6.1,0.37,64,63,31,12,3.1,315,3,14.34,2.5,2015-07-16 11:00
西屯,臺中市,54,臭氧,普通,3.7,0.22,65,64,42,10,2.6,293,4,11.75,1.28,2015-07-16 11:00
忠明,臺中市,52,臭氧,普通,3,0.35,63,52,45,16,3,300,4,18.07,2.3,2015-07-16 11:00
大里,臺中市,64,臭氧,普通,3.2,0.34,77,81,55,10,1.8,311,4,10.96,.84,2015-07-16 11:00
沙鹿,臺中市,60,懸浮微粒,普通,2.3,0.27,58,67,21,6.6,3.2,297,3,8.15,1.57,2015-07-16 11:00
豐原,臺中市,54,臭氧,普通,3.1,0.29,64,69,46,8.5,2.2,333,3,9.87,1.42,2015-07-16 11:00
三義,苗栗縣,58,臭氧,普通,3.6,0.3,70,66,45,8.3,3.3,334,5,9.21,.93,2015-07-16 11:00
苗栗,苗栗縣,56,懸浮微粒,普通,4.6,0.3,59,57,26,9.4,2.4,327,3,11.07,1.69,2015-07-16 11:00
