SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,61,懸浮微粒,普通,5.2,0.27,55,78,25,11,3,46,3,2015-04-14 09:00
三重,新北市,68,懸浮微粒,普通,7.4,2.29,,111,33,62,,,3,2015-04-14 09:00
三義,苗栗縣,48,,良好,2.8,0.21,58,50,17,3.4,2.4,223,2,2015-04-14 09:00
土城,新北市,59,懸浮微粒,普通,3.5,0.49,45,77,28,19,2.5,255,3,2015-04-14 09:00
士林,臺北市,54,懸浮微粒,普通,5.1,0.48,44,69,33,23,4.8,275,3,2015-04-14 09:00
大同,臺北市,63,懸浮微粒,普通,6.3,2.05,,93,35,47,,,3,2015-04-14 09:00
大里,臺中市,55,懸浮微粒,普通,4.6,0.68,35,62,26,26,1.6,233,2,2015-04-14 09:00
大園,桃園市,67,懸浮微粒,普通,3,0.28,57,83,23,10,4.6,291,3,2015-04-14 09:00
大寮,高雄市,54,懸浮微粒,普通,2.3,0.33,52,54,17,13,2.2,281,2,2015-04-14 09:00
小港,高雄市,68,懸浮微粒,普通,4.3,0.45,43,81,24,27,2.9,299,3,2015-04-14 09:00
中山,臺北市,66,懸浮微粒,普通,7.4,2.06,18,99,39,57,2.4,293,3,2015-04-14 09:00
中壢,桃園市,72,懸浮微粒,普通,3.1,1.43,32,86,24,42,1.7,172,3,2015-04-14 09:00
仁武,高雄市,69,懸浮微粒,普通,19,0.36,45,91,22,20,3,292,3,2015-04-14 09:00
斗六,雲林縣,56,懸浮微粒,普通,1.4,0.25,49,47,18,10,2.7,22,2,2015-04-14 09:00
冬山,宜蘭縣,51,懸浮微粒,普通,1.9,0.37,49,59,20,11,1.5,70,2,2015-04-14 09:00
古亭,臺北市,60,懸浮微粒,普通,5.2,0.88,33,87,34,33,2.9,271,3,2015-04-14 09:00
左營,高雄市,66,懸浮微粒,普通,3.3,0.39,54,78,25,15,4.8,46,3,2015-04-14 09:00
平鎮,桃園市,61,懸浮微粒,普通,2.8,0.32,52,61,13,13,3.4,251,3,2015-04-14 09:00
永和,新北市,56,懸浮微粒,普通,5.9,2.04,25,79,37,48,3.7,260,3,2015-04-14 09:00
安南,臺南市,66,懸浮微粒,普通,3.5,0.32,51,79,21,15,4.8,335,3,2015-04-14 09:00
