監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.054,2015-03-22 16:00
三芝,SHANGI,0.059,2015-03-22 16:00
石崩山,SHIHBENGSHAN,0.065,2015-03-22 16:00
茂林,MAOLIN,0.050,2015-03-22 16:00
金山,CHINSHAN,0.048,2015-03-22 16:00
野柳,YEHLIU,0.055,2015-03-22 16:00
大鵬,TAPERNG,0.064,2015-03-22 16:00
陽明山,YANGMINSHAN,0.059,2015-03-22 16:00
大坪,TAPING,0.067,2015-03-22 16:00
萬里,WANLI,0.074,2015-03-22 16:00
台北,TAIPEI,0.057,2015-03-22 16:00
宜蘭,ILAN,0.061,2015-03-22 16:00
龍潭,LUNGTAN,0.054,2015-03-22 15:55
台中,TAICHUNG,0.074,2015-03-22 16:00
台東,TAITUNG,0.054,2015-03-22 16:00
高雄,KAOHSIUNG,0.061,2015-03-22 16:00
恆春,HENGCHUN,0.071,2015-03-22 16:00
龍泉,LUNGCHUAN,0.062,2015-03-22 16:00
大光,TAKUANG,0.051,2015-03-22 16:00
墾丁,KENTING,0.057,2015-03-22 16:05
後壁湖,HOUBIHU,0.057,2015-03-22 16:05
澳底,AODI,0.053,2015-03-22 16:05
貢寮,GONGLIAO,0.047,2015-03-22 16:05
阿里山,ALISHAN,0.104,2015-03-22 16:05
金門,KINMEN,0.086,2015-03-22 16:05
蘭嶼,LANYU,0.057,2015-03-22 16:05
台南,TAINAN,0.063,2015-03-22 16:05
龍門,LUNGMEN,0.053,2015-03-22 16:05
雙溪,SHUANGSI,0.061,2015-03-22 16:05
三港,SANGANG,0.059,2015-03-22 16:05
新竹,HSINCHU,0.053,2015-03-22 16:05
花蓮,HUALINE,0.052,2015-03-22 16:05
澎湖,PENGHU,0.047,2015-03-22 16:05
馬祖,MATZU,0.052,2015-03-22 16:05
滿州,MANJHOU,0.052,2015-03-22 16:05
板橋,BANCIAO,0.069,2015-03-22 16:05
屏東市,PINGTONG,0.051,2015-03-22 16:05
基隆,KEELUNG,0.060,2015-03-22 16:05
頭城,TOUCHENG,0.053,2015-03-22 16:05
竹北,JHUBEI,0.052,2015-03-22 16:05
苗栗,MIAOLI,0.045,2015-03-22 16:05
南投,NANTOU,0.051,2015-03-22 16:05
彰化,CHANGHUA,0.067,2015-03-22 16:05
雲林,YUNLIN,0.050,2015-03-22 16:05
嘉義,CHIAYI,0.048,2015-03-22 16:05
