SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,49,,良好,3.9,0.24,26,46,39,4.8,2.2,36,3,2015-04-30 07:00
三重,新北市,61,懸浮微粒,普通,1.9,1.31,,86,32,38,,,3,2015-04-30 07:00
三義,苗栗縣,52,懸浮微粒,普通,2.6,0.27,18,57,37,6.6,2.2,35,3,2015-04-30 07:00
土城,新北市,58,懸浮微粒,普通,4.7,0.46,60,73,50,12,1.4,281,6,2015-04-30 07:00
士林,臺北市,48,,良好,2.4,0.39,58,41,37,11,2.5,133,,2015-04-30 07:00
大同,臺北市,61,懸浮微粒,普通,1.8,1.01,,76,40,36,,,4,2015-04-30 07:00
大里,臺中市,60,懸浮微粒,普通,4.4,0.38,17,74,43,14,1.5,233,3,2015-04-30 07:00
大園,桃園市,52,懸浮微粒,普通,8.5,0.44,39,52,34,22,2.6,77,3,2015-04-30 07:00
大寮,高雄市,48,,良好,5.3,0.32,24,54,32,19,1.8,296,3,2015-04-30 07:00
小港,高雄市,48,,良好,1.6,0.29,34,59,19,8.6,1.9,300,2,2015-04-30 07:00
中山,臺北市,50,,良好,1.3,0.5,59,51,31,18,2.9,118,,2015-04-30 07:00
中壢,桃園市,64,懸浮微粒,普通,9.4,1.95,17,100,41,45,1.1,275,3,2015-04-30 07:00
仁武,高雄市,55,懸浮微粒,普通,5.6,0.34,24,76,34,17,1.2,359,3,2015-04-30 07:00
斗六,雲林縣,52,懸浮微粒,普通,3.1,0.26,21,44,32,10,0.9,51,3,2015-04-30 07:00
冬山,宜蘭縣,55,臭氧,普通,1.4,0.39,66,54,37,12,1.2,78,3,2015-04-30 07:00
古亭,臺北市,59,懸浮微粒,普通,4.5,0.45,50,81,48,17,2.8,79,5,2015-04-30 07:00
左營,高雄市,52,懸浮微粒,普通,4.1,0.33,33,69,35,11,2,39,3,2015-04-30 07:00
平鎮,桃園市,64,懸浮微粒,普通,8.2,0.58,34,93,54,23,2.9,106,5,2015-04-30 07:00
永和,新北市,58,懸浮微粒,普通,5.1,0.64,56,73,42,17,3.1,83,5,2015-04-30 07:00
朴子,嘉義縣,61,懸浮微粒,普通,1.9,0.26,24,78,34,7.7,1.4,51,3,2015-04-30 07:00
汐止,新北市,56,懸浮微粒,普通,3.7,0.39,60,66,40,12,2.1,62,4,2015-04-30 07:00
竹山,南投縣,56,懸浮微粒,普通,2.5,0.25,3.2,57,28,13,1,58,3,2015-04-30 07:00
竹東,新竹縣,52,懸浮微粒,普通,1.9,0.37,8.4,59,32,14,0.5,79,3,2015-04-30 07:00
西屯,臺中市,52,懸浮微粒,普通,1.8,0.24,27,59,45,11,2.2,31,3,2015-04-30 07:00
沙鹿,臺中市,52,懸浮微粒,普通,2.1,0.36,15,59,27,15,3,329,3,2015-04-30 07:00
宜蘭,宜蘭縣,52,懸浮微粒,普通,1.6,0.47,51,62,,7.7,1.4,327,,2015-04-30 07:00
忠明,臺中市,50,,良好,2.3,0.31,17,42,32,14,0.8,27,3,2015-04-30 07:00
松山,臺北市,56,懸浮微粒,普通,6.5,0.41,64,57,35,14,2.6,61,3,2015-04-30 07:00
板橋,新北市,59,懸浮微粒,普通,8,0.49,52,76,42,21,2.8,82,4,2015-04-30 07:00
