SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,29,,良好,2.6,0.18,3.2,27,14,10,2.1,138,1,12.16,1.75,2015-07-25 05:00
三重,新北市,52,懸浮微粒,普通,5.3,1.37,,55,25,25,,,2,85.68,60.96,2015-07-25 05:00
三義,苗栗縣,28,,良好,1.1,0.1,12,20,12,4.9,3,194,2,5.7,.84,2015-07-25 05:00
土城,新北市,43,,良好,2.4,0.45,2.5,48,22,16,1,120,2,28.94,12.53,2015-07-25 05:00
士林,臺北市,40,,良好,2.5,0.62,2.2,54,21,13,0.7,324,2,24,10.51,2015-07-25 05:00
大同,臺北市,52,懸浮微粒,普通,2.6,1.34,,53,14,20,,,2,45.85,25.75,2015-07-25 05:00
大里,臺中市,28,,良好,2,0.13,9.8,18,8,6.4,1.9,150,2,7.66,1.31,2015-07-25 05:00
大園,桃園市,36,,良好,3.6,0.22,7.3,37,13,11,1.5,198,2,12.3,.87,2015-07-25 05:00
大寮,高雄市,30,,良好,2.7,0.3,3.2,38,30,10,1.8,47,2,12.53,2.41,2015-07-25 05:00
小港,高雄市,0,,,7.4,0.08,9.9,45,8,11,0.8,266,,13.5,2.44,2015-07-25 00:00
中山,臺北市,39,,良好,1.7,0.39,6.6,31,17,16,1.6,173,2,17.95,1.83,2015-07-25 05:00
中壢,桃園市,47,,良好,2.4,0.47,7.8,47,14,13,1.3,201,2,19.75,7.15,2015-07-25 05:00
仁武,高雄市,48,,良好,20,0.3,4.7,71,17,13,1.8,89,1,18.38,5.57,2015-07-25 05:00
斗六,雲林縣,25,,良好,3.2,0.15,5.7,25,8,8.2,1.8,114,1,10.59,2.41,2015-07-25 05:00
冬山,宜蘭縣,29,,良好,2.8,0.33,3.5,24,14,17,0.9,263,2,19.89,2.85,2015-07-25 05:00
古亭,臺北市,52,懸浮微粒,普通,1.2,0.29,12,39,10,6.7,1.4,185,2,8.63,1.91,2015-07-25 05:00
左營,高雄市,25,,良好,2.3,0.2,5.5,31,14,12,1.4,83,1,12.87,1.32,2015-07-25 05:00
平鎮,桃園市,41,,良好,2.6,0.24,3.6,39,20,17,2.3,209,2,20.02,3.17,2015-07-25 05:00
永和,新北市,35,,良好,1.5,0.35,12,29,19,8,0.9,0.3,2,11.56,3.59,2015-07-25 05:00
安南,臺南市,34,,良好,2,0.19,5.3,38,8,9.9,2.4,132,1,11.82,1.94,2015-07-25 05:00
朴子,嘉義縣,38,,良好,2.3,0.13,4.1,43,5,8.9,1.6,153,1,10.6,1.69,2015-07-25 05:00
汐止,新北市,44,,良好,3.9,0.49,2.1,50,23,20,0.8,230,3,25.43,5.79,2015-07-25 05:00
竹山,南投縣,26,,良好,1.5,0.13,4.7,21,5,6.2,1.3,237,1,6.99,.84,2015-07-25 05:00
竹東,新竹縣,36,,良好,1.5,0.15,8.7,33,5,3.3,1.6,143,1,5.38,2.04,2015-07-25 05:00
西屯,臺中市,30,,良好,1.6,0.19,6.3,25,11,11,1.9,182,1,12.89,1.95,2015-07-25 05:00
沙鹿,臺中市,30,,良好,2.4,0.14,7.5,29,2,9.3,3.4,165,1,10.24,.9,2015-07-25 05:00
宜蘭,宜蘭縣,35,,良好,3.4,0.18,11,33,15,5.6,0.6,187,2,6.37,.73,2015-07-25 05:00
忠明,臺中市,19,,良好,2.2,0.13,9.6,5,11,7,1.7,135,1,8.52,1.52,2015-07-25 05:00
松山,臺北市,37,,良好,1.8,0.49,9.2,30,16,15,1.4,223,2,17.88,3.04,2015-07-25 05:00
板橋,新北市,46,,良好,7.6,0.44,0.7,48,22,22,1.6,227,3,33.18,11.07,2015-07-25 05:00
林口,新北市,47,,良好,3.7,0.24,5.1,45,21,17,2.6,251,2,19.86,2.86,2015-07-25 05:00
林園,高雄市,25,,良好,1,0.25,1.4,35,24,8.6,2.5,38,2,9.44,.8,2015-07-25 05:00
花蓮,花蓮縣,24,,良好,1.2,0.14,10,22,7,3.3,2,239,1,3.97,.64,2015-07-25 05:00
金門,金門縣,16,,良好,2.4,0.1,19,16,5,4.3,0.4,216,1,5.41,1.14,2015-07-25 05:00
