SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,44,,良好,1.6,0.07,26,56,16,1.6,4.8,246,2,2.72,1.16,2015-07-24 15:00
三重,新北市,52,懸浮微粒,普通,4,0.79,,62,23,46,,,2,77.91,31.93,2015-07-24 15:00
三義,苗栗縣,39,,良好,3,0.15,45,44,29,6.6,4.2,208,3,8.19,1.62,2015-07-24 15:00
土城,新北市,50,,良好,2.6,0.3,60,44,24,17,3.6,160,3,19.16,1.75,2015-07-24 15:00
士林,臺北市,63,臭氧,普通,3.8,0.22,76,46,17,10,4.3,312,2,12.1,1.85,2015-07-24 15:00
大同,臺北市,54,懸浮微粒,普通,3.3,0.87,,66,15,30,,,2,41,10.62,2015-07-24 15:00
大里,臺中市,34,,良好,2.1,0.17,41,40,20,6.2,3.6,225,2,8.92,2.76,2015-07-24 15:00
大園,桃園市,44,,良好,3.6,0.13,46,49,19,4.7,6.1,232,2,5.79,1.13,2015-07-24 15:00
大寮,高雄市,24,,良好,9.4,0.24,25,24,19,6,2,209,2,7.61,1.6,2015-07-24 15:00
小港,高雄市,26,,良好,3.7,0.09,20,25,4,4.2,2.5,220,1,8.38,4.17,2015-07-24 15:00
中山,臺北市,62,臭氧,普通,3.2,0.37,74,50,24,15,3.8,38,2,16.82,1.76,2015-07-24 15:00
中壢,桃園市,40,,良好,4.6,1.03,44,53,26,31,2.1,143,2,37.02,6.31,2015-07-24 15:00
仁武,高雄市,38,,良好,1.7,0.14,25,29,8,5.5,1.9,214,2,8.6,3.13,2015-07-24 15:00
斗六,雲林縣,0,,,,,,50,6,,3.2,242,,,,2015-07-24 15:00
冬山,宜蘭縣,47,,良好,1.7,0.23,56,34,16,9.4,2.8,24,2,14.09,4.67,2015-07-24 15:00
古亭,臺北市,60,臭氧,普通,3.9,0.35,72,40,30,18,1.5,172,2,18.64,1.12,2015-07-24 15:00
左營,高雄市,36,,良好,1,0.1,19,33,3,2,3,267,1,2.26,.27,2015-07-24 15:00
平鎮,桃園市,46,,良好,3.6,0.2,56,50,16,11,3.6,263,2,12.62,1.61,2015-07-24 15:00
永和,新北市,45,,良好,3.5,1.15,54,56,27,40,2.2,6.5,2,50.13,10.61,2015-07-24 15:00
安南,臺南市,30,,良好,1.7,0.12,25,29,6,3.4,3.6,228,1,4.21,.77,2015-07-24 15:00
朴子,嘉義縣,39,,良好,1.7,0.15,24,31,9,2.5,4.4,235,2,5.06,2.56,2015-07-24 15:00
汐止,新北市,36,,良好,,,,,,,2.7,50,,,,2015-07-24 15:00
竹山,南投縣,42,,良好,2.2,0.11,51,37,18,4.3,3.7,261,1,4.84,.6,2015-07-24 15:00
竹東,新竹縣,47,,良好,2.5,0.17,56,35,15,6.4,2.9,249,1,7.44,1.02,2015-07-24 15:00
西屯,臺中市,40,,良好,3.1,0.1,37,50,14,7.3,3,230,1,9.61,2.33,2015-07-24 15:00
沙鹿,臺中市,37,,良好,2.8,0.14,36,38,7,5.8,3.9,235,1,7.4,1.6,2015-07-24 15:00
宜蘭,宜蘭縣,41,,良好,2.3,0.14,40,46,13,3.5,2.7,62,2,4.24,.72,2015-07-24 15:00
忠明,臺中市,32,,良好,2.1,0.2,38,34,19,8.3,2.2,240,2,10.56,2.26,2015-07-24 15:00
松山,臺北市,62,臭氧,普通,4.9,0.29,74,48,32,14,1.9,61,2,16.28,2.41,2015-07-24 15:00
板橋,新北市,58,臭氧,普通,3.8,0.38,70,61,18,19,3.5,142,2,21.39,1.98,2015-07-24 15:00
林口,新北市,52,懸浮微粒,普通,,,,64,20,,3.5,275,2,,,2015-07-24 14:00
林園,高雄市,23,,良好,1.3,0.09,23,9,4,1.9,2,242,1,2.65,.74,2015-07-24 15:00
花蓮,花蓮縣,25,,良好,1.6,0.12,28,24,3,1.9,2.8,117,1,2.48,.57,2015-07-24 15:00
金門,金門縣,25,,良好,1.3,0.09,26,26,15,1.9,5.2,175,2,3.05,1.17,2015-07-24 15:00
前金,高雄市,0,,,1.9,0.09,22,15,10,2.1,3.3,238,,3.15,1.08,2015-07-24 15:00
前鎮,高雄市,28,,良好,1.8,0.16,17,24,8,8.6,2.9,288,1,16.69,8.14,2015-07-24 15:00
南投,南投縣,42,,良好,1.5,0.17,51,37,14,3.4,3.2,231,1,3.82,.46,2015-07-24 15:00
屏東,屏東縣,44,,良好,4.3,0.22,24,49,23,7.4,2.3,260,2,10.72,3.29,2015-07-24 15:00
恆春,屏東縣,25,,良好,1.2,0.07,21,27,5,1.2,4.2,270,1,3.03,1.79,2015-07-24 15:00
