SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,44,,良好,13,0.61,26,55,25,26,3.1,43,3,2015-03-05 13:00
三重,新北市,29,,良好,7.6,1.34,,36,9,39,,,1,2015-03-05 13:00
三義,苗栗縣,29,,良好,,,22,39,23,15,2.4,41,2,2015-03-05 13:00
土城,新北市,22,,良好,3.1,0.53,26,23,15,21,1.3,70,2,2015-03-05 13:00
士林,臺北市,31,,良好,1.7,0.3,38,,8,,3.4,117,1,2015-03-05 13:00
大同,臺北市,28,,良好,10,1.29,,32,11,39,,,1,2015-03-05 13:00
大里,臺中市,43,,良好,4,0.57,42,74,33,23,2.2,324,3,2015-03-05 13:00
大園,桃園市,28,,良好,2.2,0.23,34,13,8,11,5.7,58,1,2015-03-05 13:00
大寮,高雄市,0,,,4.1,0.68,37,73,33,29,1.4,65,,2015-03-04 20:00
小港,高雄市,82,懸浮微粒,普通,7.7,0.66,79,113,49,20,3.5,286,7,2015-03-05 13:00
中山,臺北市,31,,良好,11,0.51,20,31,4,28,2.7,112,1,2015-03-05 13:00
中壢,桃園市,40,,良好,,,,44,6,,0.7,246,1,2015-03-05 13:00
仁武,高雄市,88,懸浮微粒,普通,4.2,0.68,81,131,56,17,2.6,275,6,2015-03-05 13:00
斗六,雲林縣,56,懸浮微粒,普通,5.8,0.5,41,73,37,17,1,269,4,2015-03-05 13:00
冬山,宜蘭縣,21,,良好,1.6,0.33,26,12,8,13,2.1,303,1,2015-03-05 13:00
古亭,臺北市,25,,良好,2.4,0.42,24,26,3,19,3,61,1,2015-03-05 13:00
左營,高雄市,68,懸浮微粒,普通,4.4,0.62,,84,49,13,5.4,298,6,2015-03-05 13:00
平鎮,桃園市,22,,良好,3.8,0.63,20,29,14,27,1.6,98,1,2015-03-05 13:00
永和,新北市,24,,良好,2.2,0.5,28,15,9,18,3.6,84,1,2015-03-05 13:00
安南,臺南市,74,懸浮微粒,普通,3.2,0.41,70,106,47,7.7,2.8,293,6,2015-03-05 13:00
朴子,嘉義縣,53,懸浮微粒,普通,3.9,0.35,55,66,31,9.2,3.4,308,3,2015-03-05 13:00
汐止,新北市,23,,良好,2.4,0.27,28,11,12,16,2.3,51,1,2015-03-05 13:00
竹山,南投縣,69,懸浮微粒,普通,3.6,0.57,48,111,68,15,2.1,283,7,2015-03-05 13:00
竹東,新竹縣,22,,良好,4.2,0.54,14,29,16,15,0.9,96,1,2015-03-05 13:00
西屯,臺中市,40,,良好,2.6,0.38,38,28,8,16,2.8,331,2,2015-03-05 13:00
沙鹿,臺中市,34,,良好,2.8,0.41,32,39,12,19,3.2,1.4,1,2015-03-05 13:00
宜蘭,宜蘭縣,30,,良好,1.3,0.28,35,21,5,5.7,1.8,212,1,2015-03-05 13:00
忠明,臺中市,44,,良好,4.1,0.42,38,63,30,18,2.4,314,3,2015-03-05 13:00
松山,臺北市,22,,良好,2.8,0.39,27,12,3,22,2.3,64,1,2015-03-05 13:00
板橋,新北市,20,,良好,3.7,0.51,24,27,7,21,2.4,66,1,2015-03-05 13:00
林口,新北市,20,,良好,4.8,0.39,24,27,18,23,2.1,83,1,2015-03-05 13:00
林園,高雄市,67,臭氧,普通,4.2,0.54,80,26,11,9.8,3.8,280,5,2015-03-05 13:00
花蓮,花蓮縣,39,,良好,1.8,0.29,47,13,0,6.8,3.7,101,1,2015-03-05 13:00
金門,金門縣,35,,良好,3.5,0.34,29,48,16,9.7,3.2,48,2,2015-03-05 13:00
前金,高雄市,80,懸浮微粒,普通,4.3,0.72,82,139,47,14,3.2,17,6,2015-03-05 13:00
前鎮,高雄市,67,懸浮微粒,普通,5.6,0.64,75,82,52,22,2.4,287,7,2015-03-05 13:00
南投,南投縣,67,懸浮微粒,普通,5.4,0.69,36,105,48,27,2,24,5,2015-03-05 13:00
屏東,屏東縣,74,懸浮微粒,普通,9.2,0.81,78,79,36,25,3.5,262,5,2015-03-05 13:00
恆春,屏東縣,48,,良好,1.2,0.28,58,22,5,1.1,6.6,59,1,2015-03-05 13:00
美濃,高雄市,84,臭氧,普通,5.7,0.7,101,83,42,14,2.2,300,4,2015-03-05 13:00
苗栗,苗栗縣,29,,良好,3.1,0.54,16,39,20,23,1.6,52,1,2015-03-05 13:00
埔里,南投縣,68,懸浮微粒,普通,3.2,0.59,77,75,48,15,4.2,293,9,2015-03-05 13:00
桃園,桃園市,27,,良好,4,0.48,24,56,13,21,2,88,1,2015-03-05 13:00
馬公,澎湖縣,36,,良好,0,0.24,43,22,10,2,4.9,92,2,2015-03-05 13:00
馬祖,連江縣,32,,良好,1.6,0.23,38,9,6,3.4,4.1,65,1,2015-03-05 13:00
基隆,基隆市,32,,良好,0.9,0.32,38,9,5,7.4,1.3,81,1,2015-03-05 13:00
崙背,雲林縣,46,,良好,4,0.39,37,44,23,12,3.4,314,2,2015-03-05 13:00
淡水,新北市,22,,良好,2.6,0.43,26,16,2,15,,,1,2015-03-05 13:00
麥寮,雲林縣,55,懸浮微粒,普通,3,0.29,41,53,13,8.7,4.5,70,2,2015-03-05 13:00
善化,臺南市,62,懸浮微粒,普通,3.6,0.39,68,88,58,7.9,2.6,309,7,2015-03-05 13:00
復興,高雄市,72,懸浮微粒,普通,7.3,0.79,59,71,55,21,1.2,229,8,2015-03-05 13:00
湖口,新竹縣,23,,良好,3.6,0.42,27,16,10,18,2,53,1,2015-03-05 13:00
菜寮,新北市,16,,良好,8.7,0.57,19,18,11,22,2.8,93,1,2015-03-05 13:00
陽明,臺北市,34,,良好,1.8,0.2,41,3,0,0.9,,,1,2015-03-05 13:00
新竹,新竹市,26,,良好,5.3,0.72,11,34,22,37,0.8,70,2,2015-03-05 13:00
新店,新北市,10,,良好,2.3,0.51,26,12,9,18,1.7,61,1,2015-03-05 12:00
新莊,新北市,23,,良好,7.6,0.41,28,15,7,18,3.8,75,1,2015-03-05 13:00
新港,嘉義縣,56,懸浮微粒,普通,3,0.34,52,70,28,6.1,2.7,311,3,2015-03-05 13:00
新營,臺南市,65,懸浮微粒,普通,6.2,0.49,64,103,39,15,2.7,35,4,2015-03-05 13:00
楠梓,高雄市,82,懸浮微粒,普通,,,,123,51,,2.5,277,6,2015-03-05 13:00
萬里,新北市,27,,良好,1.4,0.24,32,31,9,18,2.7,45,1,2015-03-05 13:00
萬華,臺北市,19,,良好,6.4,0.42,23,10,7,24,3,112,1,2015-03-05 13:00
嘉義,嘉義市,62,懸浮微粒,普通,3.7,0.54,54,89,43,11,2.2,302,4,2015-03-05 13:00
彰化,彰化縣,0,,,3.1,0.47,36,47,11,15,2.5,323,,2015-03-05 13:00
臺西,雲林縣,34,,良好,2.2,0.22,41,35,5,6.3,6.4,28,2,2015-03-05 13:00
臺東,臺東縣,41,,良好,2.1,0.57,49,20,7,5.5,2.7,84,1,2015-03-05 13:00
臺南,臺南市,66,懸浮微粒,普通,5.3,0.49,69,91,38,12,2.9,328,5,2015-03-05 13:00
鳳山,高雄市,88,懸浮微粒,普通,5,0.79,72,121,48,19,2.9,306,6,2015-03-05 13:00
潮州,屏東縣,0,,,2.8,0.45,75,107,38,8.9,2.6,255,7,2015-03-05 13:00
線西,彰化縣,39,,良好,5.8,0.5,35,49,18,16,4.8,40,2,2015-03-05 13:00
橋頭,高雄市,68,懸浮微粒,普通,3.3,0.63,81,87,53,14,3.5,277,7,2015-03-05 13:00
頭份,苗栗縣,27,,良好,2.5,0.57,16,32,16,27,0.7,89,1,2015-03-05 13:00
龍潭,桃園市,27,,良好,2.3,0.72,15,41,13,32,1.2,88,1,2015-03-05 13:00
豐原,臺中市,47,,良好,4.8,0.43,40,61,29,16,2.3,310,2,2015-03-05 13:00
關山,臺東縣,40,,良好,1.3,,48,6,5,2.7,2.4,194,1,2015-03-05 13:00
觀音,桃園市,31,,良好,4,0.24,37,30,10,7.4,5.6,58,1,2015-03-05 13:00
