SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
二林,彰化縣,24,,良好,2.6,0.09,16,19,3,3.9,1.3,314,1,4.97,1.04,2015-08-24 06:00
三重,新北市,38,,良好,2.6,0.65,,25,7,15,,,1,41,26.48,2015-08-24 06:00
三義,苗栗縣,20,,良好,1.5,0.13,17,17,2,4,0.5,39,1,5.72,1.72,2015-08-24 06:00
土城,新北市,20,,良好,2.4,0.15,19,17,11,5.6,2.4,301,1,5.74,.11,2015-08-24 06:00
士林,臺北市,22,,良好,9.3,0.13,22,22,10,5.1,3.9,301,1,7.04,1.97,2015-08-24 06:00
大同,臺北市,36,,良好,1.8,0.27,,34,8,5.6,,,1,7.74,2.17,2015-08-24 06:00
大里,臺中市,20,,良好,1.1,0.18,17,14,12,6.2,1.4,262,1,8.35,2.19,2015-08-24 06:00
大園,桃園市,34,,良好,5.4,0.18,15,30,7,9.6,,,1,11.51,1.94,2015-08-24 06:00
小港,高雄市,31,,良好,3.1,0.11,19,17,0,7.2,2.5,311,1,6.71,-.5,2015-08-24 06:00
中山,臺北市,25,,良好,2.5,0.39,15,20,1,9.9,2,287,1,13.96,4.06,2015-08-24 06:00
中壢,桃園市,29,,良好,1.6,0.49,15,23,0,12,1.3,189,1,26.98,15.32,2015-08-24 06:00
仁武,高雄市,43,,良好,2.6,0.2,12,37,0,14,2.6,314,1,17.69,3.77,2015-08-24 06:00
斗六,雲林縣,33,,良好,1.5,0.11,15,26,11,6.4,1.5,25,1,8.5,2.12,2015-08-24 06:00
冬山,宜蘭縣,18,,良好,0.9,0.16,22,6,6,5.6,1.4,286,1,8.36,2.77,2015-08-24 06:00
古亭,臺北市,31,,良好,1.4,0.19,16,32,3,6.9,1.4,286,1,8.02,1.1,2015-08-24 06:00
左營,高雄市,35,,良好,3.9,0.1,21,28,4,5.1,3.1,307,1,6.01,.87,2015-08-24 06:00
平鎮,桃園市,33,,良好,1.6,0.15,14,26,13,7.4,2.2,272,1,9.47,2.1,2015-08-24 06:00
永和,新北市,19,,良好,1.4,0.29,17,16,4,7.1,2,266,1,10.98,3.84,2015-08-24 06:00
安南,臺南市,27,,良好,1.3,0.08,24,18,6,2.6,0.8,341,1,3.02,.39,2015-08-24 06:00
朴子,嘉義縣,33,,良好,2.1,0.11,17,33,2,4.7,1.3,32,1,5.48,.83,2015-08-24 06:00
汐止,新北市,21,,良好,3.3,0.16,16,20,8,6.8,2.5,243,1,7.83,1.06,2015-08-24 06:00
竹山,南投縣,32,,良好,2.4,0.17,13,39,3,5.9,1.3,208,1,6.57,.66,2015-08-24 06:00
竹東,新竹縣,19,,良好,1.1,0.12,23,17,6,2.2,2.6,214,1,3.18,1,2015-08-24 06:00
西屯,臺中市,26,,良好,1.9,0.13,19,25,0,5,1,16,1,6.14,1.12,2015-08-24 06:00
沙鹿,臺中市,37,,良好,4.3,0.14,15,34,3,7,2,322,1,7.12,.09,2015-08-24 06:00
宜蘭,宜蘭縣,23,,良好,1.4,0.12,27,9,0,1.2,1,23,1,1.32,.16,2015-08-24 06:00
忠明,臺中市,17,,良好,1.6,0.1,17,19,4,6.3,1.6,303,1,7.02,.77,2015-08-24 06:00
松山,臺北市,24,,良好,1.3,0.19,20,22,8,5.5,2.2,249,1,7.94,2.46,2015-08-24 06:00
