SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,50,,良好,2.1,0.14,33,60,7,3.4,5.9,212,1,4.25,.86,2015-07-11 10:00
關山,臺東縣,22,,良好,1.2,,24,26,6,5.8,1.6,89,1,8.72,2.93,2015-07-11 10:00
馬公,澎湖縣,26,,良好,2.6,0.13,30,29,15,2.5,2.5,204,2,4.65,2.16,2015-07-11 10:00
金門,金門縣,52,懸浮微粒,普通,3.8,0.22,49,53,24,4.1,3.9,256,2,5.95,1.81,2015-07-11 10:00
馬祖,連江縣,24,,良好,2.2,0.13,23,28,11,,4.8,157,1,,,2015-07-11 10:00
埔里,南投縣,21,,良好,0.9,0.3,21,24,10,8.1,0.6,356,2,9.92,1.86,2015-07-11 10:00
復興,高雄市,28,,良好,3.7,0.36,5.3,31,7,9.9,1.1,244,1,12.74,2.81,2015-07-11 10:00
永和,新北市,24,,良好,1.8,0.68,27,28,13,14,4.4,260,2,24.05,9.97,2015-07-11 10:00
竹山,南投縣,27,,良好,1.3,0.13,25,27,9,2.5,2.9,221,1,3.78,1.26,2015-07-11 10:00
中壢,桃園市,36,,良好,2.5,0.94,22,43,13,21,3.1,170,1,43.19,22,2015-07-11 10:00
冬山,宜蘭縣,25,,良好,11,0.53,9.4,43,13,20,0.9,56,1,33.18,13.67,2015-07-11 10:00
宜蘭,宜蘭縣,30,,良好,3.2,0.44,21,38,12,8.8,0.9,117,1,12.75,3.94,2015-07-11 10:00
陽明,臺北市,27,,良好,1.4,0.17,33,23,19,2.9,,,2,4,1.14,2015-07-11 10:00
花蓮,花蓮縣,27,,良好,1.4,0.3,27,37,6,8.6,2,49,1,12.19,3.62,2015-07-11 10:00
臺東,臺東縣,38,,良好,1,0.34,28,43,13,5,3.6,207,1,8.18,3.18,2015-07-11 10:00
恆春,屏東縣,43,,良好,1.4,0.21,51,39,23,2.2,11,254,2,2.53,.31,2015-07-11 10:00
潮州,屏東縣,31,,良好,2,0.17,32,37,11,2.8,4.5,267,1,4.12,1.32,2015-07-11 10:00
屏東,屏東縣,30,,良好,1.8,0.22,22,31,5,5.1,3.3,251,1,7.92,2.78,2015-07-11 10:00
小港,高雄市,41,,良好,5.8,0.19,19,62,1,15,4,249,1,24.32,9.27,2015-07-11 10:00
前鎮,高雄市,38,,良好,5.1,0.18,20,44,5,11,2.4,278,1,15.89,5.2,2015-07-11 10:00
前金,高雄市,29,,良好,1.7,0.19,26,33,5,3.3,3.8,257,1,4.23,.97,2015-07-11 10:00
左營,高雄市,36,,良好,1.9,0.17,23,31,11,2.7,4.1,249,1,4.34,1.67,2015-07-11 10:00
楠梓,高雄市,38,,良好,1.5,0.16,20,44,0,3.1,3.7,252,1,5.77,2.69,2015-07-11 10:00
林園,高雄市,35,,良好,1.1,0.15,41,44,20,1.7,4.2,260,2,3.21,1.51,2015-07-11 10:00
大寮,高雄市,28,,良好,5.1,0.16,24,34,9,7.9,3.8,260,1,11.61,3.76,2015-07-11 10:00
鳳山,高雄市,42,,良好,2.2,0.38,22,43,7,7.9,4.4,262,1,10.77,2.87,2015-07-11 10:00
仁武,高雄市,38,,良好,1.6,0.17,21,36,6,6.2,4.6,242,1,9.6,3.38,2015-07-11 10:00
橋頭,高雄市,32,,良好,1.7,0.16,24,31,5,1.6,7.1,222,1,3.3,1.65,2015-07-11 10:00
美濃,高雄市,16,,良好,1.4,0.16,18,22,4,4.7,1.9,228,1,6.74,2.03,2015-07-11 10:00
臺南,臺南市,32,,良好,1.7,0.18,26,35,8,3.6,3.8,234,1,5.16,1.56,2015-07-11 10:00
安南,臺南市,32,,良好,1.4,0.15,25,37,6,3.1,4.3,248,1,5.12,2.05,2015-07-11 10:00
善化,臺南市,31,,良好,1.5,0.11,24,33,5,9.4,5.9,229,1,12.92,3.55,2015-07-11 10:00
新營,臺南市,33,,良好,1.8,0.28,23,24,5,4.2,2.3,251,1,5.48,1.3,2015-07-11 10:00
嘉義,嘉義市,32,,良好,2.2,0.24,18,29,5,6.5,2.4,213,1,10.1,3.65,2015-07-11 10:00
臺西,雲林縣,37,,良好,2.9,0.11,34,38,18,3,6.3,137,2,4.56,1.55,2015-07-11 10:00
朴子,嘉義縣,41,,良好,2.3,0.23,29,45,3,5,5.2,227,1,7.22,2.22,2015-07-11 10:00
新港,嘉義縣,35,,良好,1.1,0.14,29,31,7,3,5.1,214,1,5.13,2.1,2015-07-11 10:00
崙背,雲林縣,29,,良好,2.3,0.13,29,23,6,2,5.2,217,1,3.52,1.47,2015-07-11 10:00
斗六,雲林縣,30,,良好,0.9,0.28,21,45,5,6.7,2.4,187,1,8.51,1.8,2015-07-11 10:00
南投,南投縣,32,,良好,0.9,0.29,21,35,5,5.2,2.5,185,1,6.89,1.68,2015-07-11 10:00
二林,彰化縣,39,,良好,3.1,0.12,35,45,2,2.3,4.4,223,1,3.48,1.14,2015-07-11 10:00
線西,彰化縣,37,,良好,3.4,0.17,34,42,19,6.5,5.2,199,2,9.02,2.56,2015-07-11 10:00
彰化,彰化縣,36,,良好,2.7,0.19,27,41,8,4,4.2,200,1,4.91,.93,2015-07-11 10:00
西屯,臺中市,36,,良好,2.8,0.2,18,37,17,14,4.3,181,1,18.36,4.57,2015-07-11 10:00
忠明,臺中市,23,,良好,2.2,0.27,21,29,13,9.5,2.5,171,1,13.02,3.55,2015-07-11 10:00
大里,臺中市,26,,良好,1.8,0.22,22,25,13,7.8,3.6,175,1,11.49,3.74,2015-07-11 10:00
沙鹿,臺中市,41,,良好,2.9,0.31,23,46,8,11,4.7,181,1,14.21,2.95,2015-07-11 10:00
豐原,臺中市,25,,良好,2.3,0.19,24,30,14,4.8,4.8,190,2,6.05,1.28,2015-07-11 10:00
三義,苗栗縣,35,,良好,1.9,0.16,27,35,21,4.9,7.1,189,2,6.05,1.15,2015-07-11 10:00
苗栗,苗栗縣,36,,良好,1.8,0.27,25,46,11,7.9,5.6,201,1,9.62,1.73,2015-07-11 10:00
頭份,苗栗縣,42,,良好,3,0.19,30,48,7,6.2,6.1,220,1,9.28,3.09,2015-07-11 10:00
新竹,新竹市,26,,良好,1.6,0.33,29,32,20,7.4,5.5,243,2,10.92,3.55,2015-07-11 10:00
竹東,新竹縣,31,,良好,1.6,0.2,31,32,6,3.4,3.8,237,1,6.42,2.99,2015-07-11 10:00
湖口,新竹縣,38,,良好,2.9,0.19,33,50,13,7.6,11,231,1,9.95,2.4,2015-07-11 10:00
龍潭,桃園市,35,,良好,2.4,0.21,30,36,19,3.7,7,254,2,5.9,2.23,2015-07-11 10:00
平鎮,桃園市,37,,良好,2.8,0.22,30,39,11,7.7,6.1,239,1,9.66,1.99,2015-07-11 10:00
觀音,桃園市,40,,良好,3.1,0.19,31,43,15,6.2,9.3,247,1,8.37,2.16,2015-07-11 10:00
大園,桃園市,33,,良好,2.7,0.2,34,34,20,6.5,8.6,221,2,8.32,1.85,2015-07-11 10:00
桃園,桃園市,30,,良好,2.4,0.33,32,38,20,8.2,3.8,243,2,12.06,3.9,2015-07-11 10:00
大同,臺北市,42,,良好,3.3,0.75,,51,13,13,,,2,20.18,6.99,2015-07-11 10:00
松山,臺北市,30,,良好,3.1,0.43,29,33,11,17,4,246,1,25.92,8.65,2015-07-11 10:00
古亭,臺北市,35,,良好,2.4,0.35,29,42,16,11,5.5,264,2,14.22,3.51,2015-07-11 10:00
萬華,臺北市,27,,良好,-0.2,0.34,32,26,11,9.2,5.1,274,1,12.01,2.8,2015-07-11 10:00
中山,臺北市,31,,良好,3.4,0.76,22,49,14,22,4,275,1,39.68,17.21,2015-07-11 10:00
士林,臺北市,29,,良好,3.5,0.23,35,35,10,8,6.2,277,2,11.42,3.39,2015-07-11 10:00
淡水,新北市,36,,良好,2.8,0.18,34,40,14,5.2,,,1,6.42,1.23,2015-07-11 10:00
林口,新北市,36,,良好,3,0.21,36,45,17,7,7.7,257,2,9.95,2.93,2015-07-11 10:00
菜寮,新北市,28,,良好,3,0.31,27,34,5,,7.4,279,1,,,2015-07-11 10:00
新莊,新北市,29,,良好,2.6,0.28,34,29,18,6.2,9.5,255,2,7.86,1.65,2015-07-11 10:00
板橋,新北市,32,,良好,3.7,0.24,33,32,8,9.4,6.2,253,1,11.78,2.34,2015-07-11 10:00
土城,新北市,31,,良好,3.5,0.22,30,35,21,10,3.6,223,2,13.96,3.79,2015-07-11 10:00
新店,新北市,27,,良好,2.7,0.22,32,29,19,6.7,3.9,277,2,8.71,2.01,2015-07-11 10:00
萬里,新北市,38,,良好,3.3,0.17,40,57,21,4.3,7.1,236,2,5.78,1.49,2015-07-11 10:00
汐止,新北市,30,,良好,5.2,0.34,31,40,15,11,2.8,249,2,15.21,3.75,2015-07-11 10:00
基隆,基隆市,30,,良好,2.9,0.26,37,33,21,6.7,5.6,253,2,9.26,2.6,2015-07-11 10:00
三重,新北市,0,,,2.6,1.07,,40,5,24,,,,84.08,60.13,2015-07-11 07:00
