監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.063,2015-03-06 06:30
三芝,SHANGI,0.072,2015-03-06 06:25
石崩山,SHIHBENGSHAN,0.105,2015-03-06 06:30
茂林,MAOLIN,0.075,2015-03-06 06:30
金山,CHINSHAN,0.056,2015-03-06 05:10
野柳,YEHLIU,0.064,2015-03-06 05:10
大鵬,TAPERNG,0.072,2015-03-06 05:10
陽明山,YANGMINSHAN,0.066,2015-03-06 06:30
大坪,TAPING,0.067,2015-03-05 12:05
萬里,WANLI,0.081,2015-03-06 06:30
台北,TAIPEI,0.056,2015-03-06 05:25
宜蘭,ILAN,0.060,2015-03-06 06:25
龍潭,LUNGTAN,0.058,2015-03-06 06:25
台中,TAICHUNG,0.068,2015-03-06 06:25
台東,TAITUNG,0.052,2015-03-06 06:25
高雄,KAOHSIUNG,0.060,2015-03-06 06:30
恆春,HENGCHUN,0.068,2015-03-06 06:25
龍泉,LUNGCHUAN,0.052,2015-03-06 06:30
大光,TAKUANG,0.051,2015-03-06 06:25
墾丁,KENTING,0.052,2015-03-06 06:25
後壁湖,HOUBIHU,0.056,2015-03-06 06:25
澳底,AODI,0.052,2015-03-06 05:10
貢寮,GONGLIAO,0.052,2015-03-06 06:30
阿里山,ALISHAN,0.096,2015-03-06 06:30
金門,KINMEN,0.085,2015-03-06 06:30
蘭嶼,LANYU,0.039,2015-03-06 06:30
台南,TAINAN,0.061,2015-03-06 06:25
龍門,LUNGMEN,0.053,2015-03-06 06:30
雙溪,SHUANGSI,0.064,2015-03-06 06:30
三港,SANGANG,0.060,2015-03-06 06:25
新竹,HSINCHU,0.055,2015-03-06 06:30
花蓮,HUALINE,0.055,2015-03-06 06:30
澎湖,PENGHU,0.050,2015-03-06 06:30
馬祖,MATZU,0.050,2015-03-06 06:30
滿州,MANJHOU,0.051,2015-03-06 06:25
板橋,BANCIAO,0.075,2015-03-06 06:25
屏東市,PINGTONG,0.049,2015-03-06 06:25
基隆,KEELUNG,0.064,2015-03-06 06:25
頭城,TOUCHENG,0.050,2015-03-06 06:30
竹北,JHUBEI,0.050,2015-03-06 06:25
苗栗,MIAOLI,0.046,2015-03-06 06:25
南投,NANTOU,0.050,2015-03-06 06:25
彰化,CHANGHUA,0.064,2015-03-06 06:25
雲林,YUNLIN,0.055,2015-03-06 06:30
嘉義,CHIAYI,0.046,2015-03-06 06:25
