監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.059,2015-03-29 05:25
三芝,SHANGI,0.062,2015-03-29 05:20
石崩山,SHIHBENGSHAN,0.065,2015-03-29 05:25
茂林,MAOLIN,0.050,2015-03-29 05:25
金山,CHINSHAN,0.049,2015-03-29 05:25
野柳,YEHLIU,0.054,2015-03-29 05:25
大鵬,TAPERNG,0.064,2015-03-29 05:20
陽明山,YANGMINSHAN,0.061,2015-03-29 05:25
大坪,TAPING,0.066,2015-03-29 05:20
萬里,WANLI,0.075,2015-03-29 05:25
台北,TAIPEI,0.056,2015-03-29 05:20
宜蘭,ILAN,0.062,2015-03-29 05:20
龍潭,LUNGTAN,0.051,2015-03-29 05:25
台中,TAICHUNG,0.069,2015-03-29 05:20
台東,TAITUNG,0.053,2015-03-29 05:20
高雄,KAOHSIUNG,0.060,2015-03-29 05:25
恆春,HENGCHUN,0.071,2015-03-29 05:20
龍泉,LUNGCHUAN,0.061,2015-03-29 05:25
大光,TAKUANG,0.051,2015-03-29 05:20
墾丁,KENTING,0.056,2015-03-29 05:20
後壁湖,HOUBIHU,0.058,2015-03-29 05:20
澳底,AODI,0.051,2015-03-29 05:25
貢寮,GONGLIAO,0.054,2015-03-27 08:45
阿里山,ALISHAN,0.097,2015-03-29 05:25
金門,KINMEN,0.082,2015-03-29 05:25
蘭嶼,LANYU,0.042,2015-03-29 05:25
台南,TAINAN,0.063,2015-03-29 05:20
龍門,LUNGMEN,0.057,2015-03-29 05:25
雙溪,SHUANGSI,0.058,2015-03-29 05:25
三港,SANGANG,0.066,2015-03-29 05:20
新竹,HSINCHU,0.053,2015-03-29 05:25
花蓮,HUALINE,0.051,2015-03-29 05:25
澎湖,PENGHU,0.049,2015-03-29 05:25
馬祖,MATZU,0.053,2015-03-29 05:25
滿州,MANJHOU,0.050,2015-03-29 05:25
板橋,BANCIAO,0.073,2015-03-29 05:20
屏東市,PINGTONG,0.052,2015-03-29 05:20
基隆,KEELUNG,0.062,2015-03-29 05:20
頭城,TOUCHENG,0.050,2015-03-29 05:25
竹北,JHUBEI,0.048,2015-03-29 05:20
苗栗,MIAOLI,0.047,2015-03-29 05:20
南投,NANTOU,0.051,2015-03-29 05:20
彰化,CHANGHUA,0.066,2015-03-29 05:20
雲林,YUNLIN,0.055,2015-03-29 05:25
嘉義,CHIAYI,0.050,2015-03-29 05:20
