監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.062,2015-02-24 21:25
三芝,SHANGI,0.061,2015-02-24 21:20
石崩山,SHIHBENGSHAN,0.067,2015-02-24 21:25
茂林,MAOLIN,0.051,2015-02-24 21:25
金山,CHINSHAN,0.049,2015-02-24 21:25
野柳,YEHLIU,0.054,2015-02-24 21:25
大鵬,TAPERNG,0.071,2015-02-24 21:25
陽明山,YANGMINSHAN,0.062,2015-02-24 21:25
大坪,TAPING,0.067,2015-02-24 21:20
萬里,WANLI,0.074,2015-02-24 21:25
台北,TAIPEI,0.055,2015-02-24 21:20
宜蘭,ILAN,0.063,2015-02-24 21:20
龍潭,LUNGTAN,0.053,2015-02-24 21:25
台中,TAICHUNG,0.067,2015-02-24 21:20
台東,TAITUNG,0.055,2015-02-24 21:20
高雄,KAOHSIUNG,0.057,2015-02-24 21:25
恆春,HENGCHUN,0.069,2015-02-24 21:25
龍泉,LUNGCHUAN,0.062,2015-02-24 21:25
大光,TAKUANG,0.049,2015-02-24 21:20
墾丁,KENTING,0.052,2015-02-24 21:20
後壁湖,HOUBIHU,0.057,2015-02-24 21:25
澳底,AODI,0.052,2015-02-24 21:25
貢寮,GONGLIAO,0.053,2015-02-24 21:25
阿里山,ALISHAN,0.097,2015-02-24 21:25
金門,KINMEN,0.085,2015-02-24 21:25
蘭嶼,LANYU,0.041,2015-02-24 21:25
台南,TAINAN,0.058,2015-02-24 21:25
龍門,LUNGMEN,0.049,2015-02-24 21:25
雙溪,SHUANGSI,0.064,2015-02-24 21:25
三港,SANGANG,0.061,2015-02-24 21:25
新竹,HSINCHU,0.049,2015-02-24 21:25
花蓮,HUALINE,0.055,2015-02-24 21:25
澎湖,PENGHU,0.053,2015-02-24 21:25
馬祖,MATZU,0.052,2015-02-24 21:25
滿州,MANJHOU,0.053,2015-02-24 21:25
板橋,BANCIAO,0.069,2015-02-24 21:25
屏東市,PINGTONG,0.050,2015-02-24 21:20
基隆,KEELUNG,0.062,2015-02-24 21:20
頭城,TOUCHENG,0.051,2015-02-24 21:25
竹北,JHUBEI,0.051,2015-02-24 21:25
苗栗,MIAOLI,0.047,2015-02-24 21:25
南投,NANTOU,0.050,2015-02-24 21:20
彰化,CHANGHUA,0.062,2015-02-24 21:20
雲林,YUNLIN,0.055,2015-02-24 21:25
嘉義,CHIAYI,0.045,2015-02-24 21:20
