SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,48,,良好,2.2,0.24,46,69,32,4.1,3.3,280,3,2015-03-08 14:00
三重,新北市,25,,良好,2.7,1.35,,28,0,33,,,1,2015-03-08 14:00
三義,苗栗縣,42,,良好,1.7,0.3,51,46,30,7.4,2.6,42,2,2015-03-08 14:00
土城,新北市,30,,良好,3.2,0.56,36,37,32,19,3,301,2,2015-03-08 14:00
士林,臺北市,37,,良好,2.2,0.34,45,19,6,7.7,4.4,295,1,2015-03-08 14:00
大同,臺北市,32,,良好,2.2,0.89,,48,6,22,,,1,2015-03-08 14:00
大里,臺中市,43,,良好,8.2,0.58,42,50,43,20,3.3,305,3,2015-03-08 14:00
大園,桃園市,31,,良好,1.9,0.28,38,31,11,7.7,5.3,53,1,2015-03-08 14:00
大寮,高雄市,76,臭氧,普通,5.7,0.65,91,95,65,17,2.5,256,8,2015-03-08 14:00
小港,高雄市,84,懸浮微粒,普通,14,0.45,55,105,49,22,3,272,6,2015-03-08 14:00
中山,臺北市,32,,良好,2.9,0.88,26,51,8,30,2.7,299,1,2015-03-08 14:00
中壢,桃園市,49,,良好,2.2,0.71,28,61,19,20,1.2,6.1,2,2015-03-08 14:00
仁武,高雄市,78,懸浮微粒,普通,3.7,0.44,67,96,38,9.9,2.8,281,5,2015-03-08 14:00
斗六,雲林縣,53,懸浮微粒,普通,1.9,0.32,48,72,31,9.3,3.1,296,3,2015-03-08 14:00
冬山,宜蘭縣,38,,良好,2.3,0.33,46,17,12,8.7,1.5,266,1,2015-03-08 14:00
古亭,臺北市,25,,良好,3.1,0.61,30,25,10,21,2.9,311,1,2015-03-08 14:00
左營,高雄市,64,懸浮微粒,普通,2,0.33,65,66,37,6.3,3.7,298,5,2015-03-08 14:00
平鎮,桃園市,32,,良好,2.6,0.37,34,36,25,12,3,307,2,2015-03-08 14:00
永和,新北市,20,,良好,5.2,1.41,23,34,14,34,1.9,265,1,2015-03-08 14:00
安南,臺南市,56,懸浮微粒,普通,-0.5,0.28,56,53,19,4.4,3.8,321,3,2015-03-08 14:00
朴子,嘉義縣,62,懸浮微粒,普通,2.3,0.26,52,83,21,6.3,3.4,296,3,2015-03-08 14:00
汐止,新北市,27,,良好,14,0.37,33,23,18,13,1.2,82,2,2015-03-08 14:00
竹山,南投縣,68,懸浮微粒,普通,1.7,0.32,56,89,53,8.5,3.9,301,6,2015-03-08 14:00
竹東,新竹縣,35,,良好,2.5,0.45,33,48,30,18,1.7,292,2,2015-03-08 14:00
西屯,臺中市,52,懸浮微粒,普通,,0.28,43,73,28,10,4.7,303,2,2015-03-08 14:00
沙鹿,臺中市,44,,良好,1.5,0.27,42,56,16,8.6,4.4,349,2,2015-03-08 14:00
宜蘭,宜蘭縣,37,,良好,1.3,0.43,44,29,9,8.2,1.5,89,1,2015-03-08 14:00
忠明,臺中市,46,,良好,3.9,0.3,42,59,38,11,3.7,313,3,2015-03-08 14:00
松山,臺北市,33,,良好,3.3,0.48,39,23,8,15,3,276,1,2015-03-08 14:00
板橋,新北市,29,,良好,3.6,0.52,34,34,18,18,4.4,295,2,2015-03-08 14:00
林口,新北市,37,,良好,1.2,0.28,45,34,22,5.9,2.2,270,2,2015-03-08 14:00
林園,高雄市,56,懸浮微粒,普通,4.5,0.4,66,39,25,12,3.9,286,6,2015-03-08 14:00
花蓮,花蓮縣,44,,良好,2.5,0.25,52,4,4,3.8,3.1,125,1,2015-03-08 14:00
金門,金門縣,50,,良好,6.3,0.39,37,70,38,16,1.7,27,3,2015-03-08 14:00
前金,高雄市,75,懸浮微粒,普通,2.8,0.41,67,91,43,7.8,3.4,314,6,2015-03-08 14:00
前鎮,高雄市,65,懸浮微粒,普通,4.7,0.45,55,77,38,16,3,284,6,2015-03-08 14:00
南投,南投縣,64,懸浮微粒,普通,3.8,0.52,49,88,44,12,4.2,293,5,2015-03-08 14:00
屏東,屏東縣,85,臭氧,普通,5,0.61,102,126,63,17,1.9,284,7,2015-03-08 14:00
恆春,屏東縣,59,臭氧,普通,2.4,0.39,71,37,39,3.9,3.1,235,1,2015-03-08 14:00
美濃,高雄市,73,臭氧,普通,2.5,0.5,88,76,43,9.3,2.2,246,4,2015-03-08 14:00
苗栗,苗栗縣,49,,良好,1.8,0.38,43,64,37,10,2.8,310,3,2015-03-08 14:00
埔里,南投縣,66,臭氧,普通,1.4,0.46,79,62,49,10,5.4,284,7,2015-03-08 14:00
桃園,桃園市,28,,良好,,0.49,34,33,16,16,1.2,270,1,2015-03-08 14:00
馬公,澎湖縣,38,,良好,1.5,0.25,45,37,19,4.9,3.7,34,2,2015-03-08 14:00
馬祖,連江縣,32,,良好,2.3,0.56,31,28,17,10,2,34,2,2015-03-08 14:00
基隆,基隆市,24,,良好,8.8,0.32,29,20,13,18,0.9,305,2,2015-03-08 14:00
崙背,雲林縣,52,懸浮微粒,普通,1.1,0.23,44,79,23,,3.1,310,3,2015-03-08 14:00
淡水,新北市,30,,良好,2.1,0.37,36,24,5,9,,,1,2015-03-08 14:00
麥寮,雲林縣,62,懸浮微粒,普通,1.2,0.23,50,66,23,4.5,3.4,240,3,2015-03-08 14:00
善化,臺南市,54,懸浮微粒,普通,1.7,0.28,59,55,31,5.5,3.1,320,4,2015-03-08 14:00
復興,高雄市,68,懸浮微粒,普通,5.9,0.63,55,72,46,,0.9,281,8,2015-03-08 14:00
湖口,新竹縣,36,,良好,2.2,0.27,43,33,20,4.5,4.5,53,2,2015-03-08 14:00
菜寮,新北市,24,,良好,1.8,0.41,29,24,18,13,2.7,266,1,2015-03-08 14:00
陽明,臺北市,32,,良好,2.1,0.32,38,14,11,5.5,,,1,2015-03-08 14:00
新竹,新竹市,38,,良好,1.6,0.33,42,42,27,8.3,1.1,216,3,2015-03-08 14:00
新店,新北市,31,,良好,3.4,0.63,38,33,24,23,2.5,294,2,2015-03-08 14:00
新莊,新北市,26,,良好,2.8,0.54,31,18,18,18,4.6,323,1,2015-03-08 14:00
新港,嘉義縣,58,懸浮微粒,普通,1.6,0.28,50,90,28,5.2,4.5,293,3,2015-03-08 14:00
新營,臺南市,60,懸浮微粒,普通,1.6,0.29,53,82,44,8.1,4,322,4,2015-03-08 14:00
楠梓,高雄市,81,懸浮微粒,普通,5.1,0.43,66,108,35,13,3.8,290,5,2015-03-08 14:00
萬里,新北市,35,,良好,2.2,0.31,42,26,5,7.5,3.5,308,1,2015-03-08 14:00
萬華,臺北市,28,,良好,3.2,0.56,34,18,4,19,3,282,1,2015-03-08 14:00
嘉義,嘉義市,58,懸浮微粒,普通,1.7,0.33,52,80,42,,3.4,304,4,2015-03-08 14:00
彰化,彰化縣,43,,良好,3.7,0.4,39,63,23,12,2.7,309,2,2015-03-08 14:00
臺西,雲林縣,48,,良好,9.2,0.25,32,46,24,23,6.5,329,2,2015-03-08 14:00
臺東,臺東縣,39,,良好,1.3,0.3,47,11,0,3.4,2,122,1,2015-03-08 14:00
臺南,臺南市,56,懸浮微粒,普通,1.7,0.37,56,50,28,8.8,2.9,322,3,2015-03-08 14:00
鳳山,高雄市,84,懸浮微粒,普通,5,0.62,73,121,50,15,2.2,302,6,2015-03-08 14:00
潮州,屏東縣,87,臭氧,普通,14,0.93,104,173,73,23,3.5,251,7,2015-03-08 14:00
線西,彰化縣,50,,良好,1.6,0.27,46,72,24,4.5,5.3,57,2,2015-03-08 14:00
橋頭,高雄市,63,懸浮微粒,普通,5.6,0.41,65,59,33,13,3.7,277,5,2015-03-08 14:00
頭份,苗栗縣,40,,良好,1.7,0.3,47,40,24,5.3,4,272,3,2015-03-08 14:00
龍潭,桃園市,43,,良好,2.3,0.55,34,51,21,16,3,310,2,2015-03-08 14:00
豐原,臺中市,41,,良好,3.9,0.34,48,58,16,12,2.7,314,2,2015-03-08 14:00
關山,臺東縣,33,,良好,1.2,,39,27,3,6.7,3.6,196,1,2015-03-08 14:00
觀音,桃園市,37,,良好,1.3,0.31,42,30,7,5.1,4.6,185,1,2015-03-08 14:00
