SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,45,,良好,3.7,0.31,35,43,15,7.6,3.7,42,2,2015-03-08 09:00
三重,新北市,31,,良好,13,1.07,,35,4,28,,,1,2015-03-08 09:00
三義,苗栗縣,25,,良好,1,0.25,27,23,5,4.3,2.7,38,1,2015-03-08 09:00
土城,新北市,29,,良好,2.1,0.47,34,17,17,13,1.9,306,2,2015-03-08 09:00
士林,臺北市,31,,良好,2.4,0.42,36,31,9,11,2.7,102,1,2015-03-08 09:00
大同,臺北市,29,,良好,14,0.88,,29,1,32,,,1,2015-03-08 09:00
大里,臺中市,33,,良好,4.5,0.7,9,26,29,21,1,262,3,2015-03-08 09:00
大園,桃園市,30,,良好,1.7,0.25,36,24,5,7.9,4.3,48,1,2015-03-08 09:00
大寮,高雄市,66,懸浮微粒,普通,9.5,0.76,14,86,48,28,1.3,301,5,2015-03-08 09:00
小港,高雄市,74,懸浮微粒,普通,7.7,1.28,7.6,104,60,41,1.4,314,5,2015-03-08 09:00
中山,臺北市,30,,良好,13,0.45,26,17,3,21,3,109,1,2015-03-08 09:00
中壢,桃園市,36,,良好,3.6,1.49,9,52,19,32,0.6,332,1,2015-03-08 09:00
仁武,高雄市,69,懸浮微粒,普通,6.4,0.82,12,93,42,27,1.8,318,4,2015-03-08 09:00
斗六,雲林縣,50,,良好,3.7,0.53,13,60,37,22,1.1,77,3,2015-03-08 09:00
冬山,宜蘭縣,9,,良好,2.2,0.33,11,5,0,8.1,0.9,317,1,2015-03-08 09:00
古亭,臺北市,25,,良好,4.1,0.41,26,35,8,17,3.3,67,1,2015-03-08 09:00
左營,高雄市,62,懸浮微粒,普通,8.2,0.9,9.6,74,48,28,1.7,29,4,2015-03-08 09:00
平鎮,桃園市,26,,良好,3.3,0.63,21,28,11,19,0.5,271,2,2015-03-08 09:00
永和,新北市,26,,良好,5,0.58,31,20,12,15,3,75,1,2015-03-08 09:00
安南,臺南市,56,懸浮微粒,普通,4,0.64,16,59,32,17,2.7,356,3,2015-03-08 09:00
朴子,嘉義縣,51,懸浮微粒,普通,3.4,0.34,28,49,26,10,2.4,328,3,2015-03-08 09:00
汐止,新北市,23,,良好,3.9,0.37,28,20,13,15,1.9,53,2,2015-03-08 09:00
竹山,南投縣,60,懸浮微粒,普通,1.7,0.6,10,68,44,20,1.4,296,5,2015-03-08 09:00
竹東,新竹縣,32,,良好,1.8,0.39,20,38,20,11,0.8,250,2,2015-03-08 09:00
西屯,臺中市,41,,良好,4,0.39,20,37,16,12,2.3,29,2,2015-03-08 09:00
沙鹿,臺中市,35,,良好,1.4,0.32,33,29,12,10,3.3,352,2,2015-03-08 09:00
宜蘭,宜蘭縣,23,,良好,0.9,0.49,27,20,9,9.2,0.5,155,1,2015-03-08 09:00
忠明,臺中市,32,,良好,4.4,0.57,8.1,31,21,18,0.6,247,2,2015-03-08 09:00
松山,臺北市,24,,良好,2.8,0.42,29,12,6,18,1.8,69,1,2015-03-08 09:00
板橋,新北市,24,,良好,4.1,0.45,29,24,13,17,2.2,78,1,2015-03-08 09:00
林口,新北市,32,,良好,5.9,0.32,38,17,10,11,2.7,88,2,2015-03-08 09:00
林園,高雄市,55,懸浮微粒,普通,9.3,0.64,18,64,52,24,1.1,113,5,2015-03-08 09:00
花蓮,花蓮縣,22,,良好,2,0.32,27,12,4,7,1.4,225,1,2015-03-08 09:00
金門,金門縣,47,,良好,5.9,0.41,27,48,26,12,1.8,60,3,2015-03-08 09:00
前金,高雄市,72,懸浮微粒,普通,7,0.94,9.5,90,47,30,1.9,329,5,2015-03-08 09:00
前鎮,高雄市,62,懸浮微粒,普通,6,1.07,8.3,77,50,32,1.1,303,6,2015-03-08 09:00
南投,南投縣,56,懸浮微粒,普通,2.8,0.67,11,62,37,20,1.3,19,3,2015-03-08 09:00
屏東,屏東縣,65,懸浮微粒,普通,2.7,0.62,25,92,46,14,0.9,127,4,2015-03-08 09:00
恆春,屏東縣,37,,良好,0.8,0.2,45,16,7,,8.2,38,1,2015-03-08 09:00
美濃,高雄市,60,懸浮微粒,普通,2.6,0.52,16,75,29,11,1.7,207,3,2015-03-08 09:00
苗栗,苗栗縣,36,,良好,1.1,0.37,22,34,16,11,1.8,76,2,2015-03-08 09:00
埔里,南投縣,58,懸浮微粒,普通,2.6,0.75,13,70,65,16,0.8,142,7,2015-03-08 09:00
桃園,桃園市,28,,良好,,0.43,33,13,6,12,1.1,77,1,2015-03-08 09:00
馬公,澎湖縣,34,,良好,1.5,0.23,41,29,19,3.2,3.1,177,2,2015-03-08 09:00
馬祖,連江縣,34,,良好,2.2,0.27,41,33,17,5,2.9,97,2,2015-03-08 09:00
基隆,基隆市,13,,良好,1.9,1.01,7.7,17,16,33,0.4,118,1,2015-03-08 09:00
崙背,雲林縣,43,,良好,2.2,0.28,30,39,22,8.1,3,310,3,2015-03-08 09:00
淡水,新北市,18,,良好,4.5,0.44,19,24,5,18,,,1,2015-03-08 09:00
麥寮,雲林縣,56,懸浮微粒,普通,5.6,0.54,29,61,32,12,3.5,30,3,2015-03-08 09:00
善化,臺南市,52,懸浮微粒,普通,7.4,0.68,10,53,38,20,2.4,351,3,2015-03-08 09:00
復興,高雄市,66,懸浮微粒,普通,5.6,1.48,4.5,89,80,39,1.5,106,8,2015-03-08 09:00
湖口,新竹縣,30,,良好,2.8,0.34,30,29,3,11,1.9,49,1,2015-03-08 09:00
菜寮,新北市,21,,良好,13,0.41,26,16,10,15,3.6,88,1,2015-03-08 09:00
陽明,臺北市,35,,良好,1.8,0.21,42,8,7,1,,,1,2015-03-08 09:00
新竹,新竹市,29,,良好,3.9,0.51,9.5,33,25,24,1.5,81,3,2015-03-08 09:00
新店,新北市,24,,良好,1.5,0.42,29,12,12,12,1.3,33,1,2015-03-08 09:00
新莊,新北市,25,,良好,5.6,0.41,30,20,8,15,3.2,82,2,2015-03-08 09:00
新港,嘉義縣,52,懸浮微粒,普通,2.6,0.34,23,53,23,11,1.8,359,2,2015-03-08 09:00
新營,臺南市,57,懸浮微粒,普通,4.6,0.51,12,66,27,19,1.5,343,3,2015-03-08 09:00
