監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.057,2015-01-07 19:35
三芝,SHANGI,0.065,2015-01-07 19:30
石崩山,SHIHBENGSHAN,0.065,2015-01-07 19:35
茂林,MAOLIN,0.051,2015-01-07 19:35
金山,CHINSHAN,0.050,2015-01-07 19:35
野柳,YEHLIU,0.057,2015-01-07 19:35
大鵬,TAPERNG,0.066,2015-01-07 19:30
陽明山,YANGMINSHAN,0.062,2015-01-07 19:35
大坪,TAPING,0.066,2015-01-07 19:30
萬里,WANLI,0.074,2015-01-07 19:35
台北,TAIPEI,0.058,2015-01-07 19:30
宜蘭,ILAN,0.061,2015-01-07 19:30
龍潭,LUNGTAN,0.053,2015-01-07 19:35
台中,TAICHUNG,0.069,2015-01-07 19:30
台東,TAITUNG,0.059,2015-01-07 19:30
高雄,KAOHSIUNG,0.064,2015-01-07 19:35
恆春,HENGCHUN,0.070,2015-01-07 19:35
龍泉,LUNGCHUAN,0.063,2015-01-07 19:35
大光,TAKUANG,0.051,2015-01-07 19:30
墾丁,KENTING,0.053,2015-01-07 19:30
後壁湖,HOUBIHU,0.058,2015-01-07 19:35
澳底,AODI,0.057,2015-01-07 19:35
貢寮,GONGLIAO,0.056,2015-01-07 19:35
阿里山,ALISHAN,0.104,2015-01-07 19:35
金門,KINMEN,0.080,2015-01-07 19:35
蘭嶼,LANYU,0.055,2015-01-07 19:35
台南,TAINAN,0.062,2015-01-07 19:30
龍門,LUNGMEN,0.057,2015-01-07 19:35
雙溪,SHUANGSI,0.062,2015-01-07 19:35
三港,SANGANG,0.063,2015-01-07 19:30
新竹,HSINCHU,0.048,2015-01-07 19:35
花蓮,HUALINE,0.051,2015-01-07 19:35
澎湖,PENGHU,0.055,2015-01-07 19:35
馬祖,MATZU,0.054,2015-01-07 19:35
滿州,MANJHOU,0.050,2015-01-07 19:35
板橋,BANCIAO,0.071,2015-01-07 19:30
屏東市,PINGTONG,0.048,2015-01-07 19:30
基隆,KEELUNG,0.054,2015-01-07 19:30
頭城,TOUCHENG,0.054,2015-01-07 19:35
竹北,JHUBEI,0.049,2015-01-07 19:30
苗栗,MIAOLI,0.047,2015-01-07 19:30
南投,NANTOU,0.048,2015-01-07 19:30
彰化,CHANGHUA,0.065,2015-01-07 19:30
雲林,YUNLIN,0.054,2015-01-07 19:35
嘉義,CHIAYI,0.050,2015-01-07 19:30
