"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"1","00263609","德記通運股份有限公司","高雄市小港區平治街68號","陳芳美","15000000","1041028"
"2","00291479","華新行實業股份有限公司","基隆市中正區港通里義一路210號2樓","黃大銘","25000000","1041006"
"3","00330403","華隆企業股份有限公司","基隆市仁愛區孝二路39號5樓之19、20","謝日揚","1000000","1041013"
"4","00410308","台昇電業有限公司","基隆市仁愛區忠二路二號","倪崇杰","5000000","1041029"
"5","00730294","金鍛工業股份有限公司","新北市萬里區崁腳里內中福4號之4","邱奕鈞","666751140","1041006"
"6","00806272","瑞科實業股份有限公司","基隆市中正區義一路87號3樓之1","陳建宏","7500000","1041007"
"7","00820605","宇鑫機械工程有限公司","桃園市中壢區環西路二段352之15號8樓","李讚生","10000000","1041014"
"8","00834805","慶億交通企業有限公司","基隆市信義區崇法街135巷5弄3號2樓","許進輝","10000000","1041023"
"9","00852373","慶豐報關股份有限公司","基隆市仁愛區忠三路99號4樓之2","劉茂盛","1700000","1041019"
"10","01071832","怡程股份有限公司","臺北市中山區吉林路24號7樓之2","程春國","180000000","1041015"
"11","01075324","威京開發投資股份有限公司","臺北市松山區東興路12號5樓","阮聖元","516600000","1041007"
"12","01181612","大山銀樓寶石股份有限公司","臺北市中山區南京東路3段89巷3弄17號","黃信誠","5000000","1041026"
"13","01181866","維恩實業股份有限公司","桃園市龍潭區高平里高楊南路320巷12弄1號","徐福隆","42000000","1041012"
"14","01184603","統一大飯店股份有限公司","臺北市中山區農安街36號","宋清秀","37000000","1041019"
"15","01187025","優仕咖啡股份有限公司","臺北市內湖區瑞光路26巷36弄6號2樓","上島達司","23500000","1041020"
"16","01189939","德慕卡斯股份有限公司","臺北市中山區南京東路2段62號7樓","謝錦淑","8000000","1041006"
"17","01193672","全紘實業股份有限公司","臺北市大安區復興南路1段103號12樓之3","邱明輝","7100000","1041015"
"18","01406366","第一化成股份有限公司","新北市板橋區信義路26巷10號","蔡文信","5000000","1041026"
"19","01411494","建春行電器有限公司","臺北市萬華區西園路2段75號1樓","黃錦雲","10000000","1041021"
"20","01456219","中央存款保險股份有限公司","臺北市中正區龍福里南海路3號11樓","桂先農","10000000000","1041012"
"21","01515651","好來化工股份有限公司","臺北市松山區敦化南路1段2號9樓","李宏騫","30300000","1041014"
"22","01520084","鎧文企業有限公司","臺北市中山區建國北路2段3巷15號4樓之1","孟憲鎧","33000000","1041013"
"23","01814784","士東企業有限公司","臺北市士林區文昌路262號","莊金城","15000000","1041019"
"24","01877302","興祥皮革製品有限公司","新北市板橋區成功路二七號一樓","","3000000","1041005"
"25","01887792","新榮緯股份有限公司","新北市鶯歌區中正三路335巷38號","陳柏瑞","91000000","1041005"
"26","01892991","華盛螺絲股份有限公司","高雄市岡山區成功路460巷37號","黃良民","55000000","1041008"
"27","01981234","竑佑特殊鋼股份有限公司","新北市樹林區武林街2之2號","謝國雄","20000000","1041021"
"28","01990509","暉毅預力器材股份有限公司","新北市三重區環河北路2段330號11樓","黃景成","56329000","1041006"
"29","01991177","勳鉅金屬有限公司","新北市五股區更洲路32巷8弄臨30號","詹月春","10000000","1041006"
"30","02087452","赤山企業有限公司","新北市三重區中正北路315巷16弄25號","魏裕國","1000000","1041015"
"31","02628393","生揚企業有限公司","桃園市八德區建國路652巷1-1號","林炎照","10000000","1041014"
"32","02631159","光昇實業股份有限公司","新北市鶯歌區大湖路452號","蔡春三","66000000","1041020"
"33","02634682","超秦企業股份有限公司","桃園市桃園區永安路1063號","卓元裕","262200000","1041002"
"34","02660323","博絲實業股份有限公司","臺北市中山區建國北路1段90號10樓之1","黃俊豪","1000000","1041001"
"35","02846460","漢仕企業有限公司","新竹市東園里八德路19巷36號","黃漢欽","25000000","1041020"
"36","03017906","三光儀器股份有限公司","臺北市中正區忠孝東路1段112號6樓","黃明豪","29990000","1041006"
"37","03027931","三益實業股份有限公司","臺北市中正區臨沂街3巷1號1樓","林鼎盛","12000000","1041001"
"38","03036501","三泰化工原料股份有限公司","臺北市中正區延平南路82號1樓","曾美女","44160000","1041027"
"39","03049512","三德企業股份有限公司","臺北市中正區延平南路82號","曾王錦蓮","7200000","1041029"
"40","03064421","中央投資股份有限公司","臺北市中山區八德路2段232號6樓","陳樹","11000000000","1041013"
"41","03076307","五洲建築股份有限公司","桃園市龜山區新路里豐美街1號3樓","謝明衡","30000000","1041008"
"42","03077208","中國信託商業銀行股份有限公司","臺北市南港區經貿二路166、168、170、186、188號","童兆勤","105205779050","1041026"
"43","03150615","永鐘電機有限公司","臺中市豐原區中陽里向陽路286號","劉秋男","5000000","1041015"
"44","03181504","江發貿易股份有限公司","臺北市中正區襄陽路6號8樓","曹剛","28000000","1041006"
"45","03245303","長春圖書文具股份有限公司","臺北市中正區重慶南路1段121號6樓之24","金傅蕙風","8000000","1041020"
"46","03304914","美商美國紐約梅隆銀行股份有限公司","臺北市大安區建倫里敦化南路1段245號4樓","陳淑娟","200000000","1041016"
"47","03312816","茂源企業股份有限公司","臺北市中山區民權西路79號5樓之3","許秀環","5000000","1041005"
"48","03319108","恆新股份有限公司","臺北市中山區松江路72號11樓","張德如","160000000","1041016"
"49","03324806","恆誼化工股份有限公司","苗栗縣頭份市自強路忠孝巷8號4樓之4","何基兆","398000000","1041027"
"50","03354202","聯億貿易股份有限公司","臺北市中正區延平南路82號2樓","曾茂正","27516000","1041030"
"51","03358805","保誠人壽保險股份有限公司","臺北市信義區松智路1號8樓","關國威 Kuan Kok Wai","10732362570","1041012"
"52","03415714","順益貿易股份有限公司","臺北市中山區民權東路2段150號","林純姬","150000000","1041026"
"53","03449806","博大汽車股份有限公司","臺北市中山區南京東路1段120號5樓之3","陳美惠","44500000","1041020"
"54","03522708","遠東圖書股份有限公司","臺北市中正區重慶南路1段66之1號10樓之1","浦永珍","20000000","1041020"
"55","03529603","銘泰股份有限公司","臺北市大安區大安路1段101巷10號3樓","曲張蘭","100000000","1041026"
"56","03557017","臺灣人壽保險股份有限公司","臺北市中山區中山北路二段42號","許舒博","10262307060","1041002"
"57","03563708","台灣英文雜誌社股份有限公司","臺北市萬華區長沙街2段66號","陳嘉男","96000000","1041016"
"58","03571138","黎明文化事業股份有限公司","臺北市中正區重慶南路1段49號3樓","吳應平","150000000","1041015"
"59","03584817","雍興實業股份有限公司","臺北市中山區吉林路100號7樓","呂丹虹","30000000","1041015"
"60","03700301","臺灣土地銀行股份有限公司","臺北市中正區黎明里10鄰館前路46號","吳當傑","50000000000","1041019"
"61","03701104","台灣土地開發股份有限公司","臺北市中正區衡陽路51號14樓之1","邱復生","7258813250","1041020"
"62","03794905","台灣糖業股份有限公司","臺南市東區生產路68號","陳昭義","56367498650","1041030"
"63","04200276","安興產業股份有限公司","臺北市中正區忠孝西路1段33號7樓","梁中文","3000000","1041019"
"64","04211365","健益汽車工業股份有限公司","桃園市新屋區梅高路3段169號","游浩乙","160000000","1041023"
