"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00772532","紹彭機械股份有限公司","臺北市中山區錦州街433號4樓","","10500000","0621018","1040901"
"2","01076610","清泉投資股份有限公司","臺北市中正區懷寧街78號5樓","","70000000","0741226","1040930"
"3","01519832","經典傳播有限公司","臺北市大安區樂業街31號2樓之2","","1200000","0741217","1040909"
"4","02048016","碇安煤氣有限公司","基隆市暖暖區源遠路190號","","2000000","0600531","1040922"
"5","03493703","裕臺企業股份有限公司","","","0","0400420","1040910"
"6","04412031","昌昱股份有限公司","新北市新店區北新路1段89號11樓之2","","8000000","0630424","1040918"
"7","04443180","裕益電機有限公司","臺北市大同區萬全街37號1樓","","2000000","0620602","1040921"
"8","04485097","力禾廣告裝潢有限公司","臺北市中山區吉林路461巷16號1樓","","1600000","0671220","1040910"
"9","04683723","裕豐液化石油氣有限公司","臺北市信義區北寧路24號1樓","","3000000","0620413","1040915"
"10","04754070","高捷國際有限公司","臺北市大安區市民大道4段102號6樓","","5000000","0650524","1040901"
"11","04881857","新仲記食品有限公司","臺北市文山區興隆路2段199號","","500000","0680519","1040910"
"12","04885777","鵬祺貿易有限公司","臺北市文山區景興路195號9樓之13","","5000000","0681224","1040911"
"13","04900475","盛新印刷事業有限公司","臺北市文山區興隆路2段25巷20之7號1樓","","5000000","0700926","1040911"
"14","05086667","道淵投資股份有限公司","臺北市中正區南陽街54號","","5800000","0700316","1040918"
"15","05101870","捷帥企業有限公司","臺北市文山區新光路1段20號2樓","","5000000","0701118","1040925"
"16","05105165","村貿實業股份有限公司","臺北市中正區衡陽路10號11樓","","5000000","0701215","1040925"
"17","05130523","崇彬廣告股份有限公司","臺北市中正區懷寧街78號5樓501室","","1000000","0720504","1040925"
"18","06785289","漢業廣告股份有限公司","高雄市苓雅區四維二路146號14樓之1","","10000000","0741126","1040923"
"19","09477455","峻毅企業有限公司","臺中市外埔區山美路451巷198號","","5000000","0740510","1040907"
"20","12141434","滙峯水電工程有限公司","新北市三重區中山路四一號五Ｆ","","2000000","","1040910"
"21","12292798","良羽有限公司","臺北市中山區松江路37巷15號1樓","","3000000","0690825","1040908"
