SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,70,懸浮微粒,普通,2,0.23,51,73,19,3.3,4,295,3,4.32,.98,2015-11-22 17:00
關山,臺東縣,22,,良好,1.3,,26,18,8,2.1,0.9,27,1,3.55,1.5,2015-11-22 17:00
馬公,澎湖縣,40,,良好,2.2,0.24,48,13,,1.8,5.3,97,,3.06,1.25,2015-11-22 17:00
金門,金門縣,53,懸浮微粒,普通,2,0.29,51,40,12,6.4,3.4,72,2,7.62,1.2,2015-11-22 17:00
馬祖,連江縣,41,,良好,2.1,0.26,49,22,13,5.3,2.6,80,2,7.36,2.02,2015-11-22 17:00
埔里,南投縣,67,臭氧,普通,0.4,0.42,81,27,17,9.8,3,282,1,10.48,.72,2015-11-22 17:00
復興,高雄市,49,,良好,3.3,0.5,52,45,18,12,1.1,252,3,13.26,1.08,2015-11-22 17:00
永和,新北市,29,,良好,1.2,0.44,35,17,4,9,2.9,90,1,13.04,4.03,2015-11-22 17:00
竹山,南投縣,57,臭氧,普通,5.7,0.49,69,98,46,15,1.3,278,3,21.02,5.81,2015-11-22 17:00
中壢,桃園市,40,,良好,3.2,1.13,21,40,5,24,1.5,239,1,46.79,22.75,2015-11-22 17:00
三重,新北市,44,,良好,3.2,1.88,,46,5,35,,,1,90.64,55.17,2015-11-22 17:00
冬山,宜蘭縣,33,,良好,1.5,0.34,25,22,12,17,1.4,227,1,22.85,5.72,2015-11-22 17:00
宜蘭,宜蘭縣,33,,良好,1.4,0.24,36,32,5,5.9,0.9,267,1,6.54,.68,2015-11-22 17:00
陽明,臺北市,33,,良好,5.3,0.18,40,18,14,5.1,,,1,7.1,2.02,2015-11-22 17:00
花蓮,花蓮縣,29,,良好,0.2,0.29,35,12,6,6.8,1.6,309,1,8.32,1.57,2015-11-22 17:00
臺東,臺東縣,25,,良好,3.5,0.36,30,6,2,7.4,1.8,60,1,9.46,2.04,2015-11-22 17:00
恆春,屏東縣,36,,良好,0.9,0.12,43,20,5,0.2,5.8,45,1,1.77,1.55,2015-11-22 17:00
潮州,屏東縣,77,臭氧,普通,4.3,0.43,92,62,43,11,1.3,217,2,10.94,.42,2015-11-22 17:00
屏東,屏東縣,48,,良好,4,0.39,57,34,20,13,2,292,2,13.74,1.18,2015-11-22 17:00
小港,高雄市,42,,良好,0.9,0.36,50,40,21,15,2,307,3,16.58,1.44,2015-11-22 17:00
前鎮,高雄市,49,,良好,1.9,0.38,58,43,9,9,2.7,306,2,10.03,1.01,2015-11-22 17:00
前金,高雄市,52,懸浮微粒,普通,1.9,0.35,61,39,9,6.4,3.1,303,2,7.94,1.53,2015-11-22 17:00
左營,高雄市,54,臭氧,普通,0.9,0.23,65,44,20,6.9,2.8,312,2,8.02,1.09,2015-11-22 17:00
楠梓,高雄市,52,懸浮微粒,普通,2.3,0.34,54,53,9,12,2.7,298,2,13.62,1.56,2015-11-22 17:00
林園,高雄市,50,,良好,2.5,0.26,59,22,25,8.5,2.2,282,3,8.97,.43,2015-11-22 17:00
大寮,高雄市,48,,良好,2.8,0.43,58,51,24,12,1.7,257,3,12.65,1.07,2015-11-22 17:00
鳳山,高雄市,58,懸浮微粒,普通,2.8,0.46,58,68,18,12,2.1,296,2,13.37,1.49,2015-11-22 17:00
仁武,高雄市,49,,良好,1.5,0.34,39,42,10,23,2,314,2,25.05,2.43,2015-11-22 17:00
橋頭,高雄市,52,懸浮微粒,普通,2.9,0.39,51,51,11,10,2.6,305,2,11.82,1.69,2015-11-22 17:00
美濃,高雄市,52,臭氧,普通,1.8,0.36,63,42,33,9.1,1.5,293,2,10.65,1.55,2015-11-22 17:00
臺南,臺南市,54,臭氧,普通,2.6,0.47,65,57,16,14,2.9,302,2,15.17,1.05,2015-11-22 17:00
安南,臺南市,59,臭氧,普通,2.2,,71,54,11,,2.6,313,2,,,2015-11-22 17:00
善化,臺南市,63,臭氧,普通,3,0.31,75,60,30,7.4,2.2,309,3,7.58,.18,2015-11-22 17:00
新營,臺南市,66,懸浮微粒,普通,6,0.48,69,94,44,15,2.6,7.8,3,15.92,.93,2015-11-22 17:00
嘉義,嘉義市,50,,良好,6.4,0.54,58,81,43,16,3.9,316,3,18.78,2.44,2015-11-22 17:00
臺西,雲林縣,45,,良好,4.1,0.21,52,38,16,6.8,6.6,80,3,8.27,1.48,2015-11-22 17:00
朴子,嘉義縣,64,懸浮微粒,普通,4.2,0.31,55,74,29,11,2.7,336,3,13.19,2.1,2015-11-22 17:00
新港,嘉義縣,65,懸浮微粒,普通,3.9,0.36,55,83,35,9.1,2.8,303,3,10.36,1.28,2015-11-22 17:00
崙背,雲林縣,54,懸浮微粒,普通,2.9,0.31,46,40,40,7.6,3.1,74,5,8.75,1.2,2015-11-22 17:00
斗六,雲林縣,54,懸浮微粒,普通,8,0.6,55,101,63,17,2.1,335,3,19.24,2.69,2015-11-22 17:00
南投,南投縣,56,臭氧,普通,3.1,0.52,67,71,32,14,1.3,298,2,16.73,3.08,2015-11-22 17:00
二林,彰化縣,59,懸浮微粒,普通,3.9,0.24,56,60,34,6,3.6,112,4,7.86,1.85,2015-11-22 17:00
線西,彰化縣,53,懸浮微粒,普通,4.2,0.25,45,55,15,10,4.8,46,3,11.43,.95,2015-11-22 17:00
彰化,彰化縣,44,,良好,3.9,0.39,47,48,26,20,3.1,310,2,20.7,.6,2015-11-22 17:00
西屯,臺中市,47,,良好,2.7,0.37,57,58,30,11,2.1,306,2,12.18,1.14,2015-11-22 17:00
忠明,臺中市,43,,良好,1.7,0.36,52,58,21,14,2.6,295,2,15.64,1.96,2015-11-22 17:00
大里,臺中市,45,,良好,2.2,0.43,54,57,23,17,2.7,307,2,18.09,1.35,2015-11-22 17:00
沙鹿,臺中市,58,懸浮微粒,普通,2.3,0.36,45,83,31,14,3.4,320,3,14.56,1.04,2015-11-22 17:00
豐原,臺中市,42,,良好,3.8,0.38,50,39,23,13,2,311,2,13.78,.89,2015-11-22 17:00
三義,苗栗縣,41,,良好,3,0.43,48,62,30,12,2.5,37,2,12.99,.6,2015-11-22 17:00
苗栗,苗栗縣,49,,良好,3.9,0.41,34,48,15,19,1.9,302,2,21.38,2.87,2015-11-22 17:00
頭份,苗栗縣,37,,良好,0.6,0.31,36,32,15,11,1.9,67,2,12.45,1.71,2015-11-22 17:00
新竹,新竹市,28,,良好,1.2,0.38,31,32,18,13,2.3,63,2,15.89,2.61,2015-11-22 17:00
竹東,新竹縣,28,,良好,0.6,0.25,34,26,4,7.2,1,40,1,9.3,2.07,2015-11-22 17:00
湖口,新竹縣,30,,良好,2.6,0.3,36,11,13,8.6,4.6,64,1,10.58,2.01,2015-11-22 17:00
龍潭,桃園市,37,,良好,2.4,0.34,30,43,8,9.8,5.7,62,2,12.48,2.69,2015-11-22 17:00
平鎮,桃園市,38,,良好,2,0.29,32,37,10,6.8,3.6,68,2,8.59,1.84,2015-11-22 17:00
觀音,桃園市,42,,良好,7.8,0.26,27,42,11,16,4.8,81,2,18.65,2.57,2015-11-22 17:00
大園,桃園市,44,,良好,2.7,0.26,32,38,12,13,5.7,46,2,16.43,2.99,2015-11-22 17:00
桃園,桃園市,27,,良好,5.1,0.49,17,14,13,19,3,88,2,24.78,5.64,2015-11-22 17:00
大同,臺北市,45,,良好,2.7,0.63,,49,12,23,,,1,42.47,19.22,2015-11-22 17:00
松山,臺北市,31,,良好,1,0.37,28,39,5,15,1.9,62,1,17.51,2.87,2015-11-22 17:00
古亭,臺北市,34,,良好,1.3,0.32,30,42,4,11,3,81,1,13.25,2.25,2015-11-22 17:00
萬華,臺北市,27,,良好,1.9,0.41,22,26,3,24,3.4,96,1,30.21,6.04,2015-11-22 17:00
中山,臺北市,25,,良好,3,0.54,22,21,9,23,2,109,1,30.06,6.64,2015-11-22 17:00
士林,臺北市,30,,良好,4.3,0.24,35,32,21,9,2.9,107,1,10.36,1.35,2015-11-22 17:00
淡水,新北市,30,,良好,4.4,0.21,36,23,12,5.5,,,1,7.07,1.58,2015-11-22 17:00
林口,新北市,32,,良好,2.5,0.25,36,27,10,9.2,4.1,95,1,11.08,1.87,2015-11-22 17:00
菜寮,新北市,29,,良好,2.6,0.38,26,35,2,12,3,92,1,13.77,1.99,2015-11-22 17:00
新莊,新北市,29,,良好,1.7,0.4,32,28,9,13,4.5,62,1,15.1,1.77,2015-11-22 17:00
板橋,新北市,29,,良好,1.5,0.5,24,29,10,23,2.8,59,1,28.09,5.57,2015-11-22 17:00
土城,新北市,29,,良好,1.8,0.33,35,18,8,8.1,1.6,304,1,9.72,1.61,2015-11-22 17:00
新店,新北市,21,,良好,1.7,0.42,26,21,14,12,3.9,102,2,14.69,2.39,2015-11-22 17:00
萬里,新北市,40,,良好,1.7,0.24,35,54,9,11,0.8,29,1,12.09,1.59,2015-11-22 17:00
汐止,新北市,29,,良好,1,0.25,35,20,9,8.2,2.1,40,1,10.49,2.26,2015-11-22 17:00
基隆,基隆市,33,,良好,1.2,0.22,40,28,9,2.8,2.3,66,1,3.86,1.02,2015-11-22 17:00
