監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.057,2015-02-14 09:55
三芝,SHANGI,0.058,2015-02-14 09:55
石崩山,SHIHBENGSHAN,0.068,2015-02-14 09:55
茂林,MAOLIN,0.050,2015-02-14 09:55
金山,CHINSHAN,0.048,2015-02-13 13:00
野柳,YEHLIU,0.054,2015-02-14 09:55
大鵬,TAPERNG,0.070,2015-02-14 09:55
陽明山,YANGMINSHAN,0.060,2015-02-14 09:55
大坪,TAPING,0.066,2015-02-14 09:55
萬里,WANLI,0.073,2015-02-14 09:55
台北,TAIPEI,0.058,2015-02-14 09:55
宜蘭,ILAN,0.062,2015-02-14 09:55
龍潭,LUNGTAN,0.054,2015-02-14 09:55
台中,TAICHUNG,0.072,2015-02-14 09:55
台東,TAITUNG,0.059,2015-02-14 09:55
高雄,KAOHSIUNG,0.061,2015-02-14 09:55
恆春,HENGCHUN,0.070,2015-02-14 09:55
龍泉,LUNGCHUAN,0.059,2015-02-14 09:55
大光,TAKUANG,0.052,2015-02-14 09:55
墾丁,KENTING,0.053,2015-02-14 09:55
後壁湖,HOUBIHU,0.055,2015-02-14 09:55
澳底,AODI,0.052,2015-02-14 09:55
貢寮,GONGLIAO,0.047,2015-02-14 09:55
阿里山,ALISHAN,0.104,2015-02-14 09:55
金門,KINMEN,0.082,2015-02-14 09:55
蘭嶼,LANYU,0.042,2015-02-14 00:25
台南,TAINAN,0.063,2015-02-14 09:55
龍門,LUNGMEN,0.052,2015-02-14 09:55
雙溪,SHUANGSI,0.063,2015-02-14 09:55
三港,SANGANG,0.063,2015-02-14 09:55
新竹,HSINCHU,0.055,2015-02-14 09:55
花蓮,HUALINE,0.054,2015-02-14 09:55
澎湖,PENGHU,0.057,2015-02-14 09:55
馬祖,MATZU,0.055,2015-02-14 09:55
滿州,MANJHOU,0.049,2015-02-14 09:55
板橋,BANCIAO,0.057,2015-02-14 09:55
屏東市,PINGTONG,0.050,2015-02-14 09:55
基隆,KEELUNG,0.060,2015-02-14 09:55
頭城,TOUCHENG,0.051,2015-02-14 09:55
竹北,JHUBEI,0.049,2015-02-14 09:55
苗栗,MIAOLI,0.051,2015-02-14 09:55
南投,NANTOU,0.054,2015-02-14 09:50
彰化,CHANGHUA,0.066,2015-02-14 09:50
雲林,YUNLIN,0.056,2015-02-14 09:55
嘉義,CHIAYI,0.050,2015-02-14 09:50
