SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,61,懸浮微粒,普通,5.2,0.66,32,84,49,12,3,36,4,15.33,2.9,2015-12-26 10:00
關山,臺東縣,20,,良好,1.3,,24,26,12,8.5,1.6,69,1,11.26,2.77,2015-12-26 10:00
馬公,澎湖縣,40,,良好,1.2,0.61,47,39,28,4.8,6.2,70,3,6.18,1.37,2015-12-26 10:00
金門,金門縣,52,懸浮微粒,普通,8.9,0.79,22,75,27,13,4,52,2,18.39,4.96,2015-12-26 10:00
馬祖,連江縣,32,,良好,1.6,0.65,31,26,26,5.4,3.6,58,3,8.05,2.62,2015-12-26 10:00
埔里,南投縣,40,,良好,1.6,0.49,13,31,19,11,1.7,283,3,17.34,6.54,2015-12-26 10:00
復興,高雄市,59,懸浮微粒,普通,4.3,1.81,13,86,58,35,1.2,318,5,54.2,19.68,2015-12-26 10:00
永和,新北市,0,,,2.6,0.88,34,,,18,2,114,,25.37,7.13,2015-12-26 10:00
竹山,南投縣,52,懸浮微粒,普通,1.8,0.74,7.4,59,41,19,1.1,282,4,25.26,6.7,2015-12-26 10:00
中壢,桃園市,58,懸浮微粒,普通,5.6,1.03,29,63,27,30,1.5,87,3,40.4,10.5,2015-12-26 10:00
三重,新北市,55,懸浮微粒,普通,2.4,2.03,,77,38,40,,,3,91.77,51.93,2015-12-26 10:00
冬山,宜蘭縣,47,,良好,1.2,0.55,39,56,26,6.8,1.8,247,2,7.72,.96,2015-12-26 10:00
宜蘭,宜蘭縣,49,,良好,1.4,0.64,36,61,25,9.4,1.2,282,2,10.38,.99,2015-12-26 10:00
陽明,臺北市,39,,良好,1.8,0.54,47,18,10,3.3,,,2,3.87,.59,2015-12-26 10:00
花蓮,花蓮縣,27,,良好,2.5,0.7,32,32,16,12,1.1,213,1,14.55,2.66,2015-12-26 10:00
臺東,臺東縣,24,,良好,1.4,0.68,28,10,2,7.5,1.9,297,1,10.02,2.53,2015-12-26 10:00
恆春,屏東縣,38,,良好,1.2,0.43,45,21,7,1.7,8.8,32,1,4.24,2.57,2015-12-26 10:00
潮州,屏東縣,57,懸浮微粒,普通,4.2,0.81,17,70,35,20,1.5,304,3,27.3,7.09,2015-12-26 10:00
屏東,屏東縣,55,懸浮微粒,普通,5.1,0.87,8.7,72,40,22,1.2,308,3,31.28,9.57,2015-12-26 10:00
小港,高雄市,58,懸浮微粒,普通,5,1.11,12,94,49,34,1.5,307,3,52.41,18.58,2015-12-26 10:00
前鎮,高雄市,55,懸浮微粒,普通,4.2,1.25,14,66,31,33,1.2,52,3,49.41,16.91,2015-12-26 10:00
前金,高雄市,62,懸浮微粒,普通,4.2,1.01,22,90,40,21,1.8,34,4,31.19,9.84,2015-12-26 10:00
左營,高雄市,58,懸浮微粒,普通,5.2,1.03,19,72,36,22,1.8,42,3,32.86,10.7,2015-12-26 10:00
楠梓,高雄市,62,懸浮微粒,普通,3.4,0.85,14,84,34,20,1.6,331,3,29.25,9.7,2015-12-26 10:00
林園,高雄市,52,懸浮微粒,普通,15,1.03,15,74,59,39,1.2,267,4,61.24,22.43,2015-12-26 10:00
大寮,高雄市,56,懸浮微粒,普通,7.9,0.97,20,76,52,40,1.7,286,4,51.78,11.37,2015-12-26 10:00
