Content,AreaName,PSI,MajorPollutant,FPMI,ForecastDate,PublishTime
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,花東,25 - 45,,1 - 3,2016-01-02,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,宜蘭,30 - 50,,1 - 3,2016-01-02,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,高屏,70 - 90,懸浮微粒,5 - 9,2016-01-02,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,雲嘉南,60 - 80,懸浮微粒,4 - 7,2016-01-02,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,中部,60 - 80,懸浮微粒,4 - 7,2016-01-02,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,竹苗,40 - 60,懸浮微粒,1 - 3,2016-01-02,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,北部,40 - 60,懸浮微粒,1 - 3,2016-01-02,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,花東,30 - 50,,1 - 3,2016-01-01,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,宜蘭,30 - 50,,1 - 3,2016-01-01,2015-12-31 12:00
1.31日傍晚起受境外污染物影響，全臺各地及外島地區PSI為普通等級，指標污染物為懸浮微粒。2.31日北部及金門、馬祖地區PM2.5指標為高中至非常高等級。其他地區為中至高等級。 3.1月1日及2日全臺各地PSI為良好至普通等級，指標污染物為懸浮微粒；中南部地區PM2.5指標為中至高等級，其他地區PM2.5指標為低至中等級。,高屏,65 - 85,懸浮微粒,5 - 9,2016-01-01,2015-12-31 12:00
