監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.060,2015-01-10 17:35
三芝,SHANGI,0.061,2015-01-10 17:30
石崩山,SHIHBENGSHAN,0.067,2015-01-10 17:30
茂林,MAOLIN,0.052,2015-01-10 17:35
金山,CHINSHAN,0.048,2015-01-10 17:35
野柳,YEHLIU,0.055,2015-01-10 17:35
大鵬,TAPERNG,0.067,2015-01-10 17:30
陽明山,YANGMINSHAN,0.059,2015-01-10 17:35
大坪,TAPING,0.063,2015-01-10 17:30
萬里,WANLI,0.073,2015-01-10 17:35
台北,TAIPEI,0.059,2015-01-10 17:30
宜蘭,ILAN,0.063,2015-01-10 17:30
龍潭,LUNGTAN,0.053,2015-01-10 17:30
台中,TAICHUNG,0.073,2015-01-10 17:30
台東,TAITUNG,0.053,2015-01-10 17:30
高雄,KAOHSIUNG,0.058,2015-01-10 17:35
恆春,HENGCHUN,0.070,2015-01-10 17:30
龍泉,LUNGCHUAN,0.052,2015-01-10 17:35
大光,TAKUANG,0.048,2015-01-10 17:30
墾丁,KENTING,0.053,2015-01-10 17:30
後壁湖,HOUBIHU,0.059,2015-01-10 17:30
澳底,AODI,0.050,2015-01-10 17:35
貢寮,GONGLIAO,0.052,2015-01-10 17:35
阿里山,ALISHAN,0.108,2015-01-10 17:35
金門,KINMEN,0.078,2015-01-10 17:35
蘭嶼,LANYU,0.041,2015-01-10 17:35
台南,TAINAN,0.061,2015-01-10 17:30
龍門,LUNGMEN,0.051,2015-01-10 17:35
雙溪,SHUANGSI,0.062,2015-01-10 17:35
三港,SANGANG,0.063,2015-01-10 17:30
新竹,HSINCHU,0.049,2015-01-10 17:30
花蓮,HUALINE,0.053,2015-01-10 17:35
澎湖,PENGHU,0.050,2015-01-10 17:35
馬祖,MATZU,0.053,2015-01-10 17:35
滿州,MANJHOU,0.051,2015-01-10 17:30
板橋,BANCIAO,0.070,2015-01-10 17:30
屏東市,PINGTONG,0.052,2015-01-10 17:30
基隆,KEELUNG,0.064,2015-01-10 17:30
頭城,TOUCHENG,0.050,2015-01-10 17:35
竹北,JHUBEI,0.050,2015-01-10 17:30
苗栗,MIAOLI,0.048,2015-01-10 17:30
南投,NANTOU,0.049,2015-01-10 17:30
彰化,CHANGHUA,0.066,2015-01-10 17:30
雲林,YUNLIN,0.054,2015-01-10 17:35
嘉義,CHIAYI,0.052,2015-01-10 17:30
