SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO,PublishTime
麥寮,雲林縣,42,,良好,0.5,0.22,22,43,0,5.6,5.2,198,1,8.31,2.67,2015-08-10 11:00
關山,臺東縣,31,,良好,0.8,,25,24,12,1,1.1,141,2,1.95,.98,2015-08-10 11:00
馬公,澎湖縣,0,,,1.1,0.18,23,,6,2.8,4.9,163,1,4.87,2.07,2015-08-10 11:00
金門,金門縣,40,,良好,1.7,0.1,30,37,8,2.8,6.2,177,2,4.68,1.87,2015-08-10 11:00
馬祖,連江縣,29,,良好,1.6,0.12,35,39,16,1.3,5.4,30,1,2.59,1.3,2015-08-10 11:00
埔里,南投縣,36,,良好,0.7,0.19,32,28,20,4.6,2.1,269,2,6.09,1.46,2015-08-10 11:00
復興,高雄市,29,,良好,5.9,0.28,2.4,26,8,8.2,1.1,272,1,12.9,4.75,2015-08-10 11:00
永和,新北市,40,,良好,3.6,2.22,47,70,24,71,1.1,34,2,96.35,25.67,2015-08-10 11:00
竹山,南投縣,36,,良好,1.7,0.14,32,26,15,3.9,1.6,266,2,4.88,1,2015-08-10 11:00
中壢,桃園市,51,懸浮微粒,普通,3.2,0.85,48,55,19,27,0.9,82,2,32.63,6.09,2015-08-10 11:00
三重,新北市,56,懸浮微粒,普通,3.1,0.89,,75,22,38,,,2,78.45,40.62,2015-08-10 11:00
冬山,宜蘭縣,33,,良好,4,0.33,40,33,,0.2,1.6,102,,3.06,2.84,2015-08-10 11:00
宜蘭,宜蘭縣,38,,良好,2.1,0.27,39,45,13,5.9,1.1,95,1,7.68,1.8,2015-08-10 11:00
花蓮,花蓮縣,48,,良好,1.1,0.17,25,39,20,1.3,2.8,150,2,5.72,4.39,2015-08-10 11:00
臺東,臺東縣,0,,,1.1,0.35,20,24,10,4.8,2.4,216,,8.69,3.88,2015-08-10 11:00
恆春,屏東縣,31,,良好,1.3,0.07,26,32,13,2.7,4.8,194,1,4.92,2.26,2015-08-10 11:00
潮州,屏東縣,29,,良好,1.9,0.09,23,23,12,0.8,3,224,1,2.26,1.45,2015-08-10 11:00
屏東,屏東縣,30,,良好,1.6,0.26,25,26,8,5.1,3.2,181,1,8.2,3.11,2015-08-10 11:00
小港,高雄市,55,二氧化硫,普通,14,0.13,18,22,0,8.8,2.9,16,1,16.01,7.26,2015-08-10 11:00
前鎮,高雄市,38,,良好,4.7,0.14,20,32,0,7.2,2.3,177,1,11.86,4.65,2015-08-10 11:00
前金,高雄市,33,,良好,4.3,0.2,22,34,9,7,2.5,172,1,12.68,5.69,2015-08-10 11:00
左營,高雄市,38,,良好,0.6,0.19,21,42,15,7.1,3.5,212,2,12.2,5.08,2015-08-10 11:00
林園,高雄市,36,,良好,1,0.07,22,23,4,2,2.6,125,1,2.5,.49,2015-08-10 11:00
大寮,高雄市,23,,良好,1.7,0.11,1,18,12,3.5,2.4,182,2,4.76,1.28,2015-08-10 11:00
鳳山,高雄市,40,,良好,8.9,0.56,18,41,13,13,2,238,1,23.62,10.27,2015-08-10 11:00
仁武,高雄市,36,,良好,5.2,0.2,24,33,10,9.2,2.9,187,1,13.34,4.14,2015-08-10 11:00
橋頭,高雄市,38,,良好,3.4,0.2,26,29,0,8.4,3.4,272,,12.58,4.13,2015-08-10 11:00
臺南,臺南市,28,,良好,3.4,0.23,25,30,11,6.2,3.7,182,2,8.95,2.73,2015-08-10 11:00
安南,臺南市,36,,良好,3.8,0.22,23,39,8,8.9,3,352,1,12.8,3.91,2015-08-10 11:00
善化,臺南市,30,,良好,3,0.14,36,25,17,4.5,5,178,2,6.33,1.86,2015-08-10 11:00
新營,臺南市,28,,良好,1.5,0.19,29,33,7,4.3,3.5,186,1,5.75,1.49,2015-08-10 11:00
嘉義,嘉義市,23,,良好,1.6,0.15,26,21,18,4.3,3.8,192,2,5.44,1.17,2015-08-10 11:00
朴子,嘉義縣,41,,良好,2.2,0.27,34,45,22,7.1,3.9,195,2,10,2.94,2015-08-10 11:00
新港,嘉義縣,24,,良好,0.6,0.15,28,15,8,2.6,3.7,173,1,5.56,2.94,2015-08-10 11:00
崙背,雲林縣,24,,良好,1.6,0.12,29,27,13,2.4,6.9,195,2,3.25,.81,2015-08-10 11:00
斗六,雲林縣,28,,良好,1.2,0.28,26,28,17,5.7,3.3,218,2,9.23,3.56,2015-08-10 11:00
南投,南投縣,36,,良好,0.8,0.24,38,35,10,5.3,2.5,131,1,6.93,1.67,2015-08-10 11:00
二林,彰化縣,0,,,12,0.09,27,,9,1.7,6,218,2,2.43,.77,2015-08-10 11:00
線西,彰化縣,27,,良好,0.8,0.13,31,24,8,1.7,8.2,211,2,4.56,2.82,2015-08-10 11:00
彰化,彰化縣,30,,良好,1.1,0.13,31,28,7,3.5,4.7,228,2,4.75,1.23,2015-08-10 11:00
西屯,臺中市,44,,良好,1.7,0.09,30,46,19,5.3,5.6,194,2,8.71,3.36,2015-08-10 11:00
忠明,臺中市,25,,良好,2,0.21,30,30,15,7.1,2.8,193,2,9.86,2.75,2015-08-10 11:00
大里,臺中市,41,,良好,2.5,0.24,34,55,23,9.5,3.7,206,2,13.08,3.59,2015-08-10 11:00
沙鹿,臺中市,36,,良好,2.1,0.17,29,34,8,5.1,5,276,1,7.28,2.2,2015-08-10 11:00
豐原,臺中市,32,,良好,2.4,0.23,38,49,16,6.8,5.1,189,2,9.05,2.29,2015-08-10 11:00
三義,苗栗縣,35,,良好,1.7,0.19,42,31,6,6.2,5.6,190,2,8.66,2.5,2015-08-10 11:00
