監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.058,2015-01-18 07:00
三芝,SHANGI,0.062,2015-01-18 07:00
石崩山,SHIHBENGSHAN,0.066,2015-01-18 07:00
茂林,MAOLIN,0.050,2015-01-18 07:00
金山,CHINSHAN,0.048,2015-01-18 07:05
野柳,YEHLIU,0.061,2015-01-18 07:05
大鵬,TAPERNG,0.063,2015-01-18 07:00
陽明山,YANGMINSHAN,0.056,2015-01-18 07:05
大坪,TAPING,0.063,2015-01-18 07:00
萬里,WANLI,0.073,2015-01-18 07:05
台北,TAIPEI,0.056,2015-01-18 07:00
宜蘭,ILAN,0.062,2015-01-18 07:00
龍潭,LUNGTAN,0.051,2015-01-18 07:00
台中,TAICHUNG,0.069,2015-01-18 07:00
台東,TAITUNG,0.059,2015-01-18 07:00
高雄,KAOHSIUNG,0.058,2015-01-18 07:05
恆春,HENGCHUN,0.069,2015-01-18 07:00
龍泉,LUNGCHUAN,0.061,2015-01-18 07:05
大光,TAKUANG,0.048,2015-01-18 07:00
墾丁,KENTING,0.050,2015-01-18 07:00
後壁湖,HOUBIHU,0.056,2015-01-18 07:00
澳底,AODI,0.050,2015-01-18 07:05
貢寮,GONGLIAO,0.049,2015-01-18 07:05
阿里山,ALISHAN,0.111,2015-01-18 07:05
金門,KINMEN,0.091,2015-01-18 07:05
蘭嶼,LANYU,0.041,2015-01-18 07:05
台南,TAINAN,0.061,2015-01-18 07:00
龍門,LUNGMEN,0.050,2015-01-18 07:05
雙溪,SHUANGSI,0.061,2015-01-18 07:05
三港,SANGANG,0.061,2015-01-18 07:00
新竹,HSINCHU,0.049,2015-01-17 07:55
花蓮,HUALINE,0.056,2015-01-18 07:05
澎湖,PENGHU,0.052,2015-01-18 07:00
馬祖,MATZU,0.051,2015-01-18 07:05
滿州,MANJHOU,0.051,2015-01-18 07:00
板橋,BANCIAO,0.070,2015-01-18 07:00
屏東市,PINGTONG,0.047,2015-01-18 07:00
基隆,KEELUNG,0.059,2015-01-18 07:00
頭城,TOUCHENG,0.051,2015-01-18 07:05
竹北,JHUBEI,0.045,2015-01-18 07:00
苗栗,MIAOLI,0.047,2015-01-18 07:00
南投,NANTOU,0.050,2015-01-18 07:00
彰化,CHANGHUA,0.062,2015-01-18 07:00
雲林,YUNLIN,0.055,2015-01-18 07:05
嘉義,CHIAYI,0.056,2015-01-18 07:00
