監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.053,2015-02-14 02:30
三芝,SHANGI,0.063,2015-02-14 02:30
石崩山,SHIHBENGSHAN,0.065,2015-02-14 02:30
茂林,MAOLIN,0.053,2015-02-14 02:30
金山,CHINSHAN,0.048,2015-02-13 13:00
野柳,YEHLIU,0.055,2015-02-14 02:30
大鵬,TAPERNG,0.063,2015-02-14 02:30
陽明山,YANGMINSHAN,0.062,2015-02-14 02:30
大坪,TAPING,0.066,2015-02-14 02:30
萬里,WANLI,0.073,2015-02-14 02:30
台北,TAIPEI,0.057,2015-02-14 02:30
宜蘭,ILAN,0.061,2015-02-14 02:30
龍潭,LUNGTAN,0.054,2015-02-14 02:30
台中,TAICHUNG,0.067,2015-02-14 02:30
台東,TAITUNG,0.056,2015-02-14 02:30
高雄,KAOHSIUNG,0.058,2015-02-14 02:30
恆春,HENGCHUN,0.072,2015-02-14 02:30
龍泉,LUNGCHUAN,0.060,2015-02-14 02:30
大光,TAKUANG,0.049,2015-02-14 02:30
墾丁,KENTING,0.053,2015-02-14 02:30
後壁湖,HOUBIHU,0.056,2015-02-14 02:30
澳底,AODI,0.050,2015-02-14 02:30
貢寮,GONGLIAO,0.054,2015-02-14 02:30
阿里山,ALISHAN,0.127,2015-02-14 02:30
金門,KINMEN,0.078,2015-02-14 02:30
蘭嶼,LANYU,0.042,2015-02-14 00:25
台南,TAINAN,0.057,2015-02-14 02:30
龍門,LUNGMEN,0.049,2015-02-14 02:30
雙溪,SHUANGSI,0.066,2015-02-14 02:30
三港,SANGANG,0.065,2015-02-14 02:30
新竹,HSINCHU,0.052,2015-02-14 02:30
花蓮,HUALINE,0.053,2015-02-14 02:30
澎湖,PENGHU,0.052,2015-02-14 02:30
馬祖,MATZU,0.052,2015-02-14 02:30
滿州,MANJHOU,0.045,2015-02-14 02:30
板橋,BANCIAO,0.054,2015-02-14 02:30
屏東市,PINGTONG,0.048,2015-02-14 02:30
基隆,KEELUNG,0.058,2015-02-14 02:30
頭城,TOUCHENG,0.051,2015-02-14 02:30
竹北,JHUBEI,0.052,2015-02-14 02:30
苗栗,MIAOLI,0.047,2015-02-14 02:30
南投,NANTOU,0.051,2015-02-14 02:30
彰化,CHANGHUA,0.067,2015-02-14 02:30
雲林,YUNLIN,0.056,2015-02-14 02:30
嘉義,CHIAYI,0.049,2015-02-14 02:30
