SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
二林,彰化縣,41,,良好,2.4,0.28,29,32,8,8.5,5.1,42,2,2015-01-28 08:00
三重,新北市,32,,良好,2.2,1.97,,40,1,37,,,1,2015-01-28 08:00
三義,苗栗縣,28,,良好,0.8,0.26,34,15,3,5.8,6.1,36,1,2015-01-28 08:00
土城,新北市,24,,良好,3.3,0.5,29,22,17,18,1.6,161,2,2015-01-28 08:00
士林,臺北市,31,,良好,1.3,0.3,37,2,6,9.8,2.3,116,1,2015-01-28 08:00
大同,臺北市,35,,良好,2.6,1.35,,25,8,40,,,1,2015-01-28 08:00
大里,臺中市,14,,良好,1.4,0.92,16,7,0,20,2.4,32,1,2015-01-28 08:00
大園,桃園市,37,,良好,3.9,0.32,31,33,16,19,7.9,77,2,2015-01-28 08:00
大寮,高雄市,70,懸浮微粒,普通,8.3,0.8,1.4,87,52,28,1.1,307,6,2015-01-28 08:00
小港,高雄市,74,懸浮微粒,普通,3.2,1.08,3.5,88,52,29,1.2,333,7,2015-01-28 08:00
中山,臺北市,34,,良好,1.2,0.63,22,32,8,25,2.9,116,1,2015-01-28 08:00
中壢,桃園市,38,,良好,3.4,1.09,18,40,16,31,1.5,219,2,2015-01-28 08:00
仁武,高雄市,66,懸浮微粒,普通,4.1,0.79,5.3,113,49,27,1.4,315,6,2015-01-28 08:00
斗六,雲林縣,34,,良好,2.5,0.82,15,26,8,19,1.9,25,2,2015-01-28 08:00
冬山,宜蘭縣,32,,良好,0.4,0.28,38,7,10,5.4,2.1,254,1,2015-01-28 08:00
古亭,臺北市,33,,良好,2.9,0.47,21,29,16,24,3.1,31,2,2015-01-28 08:00
左營,高雄市,68,懸浮微粒,普通,3.2,0.74,9.8,77,47,23,2,7.9,5,2015-01-28 08:00
平鎮,桃園市,32,,良好,2.9,0.5,23,38,7,22,3,55,2,2015-01-28 08:00
永和,新北市,23,,良好,2.9,1.02,23,24,16,25,2.5,91,2,2015-01-28 08:00
安南,臺南市,55,懸浮微粒,普通,1.2,0.92,17,41,20,16,3.3,44,3,2015-01-28 08:00
朴子,嘉義縣,55,懸浮微粒,普通,3.5,0.63,23,44,14,13,2.8,81,2,2015-01-28 08:00
汐止,新北市,28,,良好,4.6,0.33,27,28,16,20,2.1,71,2,2015-01-28 08:00
竹山,南投縣,0,,,2.6,0.7,16,,23,15,1.3,30,3,2015-01-28 08:00
竹東,新竹縣,34,,良好,1.1,0.24,41,12,4,7.4,5.2,56,1,2015-01-28 08:00
西屯,臺中市,24,,良好,1.4,0.36,29,7,11,8.8,4.3,62,2,2015-01-28 08:00
沙鹿,臺中市,26,,良好,2.2,0.31,27,12,,13,6.1,20,,2015-01-28 08:00
宜蘭,宜蘭縣,29,,良好,1.8,0.66,34,17,10,6.5,1.7,178,1,2015-01-28 08:00
忠明,臺中市,16,,良好,3.2,0.58,20,14,6,18,2.4,57,2,2015-01-28 08:00
松山,臺北市,21,,良好,1.6,0.42,26,12,13,23,2,67,2,2015-01-28 08:00
板橋,新北市,23,,良好,1.8,0.51,25,23,16,23,2.9,85,2,2015-01-28 08:00
林口,新北市,29,,良好,0.9,0.27,35,21,11,9,2.2,65,2,2015-01-28 08:00
林園,高雄市,58,懸浮微粒,普通,13,0.91,2.6,68,55,28,1.3,40,7,2015-01-28 08:00
花蓮,花蓮縣,28,,良好,1.8,0.44,34,10,0,7.7,3.7,52,1,2015-01-28 08:00
金門,金門縣,50,,良好,2.8,0.4,30,44,28,7.9,4.5,57,3,2015-01-28 08:00
前金,高雄市,75,懸浮微粒,普通,3.1,0.71,6.8,84,56,25,2,4.3,6,2015-01-28 08:00
前鎮,高雄市,70,懸浮微粒,普通,2.7,1.02,4,87,55,26,1.1,11,7,2015-01-28 08:00
南投,南投縣,34,,良好,1.9,1.04,8.8,28,13,25,1.5,21,2,2015-01-28 08:00
屏東,屏東縣,69,懸浮微粒,普通,1.4,0.7,4.6,72,51,18,1,290,7,2015-01-28 08:00
恆春,屏東縣,38,,良好,1.1,0.49,46,21,9,2.3,11,37,1,2015-01-28 08:00
美濃,高雄市,67,懸浮微粒,普通,1.6,0.53,7.6,87,44,,1.4,229,4,2015-01-28 08:00
苗栗,苗栗縣,0,,,3.1,0.83,28,18,11,12,4.1,55,,2015-01-28 08:00
埔里,南投縣,52,懸浮微粒,普通,1.4,0.76,4.2,37,28,13,1.1,296,5,2015-01-28 08:00
桃園,桃園市,27,,良好,2.9,0.59,26,25,5,19,2.6,84,2,2015-01-28 08:00
馬公,澎湖縣,47,,良好,0.9,0.24,40,35,17,2.7,8.3,79,3,2015-01-28 08:00
馬祖,連江縣,52,懸浮微粒,普通,1.6,0.22,30,44,20,6,6.5,50,3,2015-01-28 08:00
基隆,基隆市,35,,良好,0.6,0.26,42,24,14,3.4,1.6,81,2,2015-01-28 08:00
崙背,雲林縣,33,,良好,2.6,0.46,22,18,18,12,4.3,247,3,2015-01-28 08:00
淡水,新北市,31,,良好,0.4,0.28,38,17,12,5.3,,,1,2015-01-28 08:00
麥寮,雲林縣,49,,良好,3.6,0.32,30,44,16,11,6.3,90,3,2015-01-28 08:00
善化,臺南市,50,,良好,3.2,0.83,15,45,26,16,4,287,3,2015-01-28 08:00
復興,高雄市,70,懸浮微粒,普通,2.7,1.4,3.2,86,55,27,1.4,96,7,2015-01-28 08:00
湖口,新竹縣,33,,良好,1.5,0.28,39,31,14,6.7,7.8,50,2,2015-01-28 08:00
菜寮,新北市,20,,良好,1.3,0.53,24,20,10,19,3.1,86,1,2015-01-28 08:00
陽明,臺北市,37,,良好,0.7,0.18,45,4,2,1.4,,,1,2015-01-28 08:00
新竹,新竹市,33,,良好,0.6,0.32,35,33,19,11,4,72,2,2015-01-28 08:00
新店,新北市,26,,良好,2.3,0.41,31,17,14,17,1.4,114,2,2015-01-28 08:00
新莊,新北市,21,,良好,1.7,0.55,25,22,6,21,3.9,99,1,2015-01-28 08:00
新港,嘉義縣,44,,良好,2.5,0.53,23,28,11,9.6,3,336,2,2015-01-28 08:00
新營,臺南市,47,,良好,2.2,0.87,17,38,23,15,3,20,3,2015-01-28 08:00
楠梓,高雄市,64,懸浮微粒,普通,3.8,0.58,9.1,51,51,21,2.6,309,5,2015-01-28 08:00
