SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
麥寮,雲林縣,56,懸浮微粒,普通,2.3,0.26,37,42,29,8.5,1.6,268,4,2015-05-26 13:00
關山,臺東縣,0,,,1.1,,31,,4,0.5,1.7,224,1,2015-05-26 13:00
馬公,澎湖縣,43,,良好,2.4,0.42,52,37,23,5.9,1.2,280,2,2015-05-26 13:00
金門,金門縣,80,懸浮微粒,普通,10,0.41,36,115,40,18,1.5,45,4,2015-05-26 13:00
馬祖,連江縣,43,,良好,1.9,0.21,49,48,27,4.5,1.6,353,3,2015-05-26 13:00
埔里,南投縣,24,,良好,0.3,0.32,28,16,8,9.1,1.3,292,2,2015-05-26 13:00
復興,高雄市,26,,良好,5.6,0.62,1.4,22,9,34,0.5,146,2,2015-05-26 13:00
永和,新北市,46,,良好,10,0.67,17,39,22,34,2.2,85,2,2015-05-26 13:00
竹山,南投縣,43,,良好,1.4,0.21,40,40,20,4.4,1.6,240,2,2015-05-26 13:00
中壢,桃園市,59,懸浮微粒,普通,11,2.32,8.6,70,34,56,1,251,3,2015-05-26 13:00
三重,新北市,52,懸浮微粒,普通,17,1.71,,53,15,46,,,2,2015-05-26 13:00
冬山,宜蘭縣,35,,良好,3,0.27,34,33,24,14,1.2,106,2,2015-05-26 13:00
宜蘭,宜蘭縣,42,,良好,1.7,0.36,39,43,16,8.8,0.9,43,2,2015-05-26 13:00
陽明,臺北市,23,,良好,1.4,0.21,27,15,13,2.2,,,1,2015-05-26 13:00
花蓮,花蓮縣,36,,良好,1.8,0.31,43,39,24,6.2,2.1,42,2,2015-05-26 13:00
臺東,臺東縣,27,,良好,1.7,0.46,32,2,0,8.5,1.4,82,1,2015-05-26 13:00
恆春,屏東縣,30,,良好,1,0.09,36,7,0,2.7,4.2,316,1,2015-05-26 13:00
潮州,屏東縣,22,,良好,1.5,0.2,25,22,11,8.1,1.6,81,2,2015-05-26 13:00
屏東,屏東縣,35,,良好,5.3,0.64,18,17,14,19,0.7,151,2,2015-05-26 13:00
小港,高雄市,35,,良好,20,0.42,6.4,35,19,34,1,107,2,2015-05-26 13:00
前鎮,高雄市,31,,良好,7.6,0.49,6.2,29,14,37,0.5,322,2,2015-05-26 13:00
前金,高雄市,37,,良好,12,0.34,12,19,10,28,1.2,168,2,2015-05-26 13:00
左營,高雄市,29,,良好,2.9,0.59,16,20,0,23,1.2,136,2,2015-05-26 13:00
楠梓,高雄市,43,,良好,5.1,0.53,13,23,8,27,1.4,196,1,2015-05-26 13:00
林園,高雄市,24,,良好,2.7,0.25,29,12,6,8.4,1.6,82,1,2015-05-26 13:00
大寮,高雄市,20,,良好,2.1,0.32,20,16,15,15,1.3,99,2,2015-05-26 13:00
鳳山,高雄市,39,,良好,4,0.62,9.4,34,3,29,1.6,99,2,2015-05-26 13:00
仁武,高雄市,37,,良好,4.3,0.52,16,22,8,26,1.1,124,2,2015-05-26 13:00
橋頭,高雄市,25,,良好,1.6,0.2,30,16,0,6.2,2.1,212,1,2015-05-26 13:00
美濃,高雄市,24,,良好,1.3,0.24,29,11,2,,1.9,143,1,2015-05-26 13:00
臺南,臺南市,24,,良好,1.1,0.25,,11,2,4.9,2.2,213,2,2015-05-26 13:00
安南,臺南市,42,,良好,2.6,0.25,16,14,0,10,3.3,181,2,2015-05-26 13:00
善化,臺南市,22,,良好,2.7,0.23,27,24,11,11,2.7,178,1,2015-05-26 13:00
新營,臺南市,37,,良好,0.8,0.34,23,29,4,14,2,185,2,2015-05-26 13:00
嘉義,嘉義市,26,,良好,1.8,0.25,30,11,0,6.5,1.6,144,1,2015-05-26 13:00
臺西,雲林縣,52,懸浮微粒,普通,2.2,0.23,54,39,23,5.8,2,247,3,2015-05-26 13:00
朴子,嘉義縣,47,,良好,1.8,0.28,17,22,6,9.4,2.3,165,2,2015-05-26 13:00
新港,嘉義縣,43,,良好,,0.26,30,25,11,7.6,1.9,145,3,2015-05-26 13:00
崙背,雲林縣,46,,良好,1.3,0.25,30,24,27,7.9,1.9,187,4,2015-05-26 13:00
斗六,雲林縣,46,,良好,1.3,0.45,33,29,12,11,1.8,223,2,2015-05-26 13:00
南投,南投縣,38,,良好,1.3,0.46,26,33,29,15,1.4,199,2,2015-05-26 13:00
二林,彰化縣,56,懸浮微粒,普通,4.8,0.27,48,64,49,14,2.3,229,5,2015-05-26 13:00
線西,彰化縣,58,懸浮微粒,普通,5.9,0.58,43,65,41,14,2.1,320,4,2015-05-26 13:00
彰化,彰化縣,56,懸浮微粒,普通,6.1,0.57,42,72,46,19,1.2,320,4,2015-05-26 13:00
西屯,臺中市,56,懸浮微粒,普通,3.3,0.38,37,71,52,20,0.7,195,4,2015-05-26 13:00
忠明,臺中市,48,,良好,2.7,0.63,27,41,38,30,0.9,259,3,2015-05-26 13:00
大里,臺中市,50,,良好,0.5,0.44,36,36,28,19,1.2,304,3,2015-05-26 13:00
沙鹿,臺中市,62,懸浮微粒,普通,6.1,0.53,40,71,38,23,0.8,242,4,2015-05-26 13:00
豐原,臺中市,23,,良好,3.1,0.81,13,47,33,32,1,172,,2015-05-26 13:00
三義,苗栗縣,52,懸浮微粒,普通,7.7,0.55,17,68,48,28,1.6,201,3,2015-05-26 13:00
苗栗,苗栗縣,58,懸浮微粒,普通,8.3,0.63,11,70,47,29,0.9,63,4,2015-05-26 13:00
頭份,苗栗縣,52,懸浮微粒,普通,5.1,0.76,8.8,57,33,33,1,49,3,2015-05-26 13:00
新竹,新竹市,45,,良好,5.5,0.72,12,50,37,39,1.1,51,3,2015-05-26 13:00
竹東,新竹縣,41,,良好,2.5,0.38,11,42,22,19,0.9,336,2,2015-05-26 13:00
湖口,新竹縣,52,懸浮微粒,普通,5.6,0.72,,46,36,,1.6,51,3,2015-05-26 13:00
龍潭,桃園市,50,,良好,6.5,0.68,15,59,27,34,1.1,87,3,2015-05-26 13:00
平鎮,桃園市,56,懸浮微粒,普通,8.9,0.86,23,68,46,39,1.3,117,3,2015-05-26 13:00
觀音,桃園市,54,懸浮微粒,普通,6.2,0.27,36,55,23,15,1.8,88,3,2015-05-26 13:00
大園,桃園市,48,,良好,11,0.49,19,55,31,33,1.7,116,3,2015-05-26 13:00
桃園,桃園市,44,,良好,14,0.59,13,42,15,35,1.5,86,2,2015-05-26 13:00
大同,臺北市,53,懸浮微粒,普通,30,1.6,,60,18,47,,,2,2015-05-26 13:00
松山,臺北市,43,,良好,4.4,0.36,25,38,21,25,2.2,76,2,2015-05-26 13:00
古亭,臺北市,44,,良好,9.5,0.42,20,37,30,28,2.8,76,3,2015-05-26 13:00
萬華,臺北市,34,,良好,33,0.39,14,28,20,39,3.5,102,2,2015-05-26 13:00
中山,臺北市,31,,良好,31,0.58,9.2,30,13,41,3,117,2,2015-05-26 13:00
士林,臺北市,35,,良好,4.5,0.43,17,29,17,21,1,144,2,2015-05-26 13:00
淡水,新北市,46,,良好,4.7,0.52,13,40,21,29,,,2,2015-05-26 13:00
林口,新北市,46,,良好,19,0.51,12,35,22,39,2.3,44,3,2015-05-26 13:00
菜寮,新北市,35,,良好,17,0.7,9.1,35,9,34,2.2,90,1,2015-05-26 13:00
新莊,新北市,38,,良好,32,0.59,9.4,34,19,42,2,98,2,2015-05-26 13:00
板橋,新北市,44,,良好,13,0.6,14,43,25,42,1.7,82,2,2015-05-26 13:00
土城,新北市,46,,良好,7.2,0.55,23,40,27,29,1.2,175,3,2015-05-26 13:00
新店,新北市,39,,良好,2.7,0.47,21,35,19,22,1.2,35,2,2015-05-26 13:00
萬里,新北市,47,,良好,2.9,0.18,50,32,17,4.1,1,53,2,2015-05-26 13:00
汐止,新北市,37,,良好,6.3,0.29,22,34,14,25,1.6,67,2,2015-05-26 13:00
基隆,基隆市,31,,良好,1.5,0.25,37,14,10,9.5,1,106,2,2015-05-26 13:00
