監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.057,2015-04-02 01:55
三芝,SHANGI,0.065,2015-04-02 01:55
石崩山,SHIHBENGSHAN,0.068,2015-04-02 01:55
茂林,MAOLIN,0.053,2015-04-02 01:55
金山,CHINSHAN,0.052,2015-04-02 01:55
野柳,YEHLIU,0.055,2015-04-02 01:55
大鵬,TAPERNG,0.064,2015-04-02 01:55
陽明山,YANGMINSHAN,0.056,2015-04-02 01:55
大坪,TAPING,0.068,2015-04-02 01:55
萬里,WANLI,0.074,2015-04-02 01:55
台北,TAIPEI,0.059,2015-04-02 01:55
宜蘭,ILAN,0.064,2015-04-02 01:55
龍潭,LUNGTAN,0.053,2015-04-02 01:55
台中,TAICHUNG,0.071,2015-04-02 01:55
台東,TAITUNG,0.056,2015-04-02 01:55
高雄,KAOHSIUNG,0.062,2015-04-02 01:55
恆春,HENGCHUN,0.070,2015-04-02 01:55
龍泉,LUNGCHUAN,0.060,2015-04-02 01:55
大光,TAKUANG,0.049,2015-04-02 01:55
墾丁,KENTING,0.052,2015-04-02 01:55
後壁湖,HOUBIHU,0.056,2015-04-02 01:55
澳底,AODI,0.052,2015-04-02 01:55
貢寮,GONGLIAO,0.050,2015-04-02 02:00
阿里山,ALISHAN,0.101,2015-04-02 01:55
金門,KINMEN,0.078,2015-04-02 02:00
蘭嶼,LANYU,0.040,2015-04-02 02:00
台南,TAINAN,0.062,2015-04-02 02:00
龍門,LUNGMEN,0.055,2015-04-02 02:00
雙溪,SHUANGSI,0.062,2015-04-02 02:00
三港,SANGANG,0.066,2015-04-02 02:00
新竹,HSINCHU,0.052,2015-04-02 02:00
花蓮,HUALINE,0.055,2015-04-02 02:00
澎湖,PENGHU,0.051,2015-04-02 02:00
馬祖,MATZU,0.053,2015-04-02 02:00
滿州,MANJHOU,0.053,2015-04-02 02:00
板橋,BANCIAO,0.069,2015-04-02 02:00
屏東市,PINGTONG,0.047,2015-04-02 02:00
基隆,KEELUNG,0.061,2015-04-02 02:00
頭城,TOUCHENG,0.052,2015-04-02 02:00
竹北,JHUBEI,0.054,2015-04-02 02:00
苗栗,MIAOLI,0.047,2015-04-02 02:00
南投,NANTOU,0.050,2015-04-02 02:00
彰化,CHANGHUA,0.064,2015-04-02 02:00
雲林,YUNLIN,0.054,2015-04-02 02:00
嘉義,CHIAYI,0.046,2015-04-02 02:00
