"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"1","00684806","通泰新屋飾裝潢有限公司","基隆市安樂區安樂路二段１２６之７號８樓","","2000000","0650518","1040804"
"2","00686086","佳峯有限公司","基隆市仁愛區仁三路八號","","10000000","0651109","1040826"
"3","02085095","立盟股份有限公司","桃園市楊梅區楊湖路一段367巷11之1號","","6000000","0741105","1040731"
"4","02852737","佳冠鋼模股份有限公司","新竹市北區湳雅里湳雅街150巷20號","","5000000","0741205","1040807"
"5","03080718","中泰紗廠股份有限公司","新北市中和區景平路666號2樓","","40000000","0680430","1040807"
"6","04210443","圓榮企業股份有限公司","臺北市中正區林森北路5巷6號3樓之3","","5000000","0620827","1040812"
"7","04263779","頤達企業股份有限公司","臺北市中山區長安東路1段81號4樓","","5000000","0650325","1040825"
"8","04300958","偉富染織廠股份有限公司","臺北市大同區重慶北路2段64巷24號","","16250000","0620818","1040820"
"9","04471988","千欣交通器材有限公司","臺北市中山區林森北路67巷20號1樓","","8000000","0660330","1040824"
"10","04697466","高司美工業股份有限公司","新北市深坑區北深路3段155巷25號10樓","","10000000","0621219","1040812"
"11","05057229","台統興業有限公司","臺北市信義區信義路6段29之1號","","1000000","0680927","1040812"
"12","05067042","永喨企業有限公司","臺北市大同區重慶北路3段139號6樓之1","","28500000","0690324","1040807"
"13","05073467","中國頂點興業有限公司","臺北市中正區林森北路5巷6號3樓之3","","500000","0690628","1040812"
"14","05722081","騰驤興業有限公司","臺北市中正區北平西路6號8樓之1","","1000000","0740711","1040828"
"15","07005803","三九鋼架工程股份有限公司","臺北市大安區敦化南路1段138號1樓","","3000000","0550613","1040831"
"16","07625732","神效企業有限公司","臺北市大同區重慶北路3段216號2樓","","5000000","0670901","1040811"
"17","11040198","王大中煤氣有限公司","臺北市中山區吉林路407巷19號","","1000000","0570623","1040812"
"18","11325292","明誠企業股份有限公司","臺北市中山區中山北路2段79號11樓","","50000000","0580530","1040831"
