監測站,監測站(英文),監測值(微西弗/時),時間
石門,SHIHMAN,0.064,2015-02-03 20:10
三芝,SHANGI,0.061,2015-02-03 20:10
石崩山,SHIHBENGSHAN,0.108,2015-02-03 20:10
茂林,MAOLIN,0.073,2015-02-03 20:10
金山,CHINSHAN,0.058,2015-02-03 20:10
野柳,YEHLIU,0.061,2015-02-03 20:10
大鵬,TAPERNG,0.076,2015-02-03 20:10
陽明山,YANGMINSHAN,0.059,2015-02-03 20:10
大坪,TAPING,0.084,2015-02-03 20:10
萬里,WANLI,0.081,2015-02-03 20:10
台北,TAIPEI,0.058,2015-02-03 20:10
宜蘭,ILAN,0.066,2015-02-03 20:10
龍潭,LUNGTAN,0.051,2015-02-03 20:10
台中,TAICHUNG,0.069,2015-02-03 20:10
台東,TAITUNG,0.052,2015-02-03 20:10
高雄,KAOHSIUNG,0.058,2015-02-03 20:10
恆春,HENGCHUN,0.071,2015-02-03 20:10
龍泉,LUNGCHUAN,0.059,2015-02-03 20:10
大光,TAKUANG,0.048,2015-02-03 20:10
墾丁,KENTING,0.051,2015-02-03 20:10
後壁湖,HOUBIHU,0.055,2015-02-03 20:10
澳底,AODI,0.059,2015-02-03 20:10
貢寮,GONGLIAO,0.059,2015-02-03 20:10
阿里山,ALISHAN,0.108,2015-02-03 20:10
金門,KINMEN,0.078,2015-02-03 20:10
蘭嶼,LANYU,0.040,2015-02-03 20:10
台南,TAINAN,0.058,2015-02-03 20:10
龍門,LUNGMEN,0.067,2015-02-03 20:10
雙溪,SHUANGSI,0.070,2015-02-03 20:10
三港,SANGANG,0.077,2015-02-03 20:10
新竹,HSINCHU,0.050,2015-02-03 20:10
花蓮,HUALINE,0.054,2015-02-03 20:10
澎湖,PENGHU,0.048,2015-02-03 20:10
馬祖,MATZU,0.052,2015-02-03 20:10
滿州,MANJHOU,0.049,2015-02-03 20:10
板橋,BANCIAO,0.069,2015-02-03 20:10
屏東市,PINGTONG,0.048,2015-02-03 20:10
基隆,KEELUNG,0.066,2015-02-03 20:10
頭城,TOUCHENG,0.064,2015-02-02 22:10
竹北,JHUBEI,0.050,2015-02-03 20:10
苗栗,MIAOLI,0.042,2015-02-03 20:10
南投,NANTOU,0.051,2015-02-03 20:10
彰化,CHANGHUA,0.067,2015-02-03 20:10
雲林,YUNLIN,0.055,2015-02-03 20:10
嘉義,CHIAYI,0.044,2015-02-03 20:10
